State,"Co27, all sources","Co27, core",Co27 only visible through Athletic.net,Core share,"Athletes, all sources","Athletes, core"
OH,31708,26998,4710,85.1%,106136,87765
IL,26488,19392,7096,73.2%,92973,69493
WI,22074,19281,2793,87.3%,125844,118031
MI,22073,16176,5897,73.3%,114289,94771
IN,16931,11909,5022,70.3%,54475,40846
MO,15168,13218,1950,87.1%,50830,42226
MN,14420,11261,3159,78.1%,64275,54084
IA,14076,8738,5338,62.1%,62201,49024
KS,10077,9252,825,91.8%,33628,29950
NE,9200,5921,3279,64.4%,44983,35800
SD,4868,2669,2199,54.8%,22812,17134
ND,3004,2043,961,68.0%,15138,12612
TOTAL,190087,146858,43229,77.3%,787584,651736
