State,Schools,Athletes,Class of 2027,Co27 boys,Co27 girls,Co27 grade-evidenced,Co27 profile URL,Co27 multi-source,Co27 with coach,Co27 with coach email,Coaches,Coaches with email,Co27 profile URL %,Co27 with coach %,Co27 with coach email %
OH,1504,87765,26998,14414,12507,26998,26998,0,313,313,28,23,100.0%,1.2%,1.2%
IL,1889,69493,19392,10856,8521,19392,19392,0,6432,6244,15102,3235,100.0%,33.2%,32.2%
WI,1027,118031,19281,10323,8929,19281,15339,0,14699,13646,2550,2155,79.6%,76.2%,70.8%
MI,1493,94771,16176,9285,6891,16176,16176,0,0,0,6,6,100.0%,0.0%,0.0%
MO,1037,42226,13218,7377,5839,13218,13218,0,0,0,0,0,100.0%,0.0%,0.0%
IN,1108,40846,11909,6430,5402,11909,11909,0,0,0,0,0,100.0%,0.0%,0.0%
MN,1016,54084,11261,6147,5114,11261,11261,0,9338,8629,6596,2333,100.0%,82.9%,76.6%
KS,836,29950,9252,5258,3993,9252,9252,0,0,0,526,523,100.0%,0.0%,0.0%
IA,913,49024,8738,4924,3804,8738,8738,0,76,19,53,4,100.0%,0.9%,0.2%
NE,678,35800,5921,3248,2673,5921,5921,0,4971,0,1772,0,100.0%,84.0%,0.0%
SD,427,17134,2669,1518,1151,2669,2669,0,239,78,25,5,100.0%,9.0%,2.9%
ND,339,12612,2043,1116,927,2043,2043,0,1111,0,922,0,100.0%,54.4%,0.0%
TOTAL,12267,651736,146858,80896,65751,146858,142916,0,37179,28929,27580,8284,97.3%,25.3%,19.7%
