tenant,meet_docs,meet_docs_with_ani,pct_with_ani
live_results,75401,63439,84.1
athleticlive,18009,16047,89.1
athletic_timing,4376,3890,88.9
wayzata,2769,2412,87.1
fulton,2384,1335,56.0
xpress,2162,1352,62.5
michiana,1995,1802,90.3
blacksquirrel,1877,1123,59.8
adkinstrak,1698,1286,75.7
aatiming,1344,863,64.2
iptt,1212,1212,100.0
heros,1117,1060,94.9
shazam,1032,963,93.3
lexicon,921,576,62.5
dakota,916,903,98.6
palatine,856,854,99.8
armory,852,490,57.5
wingfoot,836,669,80.0
caltiming,788,762,96.7
fstiming,777,763,98.2
mdtiming,712,433,60.8
bullseye,696,527,75.7
runtf,683,483,70.7
dctiming,676,398,58.9
cbchoice,656,384,58.5
pctiming,656,617,94.1
gingerbread,599,584,97.5
timingfirst,564,416,73.8
lakeshore,537,519,96.6
timingmd,520,467,89.8
rivercity,512,489,95.5
kya,504,364,72.2
brrm,461,323,70.1
adetiming,450,349,77.6
enduro,442,441,99.8
2lrs,434,431,99.3
a2rm,428,421,98.4
sst,411,407,99.0
nts,403,368,91.3
windsorrunning,399,392,98.2
bloomfield,380,313,82.4
harrier,378,247,65.3
pfv,358,357,99.7
pirate,344,212,61.6
jdl,334,314,94.0
tracksidetiming,333,330,99.1
mantronix,328,110,33.5
trackntime,325,317,97.5
mentzer,315,303,96.2
kauder,305,263,86.2
pntfo,289,100,34.6
shannon,285,247,86.7
irvine,281,277,98.6
reddirt,278,256,92.1
ffr,274,261,95.3
mastiming,271,265,97.8
dlprotiming,270,253,93.7
finishright,269,67,24.9
adkinswest,266,259,97.4
superior,260,244,93.8
snaptiming,258,249,96.5
midwesttiming,256,242,94.5
pct,249,120,48.2
lto,234,220,94.0
delta,230,183,79.6
mstca,228,218,95.6
flashresultstexas,222,189,85.1
qwtiming,215,170,79.1
midsouth,212,118,55.7
wwstiming,206,187,90.8
rhodes,202,201,99.5
onyourmarks,199,195,98.0
pioneer,197,88,44.7
ic4a,194,188,96.9
mercury,191,189,99.0
athleticsnsw,188,180,95.7
roadrunner,179,176,98.3
timinginc,178,145,81.5
