state,date,end_date,name,location,level,athleticnet_meet_id,athleticnet_url,athleticlive_meet_ids,tenants,source
MI,2026-05-16,,MHSAA LP Region 12-2 @ Allendale,"Allendale, MI",unknown,630668,https://www.athletic.net/TrackAndField/meet/630668/info,73621,live_results;michiana,athleticlive-meet-harvest
IL,2222-04-15,,Sample Meet,"Palatine, IL",unknown,544540,https://www.athletic.net/TrackAndField/meet/544540/info,31939,athleticlive;live_results,athleticlive-meet-harvest
IA,2026-04-02,,Ballard HS Coed,"Huxley, IA",unknown,641247,https://www.athletic.net/TrackAndField/meet/641247/info,62528,aatiming;live_results,athleticlive-meet-harvest
OH,2026-04-01,,Fairmont/Miamisburg HS/MS Dual,"Kettering, OH",dual,635208,https://www.athletic.net/TrackAndField/meet/635208/info,65938,athleticlive;live_results,athleticlive-meet-harvest
NE,2025-10-07,,Pierce MS Twilight,"Pierce, NE",unknown,267897,https://www.athletic.net/TrackAndField/meet/267897/info,57459,blacksquirrel;live_results,athleticlive-meet-harvest
WI,2026-04-20,,Waupaca MS Invite,"Waupaca, WI",invitational,652155,https://www.athletic.net/TrackAndField/meet/652155/info,68283,live_results;thrace,athleticlive-meet-harvest
IL,2026-05-08,,West Suburban Silver Girls Conference Championship,"Western Springs, IL",conference,662971,https://www.athletic.net/TrackAndField/meet/662971/info,72532,live_results;palatine,athleticlive-meet-harvest
WI,2026-04-30,,SEC JV Invite,"Franklin, WI",invitational,632732,https://www.athletic.net/TrackAndField/meet/632732/info,70781,live_results;tracksidetiming,athleticlive-meet-harvest
OH,2026-04-14,,Lancaster HS Dual,"Lancaster, OH",dual,634523,https://www.athletic.net/TrackAndField/meet/634523/info,67922,athleticlive;live_results,athleticlive-meet-harvest
MO,2026-05-16,,MSHSAA Class 4 District 1 & 5 District 1,"Hillsboro, MO",district,648543,https://www.athletic.net/TrackAndField/meet/648543/info,73565,championshiptiming;live_results,athleticlive-meet-harvest
MI,2026-05-28,,41st Oakland County Middle School Championship,,unknown,617149,https://www.athletic.net/TrackAndField/meet/617149/info,74574,live_results;michiana,athleticlive-meet-harvest
IL,2026-05-01,,58th Annual Wanner Knights’ Invitational,"Mount Prospect, IL",invitational,657795,https://www.athletic.net/TrackAndField/meet/657795/info,71316,live_results;palatine,athleticlive-meet-harvest
IA,2025-10-22,,Iowa Class 3A State XC Qualifier,"Spencer, IA",unknown,267114,https://www.athletic.net/TrackAndField/meet/267114/info,57200,dakota;live_results,athleticlive-meet-harvest
IA,2026-05-31,,2026 JRC Youth Track & Field Meet,"Johnston, IA",unknown,659355,https://www.athletic.net/TrackAndField/meet/659355/info,74651,live_results;wayzata,athleticlive-meet-harvest
IL,2026-04-20,,Grayslake Central vs North Chicago Dual Meet,"North Chicago, IL",dual,659206,https://www.athletic.net/TrackAndField/meet/659206/info,69008,live_results;palatine,athleticlive-meet-harvest
MN,2026-04-09,,Maple Grove vs St. Michael-Albertville,"Maple Grove, MN",unknown,650663,https://www.athletic.net/TrackAndField/meet/650663/info,66796,live_results;wayzata,athleticlive-meet-harvest
IA,2026-05-01,2026-05-02,Musco Twilight,"Iowa City, IA",unknown,659086,https://www.athletic.net/TrackAndField/meet/659086/info,70525,live_results;wayzata,athleticlive-meet-harvest
