school_id,name,state,city,association,classification,enrollment,co_op,athletics_website,school_website,athleticnet_team_id,milesplit_school_id,aliases,source_namespaces,evidence_sources,identity_count
sch_0ac18da9d6301dcf,Akiachak School,AK,Akiachak,,,,false,,,,22254,,milesplit_school,milesplit_ak,1
sch_6f2eb741dfca1fcd,Akiak School,AK,Akiak,,,,false,,,,49468,,milesplit_school,milesplit_ak,1
sch_c637f323171a2eae,Akiuk Memorial,AK,Kasigluk,,,,false,,,,46316,,milesplit_school,milesplit_ak,1
sch_5bc76f5e8c48def7,Akula Elitnaurvik School,AK,Kasigluk,,,,false,,,,43955,,milesplit_school,milesplit_ak,1
sch_4cee07ae97943d66,Akutan,AK,Akutan,,,,false,,,,68743,,milesplit_school,milesplit_ak,1
sch_ebe81962d5975b4d,Alak High School,AK,Wainwright,,,,false,,,,39026,,milesplit_school,milesplit_ak,1
sch_fc5d264581667f65,Ambler High School,AK,Ambler,,,,false,,,,39012,,milesplit_school,milesplit_ak,1
sch_9b4687d2f6e402d2,Anchorage Christian High School,AK,Anchorage,,,,false,,,,15810,,milesplit_school,milesplit_ak,1
sch_ad5535373c058aca,Anderson School,AK,Anderson,,,,false,,,,21361,,milesplit_school,milesplit_ak,1
sch_760bb366b772e2fc,Andreafski High School,AK,St. Mary's,,,,false,,,,41092,,milesplit_school,milesplit_ak,1
sch_189b95201ea8202d,Angoon High School,AK,Angoon,,,,false,,,,37249,,milesplit_school,milesplit_ak,1
sch_f36e1bf3a6e20020,Aniak,AK,Aniak,,,,false,,,,40914,,milesplit_school,milesplit_ak,1
sch_9c34e02dcdc55820,Aniguiin School,AK,Elim,,,,false,,,,43957,,milesplit_school,milesplit_ak,1
sch_e2604aeb33562424,Anna Tobeluk Memorial,AK,Nunapitchuk,,,,false,,,,46317,,milesplit_school,milesplit_ak,1
sch_d61a8695146accea,Anthony Andrews,AK,St Michael,,,,false,,,,41093,,milesplit_school,milesplit_ak,1
sch_fc7bb4dab83c7380,Aqqaluk High School,AK,Noorvik,,,,false,,,,43958,,milesplit_school,milesplit_ak,1
sch_ad219c6ac31e15de,Ayagina Aoar,AK,Ak,,,,false,,,,49647,,milesplit_school,milesplit_ak,1
sch_b3356ba1e344164d,Ayaprun School,AK,Ak,,,,false,,,,49469,,milesplit_school,milesplit_ak,1
sch_d0ece16164c981eb,Barrow High School,AK,Barrow,,,,false,,,,21354,,milesplit_school,milesplit_ak,1
sch_8a260dbced9731fe,Bartlett High School,AK,Anchorage,,,,false,,,,15220,,milesplit_school,milesplit_ak,1
sch_b4c8343e9ed17dd5,Ben Eielson High School,AK,Eielson Afb,,,,false,,,,20731,,milesplit_school,milesplit_ak,1
sch_f618091c2c0a3c95,Bethel Regional High School,AK,Bethel,,,,false,,,,22243,,milesplit_school,milesplit_ak,1
sch_b4e5ac7d6a45d685,Birchtree,AK,Ak,,,,false,,,,68448,,milesplit_school,milesplit_ak,1
