state_code,state,ms_subdomain,hs_team_records_on_milesplit,teams_sampled,teams_sampled_with_nonempty_roster,roster_enumeration_free,sampled_athletes_all_grades,sampled_c2027_total,sampled_c2027_boys,sampled_c2027_girls,sampled_c2027_boys_outdoor,sampled_c2027_boys_indoor,sampled_c2027_boys_xc,sampled_median_roster_size,sampled_c2027_share_of_roster_pct,est_c2027_total_order_of_magnitude_low,est_c2027_total_order_of_magnitude_high,est_note,athnet_corpus_boys_g11,sampled_c2027_boys_outdoor_in_athnet_corpus,sampled_c2027_boys_outdoor_match_pct,rankings_grade_filter,leaderboard_grade_filter_free,meet_results_raw_free,athlete_profile_grad_year_free,athlete_profile_results_free
WI,Wisconsin,wi.milesplit.com,597,3,3,yes,434,142,75,67,50,46,16,142,32.7,16119,39999,"n=3 teams/state; NOT a point estimate, band only",3961,37,74.0,present (grade=junior) but full list paywalled (MileSplit PRO),yes (1 row/event/grade),yes when a result set exists,yes,no (PRO)
MN,Minnesota,mn.milesplit.com,592,3,2,yes,144,25,12,13,10,6,7,72.0,17.4,2368,7499,"n=3 teams/state; NOT a point estimate, band only",3845,5,50.0,present (grade=junior) but full list paywalled (MileSplit PRO),yes (1 row/event/grade),yes when a result set exists,yes,no (PRO)
IA,Iowa,ia.milesplit.com,411,3,3,yes,592,85,42,43,33,29,17,141,14.4,8220,18084,"n=3 teams/state; NOT a point estimate, band only",2643,24,72.7,present (grade=junior) but full list paywalled (MileSplit PRO),yes (1 row/event/grade),yes when a result set exists,yes,no (PRO)
IL,Illinois,il.milesplit.com,849,3,3,yes,153,58,21,37,15,15,9,32,37.9,5943,30564,"n=3 teams/state; NOT a point estimate, band only",6136,12,80.0,present (grade=junior) but full list paywalled (MileSplit PRO),yes (1 row/event/grade),yes when a result set exists,yes,no (PRO)
MI,Michigan,mi.milesplit.com,895,3,1,yes,52,3,1,2,1,0,0,52,5.8,895,895,"n=3 teams/state; NOT a point estimate, band only",6041,0,0.0,present (grade=junior) but full list paywalled (MileSplit PRO),yes (1 row/event/grade),yes when a result set exists,yes,no (PRO)
IN,Indiana,in.milesplit.com,533,3,2,yes,113,32,19,13,7,3,6,56.5,28.3,2843,8528,"n=3 teams/state; NOT a point estimate, band only",2710,3,42.9,present (grade=junior) but full list paywalled (MileSplit PRO),yes (1 row/event/grade),yes when a result set exists,yes,no (PRO)
OH,Ohio,oh.milesplit.com,977,3,3,yes,492,136,79,57,63,51,19,161,27.6,9770,86953,"n=3 teams/state; NOT a point estimate, band only",6390,39,61.9,present (grade=junior) but full list paywalled (MileSplit PRO),yes (1 row/event/grade),yes when a result set exists,yes,no (PRO)
MO,Missouri,mo.milesplit.com,700,3,3,yes,201,55,34,21,30,6,4,68,27.4,10500,16100,"n=3 teams/state; NOT a point estimate, band only",3661,16,53.3,present (grade=junior) but full list paywalled (MileSplit PRO),yes (1 row/event/grade),yes when a result set exists,yes,no (PRO)
KS,Kansas,ks.milesplit.com,413,3,2,yes,105,34,15,19,10,0,2,52.5,32.4,1652,7709,"n=3 teams/state; NOT a point estimate, band only",2059,8,80.0,present (grade=junior) but full list paywalled (MileSplit PRO),yes (1 row/event/grade),yes when a result set exists,yes,no (PRO)
NE,Nebraska,ne.milesplit.com,317,3,3,yes,719,63,36,27,31,19,10,196,8.8,2853,11729,"n=3 teams/state; NOT a point estimate, band only",1993,20,64.5,present (grade=junior) but full list paywalled (MileSplit PRO),yes (1 row/event/grade),yes when a result set exists,yes,no (PRO)
ND,North Dakota,nd.milesplit.com,153,3,2,yes,156,19,5,14,5,2,1,78.0,12.2,714,1224,"n=3 teams/state; NOT a point estimate, band only",767,5,100.0,present (grade=junior) but full list paywalled (MileSplit PRO),yes (1 row/event/grade),yes when a result set exists,yes,no (PRO)
SD,South Dakota,sd.milesplit.com,196,3,3,yes,489,64,34,30,32,29,14,32,13.1,588,10584,"n=3 teams/state; NOT a point estimate, band only",939,20,62.5,present (grade=junior) but full list paywalled (MileSplit PRO),yes (1 row/event/grade),yes when a result set exists,yes,no (PRO)
