state,canonical_school,canonical_key,alias_variants,n_alias_variants,dat_tf_men_team_ids,dat_tf_women_team_ids,dat_xc_men_team_ids,dat_xc_women_team_ids,n_dat_team_records,all_dat_team_ids,duplicate_team_records,sports_present,dat_leagues,source_league_urls,athletic_net_team_id,athletic_net_team_id_source,source,observed_on,verification
IA,Adair-Casey,adair casey,Adair-Casey (x4),1,41865,41866,24801,24802,4,track:men:41865;track:women:41866;xc:men:24801;xc:women:24802,no,track;xc,Iowa,https://www.directathletics.com/leagues/track/101.html | https://www.directathletics.com/leagues/xc/89.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
IA,ADM,adm,ADM (x4),1,41849,41850,24785,24786,4,track:men:41849;track:women:41850;xc:men:24785;xc:women:24786,no,track;xc,Iowa,https://www.directathletics.com/leagues/track/101.html | https://www.directathletics.com/leagues/xc/89.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
IA,AGWSR,agwsr,AGWSR (x4),1,41795,41796,24719,24720,4,track:men:41795;track:women:41796;xc:men:24719;xc:women:24720,no,track;xc,Iowa,https://www.directathletics.com/leagues/track/101.html | https://www.directathletics.com/leagues/xc/89.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
IA,Akron-Westfield,akron westfield,Akron-Westfield (x4),1,25693,25694,25007,25008,4,track:men:25693;track:women:25694;xc:men:25007;xc:women:25008,no,track;xc,Iowa,https://www.directathletics.com/leagues/track/101.html | https://www.directathletics.com/leagues/xc/89.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
IA,Albia,albia,Albia (x4),1,29565,41932,24879,24880,4,track:men:29565;track:women:41932;xc:men:24879;xc:women:24880,no,track;xc,Iowa,https://www.directathletics.com/leagues/track/101.html | https://www.directathletics.com/leagues/xc/89.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
IA,Alburnett,alburnett,Alburnett (x4),1,41977,41978,24935,24936,4,track:men:41977;track:women:41978;xc:men:24935;xc:women:24936,no,track;xc,Iowa,https://www.directathletics.com/leagues/track/101.html | https://www.directathletics.com/leagues/xc/89.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
IA,Algona,algona,Algona (x4),1,41749,41750,24665,24666,4,track:men:41749;track:women:41750;xc:men:24665;xc:women:24666,no,track;xc,Iowa,https://www.directathletics.com/leagues/track/101.html | https://www.directathletics.com/leagues/xc/89.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
IA,Alta,alta,Alta (x4),1,25697,25698,24745,24746,4,track:men:25697;track:women:25698;xc:men:24745;xc:women:24746,no,track;xc,Iowa,https://www.directathletics.com/leagues/track/101.html | https://www.directathletics.com/leagues/xc/89.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
IA,Ames,ames,Ames (x4),1,14367,14313,24380,24381,4,track:men:14367;track:women:14313;xc:men:24380;xc:women:24381,no,track;xc,Iowa,https://www.directathletics.com/leagues/track/101.html | https://www.directathletics.com/leagues/xc/89.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
IA,Anamosa,anamosa,Anamosa (x4),1,41966,41967,24923,24924,4,track:men:41966;track:women:41967;xc:men:24923;xc:women:24924,no,track;xc,Iowa,https://www.directathletics.com/leagues/track/101.html | https://www.directathletics.com/leagues/xc/89.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
