fragment,state,sport,role,school,coach_name,ad_name,source_url,verify
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,,Activities Director,albia,,Kevin Archer,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,,Asst Athletic Director,albia,,Josh Simms,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,,Athletic Director,albia,,Kevin Archer,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Cross Country,Varsity Head Coach - Boys Cross Country,albia,Larry Achenbach,,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Cross Country,Varsity Assistant Coach - Boys Cross Country,albia,Jody Buckingham,,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Track & Field,Varsity Head Coach - Boys Track & Field,albia,Tyler Pasut,,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Cross Country,Varsity Head Coach - Girls Cross Country,albia,Larry Achenbach,,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Cross Country,Varsity Head Coach - Girls Cross Country,albia,Vacant Vacant,,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Cross Country,Varsity Assistant Coach - Girls Cross Country,albia,Jody Buckingham,,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Cross Country,Varsity Assistant Coach - Girls Cross Country,albia,Vacant Vacant,,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Cross Country,Varsity Assistant Coach - Girls Cross Country,albia,Vacant Vacant,,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Track & Field,Varsity Head Coach - Girls Track & Field,albia,Justin Long,,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Track & Field,Varsity Head Coach - Girls Track & Field,albia,Vacant Vacant,,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Track & Field,Varsity Assistant Coach - Girls Track & Field,albia,Vacant Vacant,,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Track & Field,Varsity Assistant Coach - Girls Track & Field,albia,Vacant Vacant,,https://www.gobound.com/ia/schools/albia/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,,Activities Director,acgc,,Taylor Tiernan,https://www.gobound.com/ia/schools/acgc/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Cross Country,Varsity Assistant Coach - Boys Cross Country,acgc,Adrianna  Holmes,,https://www.gobound.com/ia/schools/acgc/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Cross Country,Varsity Head Coach - Boys Cross Country,acgc,Gabe Soda,,https://www.gobound.com/ia/schools/acgc/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Track & Field,Varsity Head Coach - Boys Track & Field,acgc,Jacob Lacey,,https://www.gobound.com/ia/schools/acgc/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Cross Country,Varsity Assistant Coach - Girls Cross Country,acgc,Adrianna  Holmes,,https://www.gobound.com/ia/schools/acgc/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Cross Country,Varsity Head Coach - Girls Cross Country,acgc,Gabe Soda,,https://www.gobound.com/ia/schools/acgc/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Track & Field,Varsity Head Coach - Girls Track & Field,acgc,Jacob Lacey,,https://www.gobound.com/ia/schools/acgc/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,,Activities Director,adm,,Rod Wiebers,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,,Asst Athletic Director,adm,,Alex Schnebbe,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,,Asst Athletic Director,adm,,Vacant Vacant,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,,Athletic Director,adm,,Rod Wiebers,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Cross Country,Varsity Head Coach - Boys Cross Country,adm,Josh Chapman,,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Cross Country,Varsity Assistant Coach - Boys Cross Country,adm,Rich Miller,,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Track & Field,Varsity Head Coach - Boys Track & Field,adm,Jesse Hunt,,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Track & Field,Varsity Head Coach - Boys Track & Field,adm,Vacant Vacant,,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Track & Field,Varsity Assistant Coach - Boys Track & Field,adm,Theo Baldus,,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Track & Field,Varsity Assistant Coach - Boys Track & Field,adm,Rich Miller,,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Track & Field,Varsity Assistant Coach - Boys Track & Field,adm,Carter Tryon,,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
