state,schools,athletes,co2027,co2027_boys,co2027_girls,co2027_profile_url,co2027_grade_evidence,co2027_multisource,co2027_with_coach,co2027_with_coach_email,coaches,coaches_with_email
OH,1504,106136,31708,16997,14634,29992,31708,9891,456,456,28,23
IL,1889,92973,26488,14878,11594,26002,26488,10740,8170,7958,15102,3235
WI,1027,125844,22074,12014,10031,17921,22074,5185,16085,14921,2550,2155
MI,1493,114289,22073,12855,9218,21967,22073,9148,0,0,6,6
IN,1108,54475,16931,9380,7446,14758,16931,3188,0,0,0,0
MO,1037,50830,15168,8576,6590,15121,15168,5552,0,0,0,0
MN,1016,64275,14420,7957,6463,14345,14420,5315,10726,9905,6596,2333
IA,913,62201,14076,7906,6108,11347,14076,2820,105,21,53,4
KS,836,33628,10077,5728,4348,9888,10077,1937,0,0,526,523
NE,678,44983,9200,5067,4127,7868,9200,3066,6059,0,1772,0
SD,427,22812,4868,2774,2094,4673,4868,1442,283,79,25,5
ND,339,15138,3004,1623,1381,3003,3004,985,1317,0,922,0
ALL,12267,787584,190087,105755,84034,176885,190087,59269,43201,33340,27580,8284
