state,schools,athletes,co2027,co2027_boys,co2027_girls,co2027_profile_url,co2027_grade_evidence,co2027_multisource,co2027_with_coach,co2027_with_coach_email,coaches,coaches_with_email
OH,1504,87765,26998,14414,12507,26998,26998,0,313,313,28,23
IL,1889,69493,19392,10856,8521,19392,19392,0,6432,6244,15102,3235
WI,1027,118031,19281,10323,8929,15339,19281,0,14699,13646,2550,2155
MI,1493,94771,16176,9285,6891,16176,16176,0,0,0,6,6
MO,1037,42226,13218,7377,5839,13218,13218,0,0,0,0,0
IN,1108,40846,11909,6430,5402,11909,11909,0,0,0,0,0
MN,1016,54084,11261,6147,5114,11261,11261,0,9338,8629,6596,2333
KS,836,29950,9252,5258,3993,9252,9252,0,0,0,526,523
IA,913,49024,8738,4924,3804,8738,8738,0,76,19,53,4
NE,678,35800,5921,3248,2673,5921,5921,0,4971,0,1772,0
CO,202,16054,5280,3042,2238,5280,5280,0,0,0,0,0
CA,202,15545,4521,2588,1915,4521,4521,0,0,0,0,0
AZ,202,15853,4287,2501,1736,4287,4287,0,0,0,0,0
AL,202,14129,3435,1969,1466,3435,3435,0,0,0,0,0
AR,201,20919,3434,2035,1399,3434,3434,0,0,0,0,0
SD,427,17134,2669,1518,1151,2669,2669,0,239,78,25,5
ND,339,12612,2043,1116,927,2043,2043,0,1111,0,922,0
AK,173,6922,1340,805,535,1340,1340,0,0,0,0,0
CT,28,2409,794,435,359,794,794,0,0,0,0,0
VT,3,108,15,12,3,15,15,0,0,0,0,0
WY,3,64,5,2,3,5,5,0,0,0,0,0
DC,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,0,0,0,0,0,0,0,0,0,0,0
FL,0,0,0,0,0,0,0,0,0,0,0,0
GA,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,0,0,0,0,0,0,0,0,0,0,0
ID,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,0,0,0,0,0,0,0,0,0,0,0
MA,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0
ME,0,0,0,0,0,0,0,0,0,0,0,0
MS,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,0,0,0,0,0,0
NC,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,0,0,0,0,0,0,0,0,0,0,0
NJ,0,0,0,0,0,0,0,0,0,0,0,0
NM,0,0,0,0,0,0,0,0,0,0,0,0
NV,0,0,0,0,0,0,0,0,0,0,0,0
NY,0,0,0,0,0,0,0,0,0,0,0,0
OK,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,0,0,0,0,0,0,0,0,0,0,0
PA,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,0,0,0,0,0,0,0,0,0,0,0
TN,0,0,0,0,0,0,0,0,0,0,0,0
TX,0,0,0,0,0,0,0,0,0,0,0,0
UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,0,0,0,0,0,0,0,0,0,0,0
VA,0,0,0,0,0,0,0,0,0,0,0,0
WA,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,13483,743739,169969,94285,75405,166027,169969,0,37179,28929,27580,8284
