state,schools,athletes,co2027,co2027_boys,co2027_girls,co2027_profile_url,co2027_grade_evidence,co2027_multisource,co2027_with_coach,co2027_with_coach_email,coaches,coaches_with_email
OH,1504,106136,31708,16997,14634,29992,31708,9891,456,456,28,23
IL,1889,92973,26488,14878,11594,26002,26488,10740,8170,7958,15102,3235
WI,1027,125844,22074,12014,10031,17921,22074,5185,16085,14921,2550,2155
MI,1493,114289,22073,12855,9218,21967,22073,9148,0,0,6,6
IN,1108,54475,16931,9380,7446,14758,16931,3188,0,0,0,0
MO,1037,50830,15168,8576,6590,15121,15168,5552,0,0,0,0
MN,1016,64275,14420,7957,6463,14345,14420,5315,10726,9905,6596,2333
IA,913,62201,14076,7906,6108,11347,14076,2820,105,21,53,4
KS,836,33628,10077,5728,4348,9888,10077,1937,0,0,526,523
NE,678,44983,9200,5067,4127,7868,9200,3066,6059,0,1772,0
CO,202,16054,5280,3042,2238,5280,5280,0,0,0,0,0
SD,427,22812,4868,2774,2094,4673,4868,1442,283,79,25,5
CA,202,15545,4521,2588,1915,4521,4521,0,0,0,0,0
AZ,202,15853,4287,2501,1736,4287,4287,0,0,0,0,0
AL,202,14129,3435,1969,1466,3435,3435,0,0,0,0,0
AR,201,20919,3434,2035,1399,3434,3434,0,0,0,0,0
ND,339,15138,3004,1623,1381,3003,3004,985,1317,0,922,0
AK,173,6922,1340,805,535,1340,1340,0,0,0,0,0
CT,28,2409,794,435,359,794,794,0,0,0,0,0
VT,3,108,15,12,3,15,15,0,0,0,0,0
WY,3,64,5,2,3,5,5,0,0,0,0,0
DC,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,0,0,0,0,0,0,0,0,0,0,0
FL,0,0,0,0,0,0,0,0,0,0,0,0
GA,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,0,0,0,0,0,0,0,0,0,0,0
ID,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,0,0,0,0,0,0,0,0,0,0,0
MA,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0
ME,0,0,0,0,0,0,0,0,0,0,0,0
MS,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,0,0,0,0,0,0
NC,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,0,0,0,0,0,0,0,0,0,0,0
NJ,0,0,0,0,0,0,0,0,0,0,0,0
NM,0,0,0,0,0,0,0,0,0,0,0,0
NV,0,0,0,0,0,0,0,0,0,0,0,0
NY,0,0,0,0,0,0,0,0,0,0,0,0
OK,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,0,0,0,0,0,0,0,0,0,0,0
PA,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,0,0,0,0,0,0,0,0,0,0,0
TN,0,0,0,0,0,0,0,0,0,0,0,0
TX,0,0,0,0,0,0,0,0,0,0,0,0
UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,0,0,0,0,0,0,0,0,0,0,0
VA,0,0,0,0,0,0,0,0,0,0,0,0
WA,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,13483,879587,213198,119144,93688,199996,213198,59269,43201,33340,27580,8284
