State,Schools,Athletes,Class of 2027,Co27 boys,Co27 girls,Co27 grade-evidenced,Co27 profile URL,Co27 multi-source,Co27 with coach,Co27 with coach email,Coaches,Coaches with email,Co27 profile URL %,Co27 with coach %,Co27 with coach email %
OH,1504,106136,31708,16997,14634,31708,29992,9891,456,456,28,23,94.6%,1.4%,1.4%
IL,1889,92973,26488,14878,11594,26488,26002,10740,8170,7958,15102,3235,98.2%,30.8%,30.0%
WI,1027,125844,22074,12014,10031,22074,17921,5185,16085,14921,2550,2155,81.2%,72.9%,67.6%
MI,1493,114289,22073,12855,9218,22073,21967,9148,0,0,6,6,99.5%,0.0%,0.0%
IN,1108,54475,16931,9380,7446,16931,14758,3188,0,0,0,0,87.2%,0.0%,0.0%
MO,1037,50830,15168,8576,6590,15168,15121,5552,0,0,0,0,99.7%,0.0%,0.0%
MN,1016,64275,14420,7957,6463,14420,14345,5315,10726,9905,6596,2333,99.5%,74.4%,68.7%
IA,913,62201,14076,7906,6108,14076,11347,2820,105,21,53,4,80.6%,0.7%,0.1%
KS,836,33628,10077,5728,4348,10077,9888,1937,0,0,526,523,98.1%,0.0%,0.0%
NE,678,44983,9200,5067,4127,9200,7868,3066,6059,0,1772,0,85.5%,65.9%,0.0%
SD,427,22812,4868,2774,2094,4868,4673,1442,283,79,25,5,96.0%,5.8%,1.6%
ND,339,15138,3004,1623,1381,3004,3003,985,1317,0,922,0,100.0%,43.8%,0.0%
TOTAL,12267,787584,190087,105755,84034,190087,176885,59269,43201,33340,27580,8284,93.1%,22.7%,17.5%
