Metric,Core (Athletic.net off),All sources,Core share
Athletes (all grades),651736,787584,82.8%
Class of 2027,146858,190087,77.3%
Class of 2027 boys,80896,105755,76.5%
Class of 2027 girls,65751,84034,78.2%
"Class of 2027, grade-evidenced",146858,190087,77.3%
"Class of 2027, public profile URL",142916,176885,80.8%
"Class of 2027, multiple sources",0,59269,0.0%
"Class of 2027, coach identified",37179,43201,86.1%
"Class of 2027, coach professional email",28929,33340,86.8%
Coaches,27580,27580,100.0%
Coaches with professional email,8284,8284,100.0%
Schools,12267,12267,100.0%

Core meets,1532,11007,13.9%
Meets carrying an Athletic.net id,0,9593,"enrichment key only, never dereferenced"
