school_id,name,co2027,athletes_all
sch_c8ea4dcef688a0ef,Colony High School,90,469
sch_19720568b91d33a1,South Anchorage High School,80,244
sch_051f545742ee9934,Chugiak High School,68,217
sch_67f9999dcccd2a1a,Service High School,65,191
sch_f022e28743e039e1,West Anchorage High School,56,201
sch_3365e67878ebe154,Soldotna High School,47,158
sch_a6990c7fbc581065,Dimond High School,47,147
sch_f8adda038be79c3f,East Anchorage High School,46,136
sch_368e217c8405f2a0,Juneau-Douglas High School,44,127
sch_b666a06801bae2ef,Eagle River High School,42,146
sch_99a4d3c3f3edaf95,Wasilla High School,38,271
sch_3d0c140520123971,Palmer High School,37,189
sch_8a260dbced9731fe,Bartlett High School,35,122
sch_ae09c82db19eba59,Lathrop High School,35,85
sch_e90d4137b20c8f6a,West Valley High School,33,108
sch_bd260b393e1147d5,Ketchikan High School,24,57
sch_cb97b81e99c500e7,North Pole High School,23,95
sch_6c32dd4d622bbb19,Kenai Central High School,22,325
sch_9b4687d2f6e402d2,Anchorage Christian High School,22,122
sch_a88d59b7d2598d55,Kodiak High School,21,210
sch_d4dbb2ba513eb101,Susitna Valley High School,19,108
sch_62b8c84774ed1cd7,South Central All-Stars,19,43
sch_0414f74a45d8a661,Grace Christian School,18,189
sch_7385b278e0ebf8cf,Homer High School,16,182
sch_a2e3b7431127cb9d,Sitka High School,16,71
sch_768589bbc80526f3,Valdez High School,16,48
sch_eeae9f310a08f2ca,Cook Inlet Academy,15,61
sch_0e78b70618be14ec,Hutchison High School,14,38
sch_0ba56b591434b8d0,Seward High School,13,61
sch_c9a6ffaefe5ddbf5,Unattached AK,12,506
sch_536954115456bd43,Nikiski High School,12,54
sch_f618091c2c0a3c95,Bethel Regional High School,12,31
sch_2a57b1c7c7414295,Lumen Christi High School,11,29
sch_82ab5230afde0f9c,Monroe Catholic High School,10,26
sch_9f9f1b94431d9bb8,Galena,10,24
sch_154d0d6fc0acc2a3,Tri Valley High School,10,11
sch_4beb130f586ac6fb,Houston High School,9,61
sch_95de1896d3000847,Dillingham High School,9,35
sch_01146476b06e6508,Craig City School,9,25
sch_612e86e38914d3d1,Redington High School,8,92
sch_547e50bfe604f4c5,Petersburg High School,8,39
sch_3d22ca22b5eb2e1e,Holy Rosary Academy,8,29
sch_482529db05b6cabd,Wrangell High School,8,23
sch_03893674d08504dd,Metlakatla High School,8,14
sch_bc59d025a53572e6,Skagway High School,7,26
sch_35e345de4f1fcfc1,Mt. Edgecumbe High School,7,25
sch_8a071220383fb900,Delta Junction High School,7,22
sch_477fccd08a9c8021,Perryville,6,18
sch_1f55794b319a5c9c,Goldenview High School,5,354
sch_12486c2242a2aea6,Glennallen High School,5,31
sch_80b8757a8fbd7098,Unalaska High School,5,17
sch_a51284844022d38a,Kake,5,11
sch_163f8da4406304af,Nuiqsut Trapper HS,5,6
sch_dea51d36fb5061d5,Thunder Mountain High School,5,5
sch_a91216e2027cd31a,Kotzebue High School,4,35
sch_cd0d030d96634e25,Haines High School,4,31
sch_0fc093940a7c7665,Nome-Beltz High School,4,31
sch_5d9184fa3d641756,Nenana City School,4,26
sch_1af4df52ce5dbf59,Scammon Bay School,4,14
sch_9af6d9ef91b7eb7f,Buckland High School,4,12
sch_af02644a5d61615c,Unalakleet High School,4,11
sch_d0ece16164c981eb,Barrow High School,4,8
sch_301e0a5ae847f0ff,Bristol Bay High School,4,6
sch_831b2a6e408f973a,Chevak High School,3,29
sch_86249796f327f297,Ninilchik High School,3,21
sch_ebe4c3f9118f6c4d,Noorvik High School,3,12
sch_fc5d264581667f65,Ambler High School,3,11
sch_0e81ee399ce18600,Shishmaref School,3,9
sch_ace6baa13be5fd0a,Tikigaq High School,3,9
sch_f34e72d1095114a0,Hoonah High School,3,8
sch_c8f0c3e99e10f5fb,Gustavus High School,3,7
sch_a5d35ed33d91f4b4,Lewis Angapak Memorial,3,6
sch_af2ef71c9ffc2330,Chief Paul Memorial,3,5
sch_b4c8343e9ed17dd5,Ben Eielson High School,3,4
sch_ecbc77a20ba7a50f,Hooper Bay High School,2,24
sch_0ac18da9d6301dcf,Akiachak School,2,11
sch_3138a9f9ebba7117,Kiana High School,2,10
sch_4d53a5c1e5fbab83,Klawock,2,9
sch_40582272197a001c,Selawik High School,2,9
sch_30d3ae05324a3add,Effie Kokrine Charter School,2,8
sch_5c2ab0be77d32862,Deering High,2,7
sch_3dc30a020df359b8,Hogarth Kingeekuk Memorial,2,6
sch_e8fc52d0c87e39e9,Tanalian School,2,6
sch_ebe81962d5975b4d,Alak High School,2,5
sch_04ee337494960247,Pilot Station School,2,3
sch_8da199d9336c4c1c,Tuluksak School,2,3
sch_439f5225e2e3545f,White Mountain School,2,3
sch_6f2eb741dfca1fcd,Akiak School,2,2
sch_411a76212afa9eb8,Cordova HS,1,38
sch_98442a369a59d901,Birchwood Christian,1,37
sch_7ad09f73919f712b,Napaaqtugmiut High School,1,8
sch_8564e0de5def924b,Shungnak High School,1,8
sch_7aad382f8b39ea3f,Kali High School,1,7
sch_fdf84b5da396c130,Shaktoolik,1,7
sch_013460ba788d9338,Meade River School,1,6
sch_f36e1bf3a6e20020,Aniak,1,5
sch_5ae3f43c0e11f0cc,Jimmy Huntington School,1,5
sch_91125b61f0c67543,Kwigillingok School,1,5
sch_aefafd1ee4ac0259,SWDP Academy,1,4
sch_8aaccde2b32f3c45,Gambell,1,3
sch_109858b09000c79d,Kwethluk Community School,1,3
sch_1bc8ac08bd4c119e,Minto High School,1,3
sch_ad5535373c058aca,Anderson School,1,2
sch_ad219c6ac31e15de,Ayagina Aoar,1,2
sch_41d169ba7253c376,Fort Yukon,1,2
sch_1ae2286bd6e117d8,Nunamiut School,1,2
sch_4bde686bae8bdafd,Chaputnguak,1,1
sch_713e0f6b4fd87040,Nelson Island High School,1,1
sch_4ce65639460b1a83,Paul T Albert Memorial,1,1
sch_ca226c3b052794f2,Skyview High School,0,168
