school_id,name,co2027,athletes_all
sch_77ba643121285d6c,Hoover,136,349
sch_a3d18f129d5b47cb,Auburn HS,109,410
sch_e61d3ad5264fafb4,Vestavia Hills HS,109,323
sch_31fa68215574c82d,Hewitt-Trussville HS,103,333
sch_a550e66f26a6bc9d,Bob Jones,76,361
sch_a28391805710072d,Clay-Chalkville High School,76,156
sch_2fe674d48620829e,Sparkman High School,75,220
sch_c5f6684ade5dd50c,Dothan High School,73,211
sch_6a0601bb42340b22,Mountain Brook HS,70,400
sch_01aca875d1e08541,Enterprise High,69,347
sch_2dd08cc4d8c1ce41,Saraland High School,68,304
sch_86e4fcdb277cff76,Smiths Station,64,236
sch_1ebba274a0914f24,James Clemens,63,325
sch_a8fb22bf932d6cba,Homewood HS,62,238
sch_25af599dc56c9a35,Thompson,62,228
sch_bb6a8ba6277e6159,Gulf Shores HS,58,175
sch_0a376ec2e1946eb9,Baker,58,150
sch_66888c1800a8e72b,Oxford (AL),56,179
sch_76d25865895dbcb3,Pelham,56,166
sch_233f50a1f6e890c1,McAdory High School,56,136
sch_97df33ebe8330f58,John Carroll Catholic High School,55,166
sch_4632a2e7b9319b64,Opelika High School,55,155
sch_e65724d4fff715e9,Hazel Green,54,262
sch_e22b23144efc343b,Minor,54,109
sch_0408071eade5661a,Athens High School,53,180
sch_3126386589b5dc01,Northridge High School,52,200
sch_eecdec47e1910ded,Grissom HS,50,169
sch_9b590bdd99a93617,Huntsville HS,49,394
sch_3944a7f207351be0,Fairhope,49,171
sch_baa1444074e816af,Ramsay,49,98
sch_406906acc26a0f18,Lincoln High School (AL),48,168
sch_caae7d5c41220df2,Davidson,47,160
sch_2ba850f7191fea84,Pell City High School,45,197
sch_6c8c9dc1c986ef73,Tuscaloosa County,45,119
sch_b79fc76a66e3d38e,Albertville,44,181
sch_1ed2aadfb509f9bd,Oak Mountain HS,44,148
sch_3d4446a4c6f8c8c3,Gardendale,44,123
sch_feb67d182eeb8585,Cullman,43,181
sch_72bcd2d9f8f4eb10,Center Point High School,43,112
sch_4077149b388dc6d7,Lee-Huntsville,43,69
sch_008747dbb33f7932,Scottsboro HS,42,224
sch_ac015523bf1086e9,Chelsea High School,42,148
sch_473be5a08fa073de,McGill-Toolen Catholic,42,125
sch_8565fe960d2cda13,Helena High School,40,136
sch_88282e9d62446def,Central - Tuscaloosa,40,98
sch_091a5e10997c4574,Fort Payne,39,178
sch_de289a42b52468ac,Spain Park,39,151
sch_54efcc0290df937e,UMS-Wright,39,124
sch_241c1eff80451b13,Good Hope,39,123
sch_8d2032dfee7d1073,Jackson-Olin,39,76
sch_c0e000bac40a1912,Pike Road School,38,182
sch_3555b6995188f5bc,Alabama School of Cyber Technology and Engineering,38,134
sch_66023163ca5fc290,Boaz,38,133
sch_8687c089ea528314,Fayette County High School,38,91
sch_b81584b57f8a58ac,Mary G Montgomery,37,142
sch_a68b0329ba641439,Gadsden City,37,116
sch_3c2eaad6768baa18,Foley,37,79
sch_f14cda03d70a243d,Austin,36,197
sch_2ffd83529168e7a8,Moody,36,135
sch_8d620f859382d561,Stanhope Elmore,36,119
sch_164dfd4bb6d5c875,W. S. Neal High School,36,69
sch_d5df71bb4c1f9860,Russellville,35,195
sch_a4a6356b925fb613,Brewer,35,70
