school_id,name,co2027,athletes_all
sch_648eb0c55f5d7481,Fayetteville High School,107,346
sch_9d415d10c0091f46,Bentonville High School,102,352
sch_dce336f8ee658b3d,Bryant High School,86,466
sch_e09f020eef51b74b,Bentonville West,80,255
sch_5025a58ce5d92011,Ramay Junior High School,77,699
sch_da4ec2705154950a,Rogers Heritage High School,72,181
sch_5cbdf4b2081595a2,Rogers High School,71,292
sch_027bcb006fe91be3,Har-Ber High School,65,134
sch_aa49cf5c9eadec73,Jonesboro High School,65,109
sch_e15b6d6fce68cb27,Lake Hamilton High School,62,486
sch_118af6861763d377,Benton Junior High School,61,257
sch_1d308b733117c9eb,Ft. Smith Southside High School,58,178
sch_100bf874fdef1d78,Jacksonville High School,57,203
sch_b2cac0540e6518ff,Ft. Smith Northside High School,57,164
sch_b794ab2ab58c2769,Lakeside (HS) High School,56,300
sch_f4211d89279c0027,Arkansas High School,55,253
sch_2a5026f298622c7c,Russellville High School,53,264
sch_a513085f371edf83,Hope High School,52,110
sch_d8e4f9083d053217,Benton High School,51,168
sch_c4139dad75b91bfc,Pea Ridge High School,51,134
sch_bf4e69e665058515,Magnolia High School,50,108
sch_4c2032816c767cdc,Marion High School,49,137
sch_d0c53968ba6a5855,North Little Rock High School,49,136
sch_f7c2ee0e44417516,Maumelle High School,47,95
sch_b5359c92c5626e28,Russellville Junior High,46,390
sch_1566cc8e541a4c70,Conway High School,46,106
sch_57be23974cec4330,Van Buren Junior High,45,205
sch_f0f1ba29e7c1e58a,Joe T. Robinson High School,45,115
sch_46e2e4f123e5378e,Siloam Springs Schools,44,335
sch_d22f16104501cf74,Forrest City High School,43,96
sch_996363839c4d7f20,Sylvan Hills High School,43,81
sch_5352fa7d953561ec,LR Central High School,42,157
sch_778c58a165528aca,Pea Ridge Junior High,40,350
sch_14e9d9f2dc8636cb,Cabot High School,39,494
sch_e629e64a11f3e96c,Brookland High School,39,278
sch_6c7d6c898fc22f34,Prescott High School,39,184
sch_003fd39aeb4abefd,Caddo Hills High School,39,161
sch_40bc2f6a035813d6,Valley View High School,39,130
sch_0a6743af441b4c22,Parkview High School,39,126
sch_d13f1938932c1105,Southwest Junior High School,38,336
sch_4d4e92bae2ae0e47,Annie Camp Junior High,38,203
sch_8c2a1d45c1db0c8f,Van Buren High School,38,87
sch_ae1568704c21b42a,Don Tyson School of Innovation,37,217
sch_aed2de9d7f6ddc29,DeQueen High School,37,181
sch_95bf565a6c39ac14,Southside-Batesville High School,37,152
sch_8986caaa0ca59d9a,Genoa Central High School,37,113
sch_c702efe840d1549d,Camden Fairview High School,36,107
sch_77e5c848815474e5,Clarksville High School,36,105
sch_ae70443e82d67e9b,Nettleton High School,36,90
sch_e200051197935d41,Magnolia Junior High,35,245
sch_fd6eb867a28996c6,Clinton High School,35,172
sch_89830ef73eb058cc,Booneville High School,34,176
sch_325c69867fe9059a,Sylvan Hills Junior High,34,174
sch_49118095285801a2,Quitman High School,34,160
sch_72d7a5a422c1b0ab,Pocahontas High School,34,116
sch_a43e2da4c19456bf,Mills University Studies High School,34,59
sch_91be6a94b8573cb1,Genoa Central Junior High,33,326
sch_4b027d882804f475,Waldron High School,33,248
sch_0230e9dcb9bb191b,West Helena Central High School,33,142
sch_446de28281c2504b,Springdale High School,33,106
sch_3f82d9cb0aa955d8,Monticello High School,33,83
sch_a84dcfde83a15380,Central Arkansas Christian,32,219
sch_512175f495841498,Westside Consolidated High School,32,206
sch_7508f39418335762,Bauxite High School,32,143
sch_7c73ff4a0c7e7966,Thaden School,32,127
sch_f6f26c74caee35b6,Nashville High School,32,101
sch_eadf2332d0a558ad,LR Southwest High School,32,80
sch_a695828c8c1bffbe,Greenwood High School,32,78
sch_05f3c202b206dc66,Jessieville High School,32,78
sch_686a82eab2e3753c,Cabot South Junior High,31,379
sch_b0f24ecf19bb5176,MacArthur Junior High,31,242
sch_5239d9b08a4cf8c2,Dardanelle High School,31,228
sch_1f963c12951cdb05,Wynne High School,31,178
sch_84bbfae1c1aa31ac,Forrest City Junior High,31,138
sch_fc3097f8d29dad15,Lonoke High School,31,137
sch_06b520fc773eb09c,Batesville High School,31,131
sch_7dce46d4d01d98ef,Hot Springs High School,31,110
sch_4688de51b405a923,Gentry High School,30,162
sch_9370ac45e2a4c710,Warren High School,30,133
sch_cec3cac24171d7bd,Farmington High School,30,106
sch_e9a19faf71e8c0d4,Sheridan High School,30,92
sch_97c0d11747eef4f8,Vilonia Junior High,29,227
sch_ada54a7fd32964bb,Nashville Junior High,29,214
