school_id,name,co2027,athletes_all
sch_176c1fe530c3475c,Flagstaff High School,132,338
sch_03db41effb1cc034,Millennium High School,126,357
sch_9cb0f2a216ae3465,Red Mountain High School,109,305
sch_f015ef412622f137,Corona del Sol High School,105,313
sch_5977066f4e1be14d,Basha High School,105,283
sch_3939c61701d6c924,Coconino High School,98,243
sch_8351568a8168b735,Mesa Mountain View High School,94,288
sch_d7083a841207f954,Cibola High School,89,227
sch_0a5758b5ecc7fbf3,Shadow Ridge High School,88,218
sch_8004c478526c6f61,Mountain Ridge High School,85,293
sch_412af44e75515149,Verrado High School,85,271
sch_db3085d3a000c031,Mesa High School,80,120
sch_ac9ad50633d2887d,Arizona College Prep,78,321
sch_8d71200875c45689,Williams Field High School,78,230
sch_f2b1386d64a4b060,Crismon High School,75,250
sch_bffc7657e3505255,Salpointe Catholic High School,71,201
sch_1163e89a098f09b0,Boulder Creek High School,70,270
sch_0b53dbf5956fffd7,Highland High,67,294
sch_abbb8a9d5e5f1c15,Gilbert High School,66,243
sch_5bd9e9866ab3f95e,Catalina Foothills High School,65,273
sch_f0d9984c0fe34998,Campo Verde High School,65,196
sch_4dbec07d8dbc8e7a,Notre Dame Preparatory,64,151
sch_5d7c1f45f41b661c,Nogales High School,64,119
sch_ec40cce0e59ff72b,Gila Ridge High School,62,129
sch_733e3d8bdeb928d8,Pinnacle High School,60,196
sch_2e2b48cc8fbfd17e,ALA Queen Creek,59,276
sch_54ce5d96a24fa9cd,Cesar Chavez High School,59,130
sch_9973281eeb8f0b2d,Brophy College Preparatory,58,249
sch_603a888ce084df13,Tolleson Union High School,57,137
sch_23691b7329586d1f,Marana High School,56,207
sch_a631a6bf70ff6253,Liberty High School,56,206
sch_fa7349cfe9b02d35,Deer Valley High School,56,188
sch_ddf5d221593fed68,Willow Canyon High School,56,146
sch_c7f4d9a93d2978e8,Rincon University High School,56,129
sch_071cccbaf0c45d0c,Sandra Day O Connor High School,55,288
sch_bd87c7908c24e780,Desert Vista High School,55,208
sch_2ced4b52ab556294,Centennial High School,55,133
sch_54a853c55e8b5b2c,Mica Mountain High School,52,178
sch_e276882c00c985be,Ironwood Ridge High School,52,130
sch_48418bcea4dfdb49,Mountain Pointe High School,52,113
sch_71ab57ebdefdaa9d,Buckeye Union High School,51,141
sch_885b1b20e7e272ba,Glendale High School,51,111
sch_c0541f72cc765530,Westwood High School,50,140
sch_b0d8bbdffa58d03b,Snowflake High School,49,223
sch_ef56badc23f2b088,Higley High School,48,151
sch_190c17f52ab1d774,Bradshaw Mountain High School,48,137
sch_e90c4706b84a1823,Chaparral High School,47,155
sch_21d9774a4e050ff3,La Joya Community High School,47,110
sch_62dd158067e5d3c8,Valley Vista High School,47,110
sch_ebb37d96742fdf09,Queen Creek High School,46,206
sch_d2150bdcb62e4f9f,Sunnyslope High School,46,160
sch_8e1cbb0ef660a452,Sunrise Mountain High School,46,137
sch_0f3ca3090acc32aa,Tucson Magnet High School,46,104
sch_01e6291a9fd08ec4,Winslow High School,45,244
sch_0cb161ccc8c2e7df,Estrella Foothills High School,45,132
sch_1b75b7c9b2ddfada,Alchesay High School,45,106
sch_661fb3d2c918572c,McClintock High School,45,106
sch_ff6ab4e52fe2eb58,Marana Mountain View High School,44,129
sch_a3c573f6daad3731,Casteel,43,191
sch_24acd18b64fdf35e,Pusch Ridge Christian Academy,43,176
sch_9472783c386cf1bd,Alhambra High School,43,72
sch_29c5a6884e234f5a,Sahuarita High School,42,105
sch_bc25b7d8e8d751f6,Copper Canyon High School,42,78
sch_e57568f94912a948,ALA West Foothills High School,41,237
sch_bf50de94d8089afb,Cienega High School,41,163
sch_d5aec35c442b8a3c,Perry High School,41,115
sch_784eab328b91796a,Chandler High School,41,112
sch_5d3f16d722eb3f1e,Cortez High School,40,79
sch_e9cf7b25e31ef9fd,ALA Ironwood,39,214
sch_737bcdcdd50379b9,Chinle High School,38,225
sch_1f2119695efbaace,Greenway High School,38,172
sch_48c59238651ada85,Blue Ridge High School,38,147
sch_2aa1e14128df1695,St. Johns High School,38,142
sch_7f83cca3e91f5b00,West Point High School,38,142
sch_0b28f2839c196893,Desert Mountain High School,38,127
