school_id,name,co2027,athletes_all
sch_6a86fc6211eed508,Mission Viejo (SS),156,350
sch_06c4a0e06603e45b,Liberty (SS),156,349
sch_a5673ed34dbcb881,Bellarmine College Prep (CC),149,476
sch_6653aa72c6a53745,Vista Murrieta (SS),145,364
sch_326d77e75df2582b,Los Alamitos (SS),142,488
sch_29f8e1718688ab4a,Santiago Corona (SS),139,339
sch_aff3d4fd0e8d2e2d,Murrieta Valley (SS),138,309
sch_754614e8a9517b1a,Mission San Jose (NC),131,318
sch_cf423f792a88ffce,Rancho Cucamonga (SS),131,299
sch_3014dc89ef2656ec,Camarillo (SS),129,321
sch_f2ae33471d7ecda5,Davis (SJ),123,480
sch_dcd39e1a8a088ae8,Warren (SS),123,370
sch_92544212fa73347f,Trabuco Hills (SS),121,414
sch_00cdd8e61c8ab3b0,Redondo Union (SS),121,352
sch_0d5a91bb2ac700d8,Otay Ranch (SD),121,295
sch_c1e1b5ccd68e1887,Roosevelt (SS),120,327
sch_7fa7a5f6c1204ae5,ML King (SS),119,337
sch_655e7cec0ab9a0a8,Miramonte (NC),117,325
sch_7aa9b20b0e4eaaff,Heritage (NC),117,295
sch_19a23a00c27f8a6c,California (NC),116,379
sch_a3302066481b10bf,Mira Costa (SS),116,293
sch_cd20bd3996ae23d5,Chaffey (SS),113,246
sch_e8af6cbf9deb42fd,Paloma Valley (SS),112,276
sch_0214744c5f530bc8,Quartz Hill (SS),112,238
sch_f2eef68f5add11fb,West Park (SJ),110,293
sch_be7de02a2fdcda1d,Canyon - Anaheim Hills (SS),109,411
sch_6fb92a9627a68314,Castro Valley (NC),109,294
sch_8d41d0501bf2e70f,Sonora (SS),109,269
sch_0766a447226bdcc1,Pacifica - Garden Grove (SS),108,301
sch_46e9d2be74086f22,Etiwanda (SS),107,298
sch_128d5a836d260e75,Los Gatos (CC),105,288
sch_6953c3c69db576a1,El Dorado (SS),105,248
sch_ae5187dc987d62d7,San Pedro (LA),105,212
sch_bdc9aed84cdf2c88,Chino (SS),104,194
sch_cd265aa001209962,Great Oak (SS),103,276
sch_4d2c5e2b4382a0c0,Dublin (NC),103,238
sch_be3b6924a4ebfbb4,Chino Hills (SS),102,271
sch_01cae600ac8e541a,Walnut (SS),102,257
sch_b40850d7081a94b4,Highland (CS),102,241
sch_0ddfe5a53b00f8b6,Canyon Springs (SS),102,219
sch_9e976a5f107b3158,Rowland (John A.) (SS),102,208
sch_6ee648060e143dca,San Marcos (SS),101,327
sch_d3d3489e91e52c9f,Millikan (SS),101,290
sch_aecee98216ff50af,Cathedral Catholic (SD),100,297
sch_e5f1e98d3fe4bd24,Foothill - Pleasanton (NC),100,268
sch_5148e885b0c99549,Redlands (SS),100,227
sch_decbc3ebd137b39e,Crescenta Valley (SS),99,315
sch_994c740023db1b19,Whitney (SJ),98,299
sch_da2edc9e87f86a42,Valencia (SS),98,293
sch_142da43253030822,El Toro (SS),98,273
sch_cd835b45391a12d4,Foothill - Santa Ana (SS),98,233
sch_3c0fbefa1959a29f,Fountain Valley (SS),97,316
sch_e250eef9adfd9976,Newport Harbor (SS),96,266
sch_f3403f7ad30829cb,Citrus Valley (SS),96,244
sch_908065941d3a0ec6,Long Beach Poly (SS),95,289
sch_2a5f941a46742b42,Maria Carrillo (NC),95,236
sch_2d2d1e9ddd2b0d1c,Los Altos (SS),95,209
sch_f7e2e48b04751513,Aliso Niguel (SS),94,259
sch_4d3eb4848aed2eb5,Redlands East Valley (SS),94,211
sch_22cfd0b4757f0107,Beaumont (SS),93,278
sch_3fbf0d67affdf1f6,Olympian (SD),93,229
sch_9f4cd3cd47acc0fa,Dos Pueblos (SS),92,326
sch_84ebaa7fcd66b793,Oak Ridge (SJ),92,321
sch_f66896de65a6ba2a,Burroughs Burbank (SS),92,289
sch_8e3b4b6466c9cf05,University (SS),92,261
sch_82fefe43368e7cdb,Segerstrom (SS),92,257
sch_8bbcea30144caf40,Edison (SS),91,306
sch_b0eb7be877725be4,Pittsburg (NC),91,202
sch_c3abb6434137584b,College Park (NC),89,277
sch_e5dfb1422021f768,Dougherty Valley (NC),89,252
sch_d86e5e0b75b0f8c6,Del Oro (SJ),88,306
sch_4567d6854807a084,Alisal (CC),88,267
sch_a690aa97bcf4a333,La Costa Canyon (SD),88,251
sch_d87e29e5dc662951,San Leandro (NC),88,198
sch_4c4a83ab95946703,Birmingham Community Charter (LA),87,332
sch_3f0d0081e6c9cb3a,Moreau Catholic (NC),87,259
sch_a289d5e4de2ba8cf,Yorba Linda (SS),87,246
sch_cf72b05826313c8d,Colony (SS),87,231
sch_233be8cb7367531c,Chaparral (SS),87,217
sch_cb7cf49a12150c52,Redwood (NC),86,494
sch_ddd4b7f742cd047f,Berkeley (NC),86,342
sch_a9a929b79cf138b3,Arroyo (SS),86,330
sch_5337174256a1eb68,Troy (SS),86,259
sch_a3b8b4dee0e42dcd,Buena Park (SS),86,223
sch_f01f7082a7d0b234,San Luis Obispo (CS),85,298
sch_f9a4ac125ece9c9a,Los Altos (CC),85,285
sch_737d9e317d8a107f,Steele Canyon (SD),85,263
sch_a7501bdc7ac2ff9b,La Canada (SS),85,243
sch_a0533956dae71957,Ramona (SS),85,229
sch_f9f2f6174e2a7773,Torrey Pines (SD),84,308
sch_2df75123e3143a68,La Serna (SS),84,245
sch_6672360b4e75b053,Moorpark (SS),84,225
sch_6d0742217ae5a91f,Buchanan (CS),83,252
sch_10e3db420114082e,St. Francis (CC),82,357
sch_e23205f8cadb1953,Wilson - Long Beach (SS),82,243
sch_512483bab9758c7c,Cypress (SS),82,240
sch_58d555c333da8fd6,Katella (SS),82,223
sch_0b177c4f5770dff1,Westminster (SS),82,199
sch_6f2f7ddd312299f9,Villa Park (SS),81,260
sch_d398cdfb4198f18f,Hesperia (SS),81,246
sch_51d076b68ed69d24,Redwood (CS),81,220
sch_bb769de7f9e19a18,Arlington (SS),81,198
sch_ac2f7a8af6932744,North Hollywood (LA),81,160
sch_22f0aad4d686741f,Northgate (NC),80,300
sch_b60f9fbf7ff46145,Lincoln HS -Lincoln (SJ),80,251
sch_420140aeca468b6c,Fullerton Union (SS),80,246
sch_a05a8ab930bfd0b3,Anaheim (SS),80,229
sch_fec605f7586ea40f,St. Ignatius College Prep (CC),79,266
sch_30b2199c17905229,Mira Mesa (SD),79,213
sch_709a28c3ac76df71,Oak Hills (SS),79,186
sch_8f1ff76d8fc8a960,Portola (SS),78,270
sch_168108fa51ee8785,Archbishop Mitty (CC),78,263
sch_f0a72eb1a80013ef,San Ramon Valley (NC),78,254
