school_id,name,co2027,athletes_all
sch_1232b9e68196b3e3,Cherry Creek High School,164,392
sch_7d80e555b6efa0cc,Fountain-Fort Carson High School,128,310
sch_f1aefd2c45604a9c,Broomfield High School,117,249
sch_292ce3550dc03f15,Denver East High School,112,397
sch_eedb580a8c7735cd,Northfield High School,110,349
sch_116421ebb74e53ae,Ralston Valley High School,109,307
sch_52c1e93ed654a9bc,Legend High School,109,270
sch_de5d8490510e5a38,Niwot High School,99,369
sch_545869a4481bc5fa,Regis Jesuit,99,267
sch_ea3ffb6bfac1c01e,Fairview High School,95,284
sch_bdbb282b9c2efaa3,Denver South High School,93,298
sch_686e48f98482c4c0,Cherokee Trail High School,91,246
sch_e6160bb9a1117b0c,Pine Creek High School,87,257
sch_c6a3640e0a9bbcb0,Chatfield Senior High School,87,204
sch_6b04dae700757940,Grandview High School,84,227
sch_38b79bdaa2f817a2,Eaglecrest High School,83,214
sch_e6a6fc8c96e5413f,Roosevelt High School,82,214
sch_ba1d382c277be0fc,Legacy High School,82,207
sch_62b5141aa3827a83,Arapahoe High School,82,201
sch_b08cbf4127979f3e,Erie High School,79,258
sch_22a244db55d4961b,Skyview High School,79,151
sch_c4b81e3601f8a201,Air Academy High School,78,206
sch_7c4f94e6c355294c,Chaparral High School,76,217
sch_d471c63db2a913ba,Palmer Ridge High School,76,197
sch_d52577814722f21a,ThunderRidge High School,75,211
sch_c4d30319cc9e03c0,Lutheran High School,75,195
sch_4d7b172a38514e42,Cheyenne Mountain High School,74,348
sch_aa1ae9353bfac085,Liberty High School,74,183
sch_ad1863a94e0c4ee4,Grand Junction High School,73,238
sch_3708280467e312db,Riverdale Ridge High School,71,170
sch_19a866bfe05c33d0,Longmont High School,70,187
sch_1f55c68d75ad8c2e,Boulder High School,68,229
sch_ee5a798e5f5fac0c,Mountain Vista High School,68,194
sch_dddb60a03e459fd4,The Classical Academy,68,193
sch_d0e9b984a53e3646,Palmer High School,68,168
sch_4d445b86c3621c13,Smoky Hill High School,68,152
sch_f456cb07619f105f,Vista Peak High School,68,150
sch_55538b3fc64389de,Fossil Ridge High School,67,243
sch_802a53382ca77357,Fort Collins High School,67,212
sch_eaf309e3034ee431,Mountain Range High School,67,144
sch_c3c29e07d4aa2791,Rocky Mountain High School,66,229
sch_353094384858606f,Mesa Ridge High School,64,184
sch_683a41550258ca99,Horizon High School,63,242
sch_9ee84444dfc6281e,Evergreen High School,63,206
sch_eac41ffa85be67c8,Vista Ridge High School,63,149
sch_4ce9cac3dfcbaecc,Columbine High School,62,176
sch_bf4d8c8c2adc6760,Rangeview High School,62,163
sch_c6526ce0d7b2a863,Discovery Canyon High School,61,197
sch_6b1515f53805d79f,Ponderosa High School,61,162
sch_3834f5349467dedf,Summit High School,60,156
sch_13bcd1cc500f9363,Frederick High School,59,164
sch_96a3fbe283533432,Arvada West High School,59,162
sch_4ae4931daf98d5c3,Greeley West High School,59,150
sch_6fd3f384b9ffd86b,Doherty High School,58,167
sch_250508c1628ff068,Monarch High School,58,163
sch_f3a51e02cca0fb29,Silver Creek High School,58,157
sch_dba8c8eefced8184,Castle View High School,57,206
sch_b8bac23bcb7eb578,Golden High School,57,158
sch_5b5d065253ba79d4,Rock Canyon High School,57,153
sch_c1305be299d947ce,George Washington High School,57,152
sch_68d2d46aad54714c,Pueblo West High School,56,155
