school_id,name,co2027,athletes_all
sch_d3657a1b7cd2230c,Danbury High School,132,320
sch_687ecc98580c9716,Hall High School,119,391
sch_b10285e184ccedbd,Brien McMahon High School,104,272
sch_7784305ced1f753a,Darien High School,93,281
sch_94349d8123e600a8,Staples High School,86,275
sch_62369d13a5f58c78,Trumbull High School,81,281
sch_80ea189179b7d7b9,Greenwich High School,81,246
sch_78f1c5eb9235d12c,Farmington High School,80,256
sch_7e95e99a2accb85e,New Canaan High School,80,235
sch_da27d85b0c766249,Simsbury High School,78,231
sch_c76f300e0f515b8a,Ridgefield High School,77,241
sch_0e185c26665914a3,Fairfield Ludlowe,76,209
sch_18a95f565928e9b0,Newtown High School,75,223
sch_71e32338ee76942d,Bethel High School,72,221
sch_eabcee9e9b409518,New Britain High School,72,163
sch_9cae693b3301bc42,Wilton High School,70,196
sch_664cfaa43ed84f1d,East Hartford High School,68,208
sch_95ea544fe9f72be0,Cheshire High School,68,198
sch_a84742aa130cb44e,Conard High,67,210
sch_ab4a95ff91d64dfb,Hamden High School,67,190
sch_37f4fc873d47462e,Amity High School,66,235
sch_58e5fd45a75ff049,Southington High School,64,179
sch_84023b66132b25f5,Shelton High School,59,147
sch_0ede9c64f2108172,Fitch High School,59,143
sch_10ad64412f3596c5,Glastonbury High School,57,199
sch_88f2da03cb7ef128,Jonathan Law High School,54,140
sch_cc6586a3b8301751,Avon High School,53,223
sch_d13c205ef12f5ce1,South Windsor High School,53,192
sch_0e07324ef58eb94c,Norwich Free Academy,52,196
sch_4097154e860deefc,Bristol Central High School,52,130
sch_feaf6ec6a73a74e3,Bridgeport Central High School,52,121
sch_364b4fa622cd248c,Loomis Chaffee,49,127
sch_5a6290140a8d79bc,New Milford High School,49,116
sch_74d3419c73d4baa3,Stratford High School,48,107
sch_bcaae707e37f9afb,Newington High School,47,154
sch_8bfcb4089802c13a,Westhill High School,47,102
sch_10d489698b6299c2,Notre Dame-West Haven,46,181
sch_4c821f3e9d134606,Ledyard High School,46,146
sch_aa7f4310c5d805bd,Fairfield Prep High School,44,153
sch_2934e8f03573bfe9,Pomperaug High,44,144
sch_be495e723a37269a,Branford High School,44,96
sch_f2e52ff80875cb5f,Wethersfield High School,43,173
sch_d708b447aab72f66,Manchester High School,43,137
sch_b6218a7b045bf63b,Fairfield Warde,42,141
sch_d1b1ae9dfaca2300,Plainville High School,42,102
sch_b0c0bf6a3e89077f,Weston High School,41,182
sch_2ea878f7ce95580c,Seymour High School,41,146
