school_id,name,co2027,athletes_all
sch_0b7b273574101184,MacArthur High School,31,60
sch_fb1aaba8955d9c16,Kipp DC: Legacy College Prep,29,60
sch_5f15994d6f9368ae,Digital Pioneers Academy,28,83
sch_c96c9c058c63b097,Girls Global Academy,13,17
sch_60a9227dd342c137,KIPP DC: College Prep,9,14
sch_d60c29cca22e3277,Bard High School Early College DC,7,24
sch_5f296a7f882cfcdb,Rosalyn Lake,2,22
sch_34e1d56e79bc431b,St. John's College High School,1,4
sch_56ed0676f00b9e86,Model Secondary School for the Deaf,1,2
sch_560ea87b7189c413,Washington International School,1,2
sch_52bcef50965363ad,Capital City Public Charter School,1,1
sch_e7f528733d50ab30,Cardozo High School,1,1
sch_926c6f7b07f763da,Eastern High School,1,1
sch_e8565a2bb3f72a22,Richard Wright PCS,1,1
sch_22efc5f206fb0c61,The Field School,0,14
sch_28478047bb8c8b0f,Options Public Charter School,0,6
sch_8f635b5567cc2034,Coolidge High School,0,3
sch_bed8693eb22c2b54,Paul Public Charter School,0,3
sch_dcd738ff9b89dc78,St. Albans School,0,3
sch_3fbee95f20537376,Unattached-DC,0,3
sch_d896be925a4fb320,Banneker High School,0,2
sch_4f1b09f5166facc4,St. Jerome Institute,0,2
sch_32ca07e531830e54,Washington Latin Public Charter HS,0,2
sch_b93ef541e7d27eba,H.D. Woodson High School,0,1
sch_de4dd676fc06e330,Anacostia High School,0,0
sch_1a705076280b8177,Ballou High School,0,0
sch_5c8bfed5ccd77ca6,BASIS DC,0,0
sch_3cbd9f01512ffa90,Bell High School,0,0
sch_8f485490f6c8df5e,British International School,0,0
sch_1ea6fe2cc38faa72,Cesar Chavez,0,0
sch_50437d1b6c39a5f1,DC International School,0,0
sch_6a5af7e775bb334f,DCIAA,0,0
sch_0d561c92ca7dc12b,District of Columbia Public Schools,0,0
sch_07da787f7bd02d69,Duke Ellington School of the Arts,0,0
sch_868766763d78f02d,E.L. Haynes Public Charter School,0,0
sch_abb49d5066a0e8ac,Friendship Collegiate Academy,0,0
sch_cb23611362fa18b8,Friendship Tech Prep (HS),0,0
sch_e35edbf07657f4ba,Friendship Technology Preparatory Academy,0,0
sch_12454776b461875b,FW Ballou High School,0,0
sch_52ace0e3cf519ff7,Georgetown Day School,0,0
sch_c16fd286bf436689,Georgetown Visitation Preparatory School,0,0
sch_1e54e39de89b44ed,Imagine Hope Tolson,0,0
sch_36746973aa78c630,Kingsbury Center,0,0
sch_4a62c69171e2c543,Lab School of Washington,0,0
sch_f90eca74b338d51d,Luke C. Moore Alternate High School,0,0
sch_339be7a7fffc0436,Mackin High School (Closed),0,0
sch_f174a7136dbdfe52,Maret School,0,0
sch_a50da9c77b5d10e6,Maya Angelou Public Charter School,0,0
sch_81bbd3dc12edec46,National Collegiate Prepatory Public Charter HS,0,0
sch_2e42438357b4afbd,Perry Street Preparatory HS,0,0
sch_b2ea210626668369,Roosevelt STAY High School,0,0
sch_b831a0026cc2b359,School Without Walls High School,0,0
sch_cc8dce69bf1d874a,Somerset Prep PCS,0,0
sch_837d9c1e50b2ab72,South County Secondary School,0,0
sch_980b3702ba88f804,Spingarn High School,0,0
sch_82559e59b7a724f4,St. Anselm's Abbey School,0,0
sch_30ec05add4d6386c,St. John's at Prospect Hall,0,0
sch_0c614935fda87d63,T Roosevelt Senior High School,0,0
sch_6cec8a26163d6a5c,Test team,0,0
sch_bdd1323a684648d3,The Seed School of DC,0,0
sch_0c3f1c70de434115,Washington Leadership Academy,0,0
sch_7d55dd8781b573a4,Washington Math Science & Tech PCHS,0,0
sch_b589aa7d2a731148,Washington Metropolitan Opportunity Academy,0,0
sch_c228074de5ef36d7,Washington Yu Ying Public Charter School,0,0
sch_c3b2a9ce0aef1cc1,Western High School (Closed),0,0
sch_e5e984208da4d3be,Whittle School,0,0
sch_074304ae72a17548,Young American Works Public Charter School,0,0
