school_id,name,co2027,athletes_all
sch_e08e8553fb2a9d59,Cape Henlopen High School,91,256
sch_4baf7e83baf6f32a,Polytech High School,87,219
sch_81352c9de702ef50,Charter School of Wilmington,82,221
sch_f3ab233954b872f0,Smyrna High School,79,206
sch_d48808d616d8621c,Tower Hill School,65,212
sch_403c381ec1f3b583,Newark Charter,63,246
sch_e879e05c3c113a25,St. Mark's High School,63,168
sch_3a074c847e53dc0f,Dover High School,63,121
sch_5b948f121e7a7771,Middletown High School,59,149
sch_4e2cf722f4308a7b,Archmere Academy,58,122
sch_527fcc6f1bc1b557,Odessa High School,53,176
sch_8bb4920065bd189c,Caesar Rodney High School,52,192
sch_80f323d96d737369,Delcastle High School,51,106
sch_8861bbe50261dfbd,Appoquinimink High School,48,151
sch_5051734bc0da920c,Lake Forest High School,48,117
sch_2ec3a4c4dd0c7c85,Salesianum School,47,154
sch_4391c38b6d73c077,Sussex Central High School,46,134
sch_18827cdd23768e8d,Conrad Schools of Science,44,118
sch_ceecc5b813e7c686,William Penn High School,43,110
sch_d60716ce8319ecbf,Christiana High School,42,130
sch_dbf0c9b3686b853e,Howard Tech High School,42,111
sch_10ea21e48ccd51ad,Milford High School,41,111
sch_7e9f09f1013553b8,Sussex Technical High School,38,119
sch_998458f312d60ea9,St. Andrews,37,125
sch_f0a1568c48b902f1,Odyssey Charter School HS,37,98
sch_31010c569d05b213,Brandywine High School,36,124
sch_45db2d29a8a75073,St. Georges Tech,35,104
sch_da9cfc58cd75d426,Dickinson (John) High School,33,154
sch_381ca993d0300f82,Hodgson Vo-Tech,32,107
sch_b8a113cb81a4fe71,Newark High School,32,79
sch_7a02a1e9c591dc3a,Concord High School,30,102
sch_05ab4b650e70e75f,Red Lion Christian,30,94
sch_b918823dbfcbdb7a,Glasgow,30,81
sch_3aeabf8af6a7ab97,First State Military Academy,30,68
sch_4134cfa362c23fee,Sussex Academy,29,125
sch_8627661e71799a02,Laurel High School,27,86
sch_febdccb78da5c122,Seaford High School,26,58
sch_8818085bcef2ecb9,Alexis I. DuPont High School,25,97
sch_4d851287ed620195,Mount Pleasant High School,25,58
sch_169f2a771ac2a88d,Wilmington Christian School,24,107
sch_8c39c292a68923b3,Ursuline Academy,24,69
sch_00f74bd7e590a13e,McKean (Thomas) High School,24,58
sch_c6a2980405640ca9,Indian River HS,23,96
sch_2759c16deb491b4c,Padua Academy,22,81
sch_8cb2b0e3665b7684,MOT Charter,22,47
sch_2ba62bd5998092b1,Tatnall,19,88
sch_c0203f7e1efeabea,Woodbridge High School,17,59
sch_e56fa3de40036f8a,Early College High School,16,86
sch_d7de6b6707ae06d8,Sanford School,15,65
sch_1c368b922a17a67a,Wilm Friends,15,52
sch_5461c7981a86769d,Delaware Military Academy,15,49
sch_27a093921ceea903,Caravel Academy,12,90
sch_b0448d18cb93e4f6,Delmarva Christian High School,9,21
sch_de6fb5a56334f93c,Delmar,8,26
sch_59b409980fdb0c81,ASPIRA Charter High School,8,24
sch_3fe1d7cc4a9864f2,Freire Charter School,6,38
sch_8bf01a965e97a12a,Cape Henlopen Unified Track and Field,5,10
sch_fde418ba6853b83b,St. Elizabeth High School,3,76
sch_8e0ba96e4c0f8425,Greenwood Mennonite School,2,64
sch_7eb6d1e5d134d7cd,Delaware School for the Deaf,1,11
sch_7c99afeedfe0e20e,Centreville Layton,1,9
sch_12b090f4ab005dff,Immaculate Conception,0,38
sch_a5aba1f793ccfd53,P.S. duPont,0,21
sch_b9a397c76cb789e0,Deasil Pole Vault Club,0,2
sch_fe9208a370b8444a,BETC,0,0
sch_66e430400765b254,Campus Community,0,0
sch_edc0e04cfe7c0493,Claymont,0,0
sch_f2a63baa8d755811,Concord Christian Academy,0,0
sch_aea6da9a7a93d148,Delaware Academy of Public Safety and Security,0,0
sch_ecaae39ab92def05,Delaware Design Lab High School,0,0
sch_90db06b13a846b11,Delaware Valley Classical School,0,0
sch_ffa4ca106b5f3927,DeLaWarr,0,0
sch_21705552cc9f8a9c,DIAA T&F Committee,0,0
sch_ec7049db1b13bbfc,Dover Air,0,0
sch_c03a8a5583a65d0a,Great Oaks Charter School,0,0
sch_5f6905505edca799,Laurel High School United Track and Field,0,0
sch_f3436df6c7ac237a,Lighthouse Christian School,0,0
sch_23a663199b4c10ad,Moyer Academy,0,0
sch_46c41931af84d88c,N5CTA,0,0
sch_717c3efbc20d2d5d,Pencader Charter,0,0
sch_e5b46b3de06ad5ce,St. Thomas More Prep,0,0
sch_e1fa071efa10ba71,Wilmington,0,0
