school_id,name,co2027,athletes_all
sch_01a57aef789d19b3,Spanish River HS,93,250
sch_4ed3e52dca7202b5,Bartram Trail HS,85,237
sch_2b61ed583f17995f,Tocoi Creek High School,84,164
sch_37f90fcb49817a5e,Bishop Kenny HS,74,201
sch_49cf8be71015411b,Dwyer HS,74,154
sch_824c65b2e26f52d3,Plant,73,146
sch_f22b64467ad7dd5f,Ponte Vedra HS,70,224
sch_3e0dfd5100a70472,Oakleaf HS,70,128
sch_2cb4274fd6baf51d,Newsome,69,221
sch_fb2df7680fbb1f0f,Mitchell HS,68,181
sch_0b46b076b32452ca,George Steinbrenner,68,159
sch_048063dfb0ff2d08,Pace HS,68,149
sch_41acbaa9bca2a414,University HS (Orange City),68,138
sch_189b8a87fa28f2ad,Dr. Joaquin Garcia,67,151
sch_435149e4be82e11a,Chiles HS,66,150
sch_1deeb020d5a0861b,Nease HS,64,173
sch_6f2250c6898b9b2e,Western HS,64,127
sch_d2e60065ea0ee6fc,Lakewood Ranch HS,63,159
sch_bfa7270f2a2c8f40,Creekside HS,61,187
sch_a5489073b25cf627,Spruce Creek HS,61,179
sch_3e37020d72113dbb,Timber Creek HS,61,119
sch_c4f8b28b4dc39cc7,Lake Mary HS,60,151
sch_3953fcb15bbf0c3d,St. Cloud HS,60,133
sch_2c415ebce86199a5,Our Lady of Lourdes Academy (Miami),59,146
sch_c40e35c5051a30c0,Flagler Palm Coast HS,59,134
sch_d46bb62fce724cd4,St. Thomas Aquinas HS,58,159
sch_eaa927c9a9872357,Pedro Menendez High School,58,124
sch_3e20710dfc9ec423,Miami Southridge HS,58,122
sch_fbff90ff5985bdf6,Cardinal Mooney HS,58,114
sch_18d9aa7bc50dcfaa,Naples HS,57,142
sch_2bcf777b1cba68fb,Lincoln HS,57,135
sch_8e466c409cd2dc3c,Gulf Breeze HS,57,116
sch_47977ab2eeb2e6b5,Pine Crest,56,183
sch_d7460b6a35302bae,George Jenkins HS,56,147
sch_e1abad254abe2b67,Bolles HS,54,303
sch_1aeb6f46e19176ab,Wiregrass Ranch HS,54,146
sch_57e3d0d4ad9e890a,The Villages HS,54,142
sch_79b3001778eff4ab,Leon HS,54,134
sch_69857bdb111b945a,Tampa Bay Tech,54,102
sch_682a5bee3a14d4c8,Calvary Christian Academy (Ft. Lauderdale),53,409
sch_2a1a0afeffd04cd2,Stanton Prep,53,131
sch_5f55e41808760cc5,Venice HS,53,130
sch_5553f66f77a8cd05,Sanford Seminole HS,53,125
sch_17b2e26c94714ff6,Fort Pierce Central HS,53,108
sch_8ed56505e94824b6,St. Petersburg HS,52,114
sch_d8f5ff49c6a0a9c2,Cypress Creek (Wesley Chapel) High School,51,114
sch_74ddf82f660dc460,Fleming Island HS,51,112
sch_1d0444713c043ac8,Harmony HS,51,108
sch_615f2a9f91ca0029,Mosley HS,51,101
sch_1122c7b61b8dca17,Navarre HS,51,99
sch_9864953dcebb4a81,Wharton,51,90
sch_7f28aa63a9c906bf,Belen Jesuit Preparatory School,50,327
sch_595799a4b2af2d89,John Carroll HS,50,105
sch_a1a440db6fa8504a,St. Andrew's School,49,231
sch_ee229f8ac99ef277,Middleburg HS,49,127
sch_b32e0d73d737b3af,Bloomingdale,49,120
sch_9ca28c757146929d,Lake Minneola HS,48,145
sch_ef7ce5f1eff8841d,Riverview,48,132
sch_d5d566d3b5670347,Eastside HS,48,119
sch_211858aa3611fe03,Immaculata-LaSalle HS,48,103
sch_0566ac415136c3e1,Tohopekaliga High School,48,102
sch_6a27c8972e04e780,Rickards HS,48,84
sch_56b4bc32d8f39681,The King's Academy,47,215
sch_c65dcae94edfc9fe,Gulf Coast HS,47,130
sch_80a9bdb5dcb3b71f,Lakeland HS,47,83
sch_7b4b0cf16391b4dd,Chaminade-Madonna College Prep,47,81
sch_7266bc93d7c177cd,Lake Highland Prep HS,46,279
sch_7284d2c44eda7599,Mandarin HS,46,125
sch_c2992213001622b4,Lennard,46,114
sch_64d88e6db27df36d,Osceola HS (Kissimmee),46,95
sch_49dfd4c644055d5c,Armwood,46,88
sch_9a9862ebda97fc30,Sumner HS,46,80
sch_60905cb8ffcf3455,Melbourne HS,45,123
sch_fe76678b4df2c22d,Heritage HS - Palm Bay,45,93
sch_918812283a2de043,East Bay,45,74
sch_3bc25c6c165b0ba4,Sarasota Riverview HS,44,150
sch_14c8040cca77a78c,Tampa Jesuit HS,44,133
sch_8c166813e902b7cf,Bishop Moore HS,44,116
sch_7a89a37d473e5bb0,Hagerty HS,44,115
sch_f75623a7ea6bf08f,Wakulla HS,44,105
sch_5c43cbf057aef3d0,DeLand HS,44,99
sch_600d27c56afd5b81,Sickles HS,44,77
sch_98a931ccd7efa38c,Gulliver Prep,43,213
sch_b1717c1a2ff22927,Bok Academy North,43,181
sch_f5306e208a2805e8,Cooper City HS,43,114
sch_89b81f98a77dbe39,South Fork HS,43,113
sch_c363baf81b1b8294,Wolfson High School,43,112
sch_9ca9349edc46a122,Douglas HS,43,111
sch_c4280e80282e1aa8,Ocala Vanguard HS,43,110
sch_5c9fe67ba6ee9726,Boone HS,43,105
sch_694f8633f0395cde,Pensacola Catholic HS,43,103
sch_9b609066c06e97c7,Olympia HS,43,101
sch_ff462a285714eead,Rockledge HS,43,92
sch_5438980df6ba4ede,Freedom HS (Orlando),43,87
sch_62c97ee1cc031047,Palm Beach Gardens HS,43,72
sch_b52ed8821e56fd15,Christopher Columbus HS,42,127
sch_59e1e1abee7a5d46,St. Augustine HS,42,111
sch_8f796a148fe08d88,Orange Park HS,42,96
sch_05b276c9c2ad6d7f,Choctawhatchee HS,42,94
sch_ccd4250b159ccad4,Suncoast HS,42,90
sch_5d64b704c3921188,Beachside High School,42,87
sch_73d7cdad740441b5,Ida S. Baker HS,42,84
sch_a4e399952584cbc7,Boca Raton HS,41,124
sch_947478e72512e6d1,Viera HS,41,121
sch_e2509be90d2c6742,South Sumter HS,41,113
sch_d56fa5c56415eef5,Charlotte HS,41,106
sch_c279fc639c89f607,West Florida Tech HS,41,90
sch_70c33e3bbfca268c,Ocoee HS,41,88
sch_2a5a94b1897e8d17,West Port HS,41,86
sch_b25f11c95c7be7b8,Homestead HS,41,83
sch_bc74bba76428ceab,Fletcher HS,41,81
sch_cde8be0f1989e2de,Glades Central HS,41,74
sch_5472b2cc50630db1,Discovery High School,41,70
sch_6c9f20559b983e88,Key West HS,40,131
sch_d5a4bf4f75fd1fd4,Sunlake HS,40,116
sch_76bd6b9bb73b6e71,Sebastian River HS,40,115
sch_f06dec286cedbd63,North Port HS,40,111
sch_90889b37526f7a7e,Golden Gate HS,40,104
sch_59a22bed4d29982b,Alonso,40,97
sch_35b64d927118cb06,Gainesville HS,40,92
sch_687448e384d7c52e,Edgewater HS,40,89
sch_45dd15a15ff3ee41,Keys Gate Charter HS,40,87
sch_687ddcb6056633df,Strawberry Crest,40,87
sch_98e4f4aafc34ece5,Miami Monsignor Pace HS,40,77
sch_89e5206830e34bb0,Archbishop McCarthy HS,39,99
sch_31d21830be744922,Father Lopez Catholic HS,39,98
sch_e9bea9fde86dde9c,Jupiter HS,39,98
sch_34bd9ac82721e819,Sebring HS,39,90
sch_e14f64b961e6996a,Southwest Miami HS,39,87
sch_9e0c1b5d699bd580,Escambia HS,39,81
sch_f1b7b56d9749c3e9,Arnold HS,39,75
sch_a847ad0a0ae14946,Weeki Wachee HS,39,75
sch_040986729368fb5a,Tarpon Springs HS,39,68
sch_c1dbb4f6af77ffbf,Seminole Ridge HS,39,55
sch_9a7e76815e8a9d33,Niceville HS,38,147
sch_43b65874336dbebf,Benjamin School,38,132
sch_60c45617af0373ae,Tavares HS,38,102
sch_286d62996ed8afa4,Gateway Charter HS,38,100
sch_af04720d05cd7c3d,Nature Coast Tech,38,100
sch_6cc2e76f66b4cbad,Winter Springs HS,38,88
sch_03c9dd0738f2b72d,Plant City,38,86
sch_4a4a99259d864004,Fernandina Beach HS,38,80
sch_d6e53c048c7ae74c,Deltona HS,38,74
sch_326a2ffb2a09482e,Bartow HS,38,67
sch_8442ba565e96024e,Crestview HS,37,117
sch_3af3423e9c3daa1e,Ridgeview HS,37,103
sch_3cdc8fa9b55095cc,Seabreeze HS,37,100
sch_669a2cbf623aa931,Satellite High School,37,95
sch_de086b0e2c773d10,Mainland HS,37,93
sch_406487c8dec2a89d,Mount Dora HS,37,90
sch_034b4c966725a1c0,Lely HS,37,89
sch_04957a493bbbfc78,West Orange HS,37,88
sch_b9e62de409a957ee,Lake Brantley HS,37,82
sch_36885d64fdaf1726,Riverdale HS,37,79
sch_f08a31de311ebac9,G. Holmes Braddock HS,37,62
sch_8ac79cd519286f58,First Academy (Orlando),36,203
sch_b52424481e3bfd34,Calvary Christian (Clearwater),36,113
sch_aea3dcb7f2efe029,Fort Myers HS,36,110
sch_cfed2eb61f646fe6,Osceola HS (Seminole),36,105
sch_1af0f238926560c0,Winter Park HS,36,99
sch_abfa6d8892528ebc,Park Vista HS,36,96
sch_7a3cf82d854bec7a,Haines City HS,36,95
sch_bc7923cdca146791,Innovation High School,36,95
sch_feecc2dd3abee8da,Zephyrhills HS,36,90
sch_fc09ac789bde7655,Atlantic Coast HS,36,85
sch_b001b463ac9dfa8e,Lake Nona HS,36,84
sch_93384cb0c564eec0,Bayside HS,36,80
sch_6ecda4730cf6402c,Cardinal Gibbons HS,36,80
sch_7d0f619054906f5a,Coral Shores HS,36,80
sch_cb82670d3e08f272,Auburndale HS,36,79
sch_4afcda67f47a7566,Andrew Jackson HS,36,76
sch_facdf607af06a070,Spoto HS,36,70
sch_d22040865772f01b,Ed White HS,36,69
sch_869acf416db1b441,Hernando HS,36,56
sch_3b8a2c8ff02fc1b1,Mount Dora Christian Academy (Bible),35,144
sch_022e62f017349b2d,Buchholz HS,35,141
sch_5cb26849227bb574,Cypress Bay HS,35,106
sch_f6979bf06101bba6,Aubrey Rogers High School,35,96
sch_b54b200646fdd5e5,Gateway HS (Kissimmee),35,96
sch_e937c3e893d318c5,Wesley Chapel HS,35,91
sch_feb8d234e23b5df0,East River HS,35,82
sch_b1597e5010aad437,IMG Academy,35,82
sch_65d13c230578bebb,Miami Northwestern HS,35,80
sch_b6da8fd55b1ce5d3,Leesburg HS,35,64
sch_ebd6264675ce4308,Poinciana HS,35,53
sch_8a5e28cdf251ad3d,Academy for Innovative Education (AIE),34,121
sch_33a9dd19fc0f5e0f,Admiral Farragut Academy,34,121
sch_2a6c4f92d4664bf8,Legacy Charter High School,34,104
sch_deb2b57dd660bde7,Marianna HS,34,95
sch_4a74aad05f7dd8b9,Winter Haven HS,34,95
sch_f2ba7f96bd34b9c4,University HS (Orlando),34,93
sch_295b2021a4da8f44,East Ridge HS,34,92
sch_2870aeca6fa9cbd5,DeSoto County HS,34,85
sch_6e64085b462acbe6,Jean Ribault HS,34,81
sch_a2183806ab6ea418,Centennial HS,34,79
sch_b8417b91ba1a4f66,Eustis HS,34,74
sch_c03bfa38ded77800,Piper HS,34,69
sch_62498a2e0236e2e9,Forest Hill HS,34,65
sch_0bc5ab2fe2ce7237,South Fort Myers HS,34,59
sch_11e5044237be884b,Barron Collier HS,33,97
sch_f580b7e45d30b9f3,Fort Walton Beach HS,33,93
sch_3c4be639999a39eb,Palm Beach Central HS,33,88
sch_e728c372f4d9024b,Braden River HS,33,85
sch_70aa69d588060621,LaBelle HS,33,83
sch_fdd533c9ce9574f5,Miami Norland HS,33,82
sch_2c5e8a7ea4bd7eb8,Lake Buena Vista High School,33,69
sch_65a018869e517297,Countryside HS,33,61
sch_95faf2bbcc8dac99,Miami Senior HS,33,58
sch_8e6e9e04d64da1be,Palm Bay HS,33,53
sch_3af0376ae0d8f7a1,Foundation Academy,32,190
sch_395ee3817e11751e,Providence School,32,139
sch_25c319a4bf08f368,Rutherford HS (Springfield),32,111
sch_6aaa95bfe3214443,Dillard,32,109
sch_7d2fcf562d1a3684,Keystone Heights HS,32,99
sch_15809934dcb63daf,Baker Senior HS,32,98
sch_93824c3955a764de,Vero Beach HS,32,96
sch_bd2ff170c045f546,South Lake HS,32,92
sch_0aa1cf4e36b41b8e,Blanche Ely HS,32,66
sch_902767c2a0364f1e,Coral Springs HS,32,65
sch_0d3c1f193e54f18a,Matanzas HS,32,64
sch_10c87e79862e2cb9,Miami Coral Park HS,32,60
sch_bc50b83c7e6e7009,Leto,32,59
sch_9a80c7771455e311,Ronald W. Reagan / Doral HS,32,55
sch_d573018391640441,Bayshore HS,32,50
sch_6d2e097d06a197f3,Westminster Christian School,31,244
sch_6e90c0c0e0097adc,North Broward Prep,31,96
sch_515dcad2fcd366c6,Oviedo High School,31,92
sch_dee45d1ace41abe1,Pine Ridge HS,31,89
sch_1eb9ba9e1e55bb91,Mater Lakes Academy HS,31,86
sch_63c87ea8cdde2d44,Largo HS,31,80
sch_8c7a5dbfa75e2e5c,Dunedin HS,31,77
sch_fd3cf9abeb00a1ba,Citrus HS,31,71
sch_c8d0de5826c291a5,Merritt Island HS,31,71
sch_918292ce0501f574,Cape Coral HS,31,68
sch_d5e4810d994a9ff0,Gateway High School,31,68
sch_a7c3bb5756a5cbbb,Fivay High School,31,58
sch_9eef61138f9ccc56,Raines HS,31,56
sch_487c0b4ac49d1437,Jones HS,31,55
sch_1a110f3ddf827dc2,Lehigh HS,31,54
sch_f553d9a98e458e2b,Evans HS,31,52
sch_073c07ce8570b1ff,Miami Killian HS,31,37
