school_id,name,co2027,athletes_all
sch_f062946b9e6f685f,Brookwood School,182,558
sch_93e80632d373a92a,Archer,157,399
sch_706edd58f64dc0f5,Grayson High School,144,336
sch_ec30e9830cd06491,Lambert HS,142,406
sch_261ef840d9a2e376,Parkview High School,129,317
sch_6c3cbf9bedc9d66f,West Forsyth High School,121,335
sch_38733a700e58b031,Norcross High School,110,300
sch_c055e8ae0f9d858a,Harrison High School,108,308
sch_26d34bbf3a6e38dd,Denmark High School,107,311
sch_003fbd4dbe3449c4,Seckinger High School,106,272
sch_16979864a91cf53b,St. Pius X,106,266
sch_b9329a90d1d05854,North Gwinnett,103,295
sch_e07cc031fe7ef3c1,Mill Creek High School,102,385
sch_01ce3aa532828f04,Peachtree Ridge High School,100,258
sch_386850c628539b73,North Paulding HS,98,253
sch_496a08523b52071d,Roswell High School,97,300
sch_29387e8e08ad3b1e,Walton High School,96,231
sch_39c8335033c47bd1,Berkmar High School,93,174
sch_1e0c3dfaf327c74e,North Cobb High School,92,235
sch_1d45f7c1e6ec2214,Westlake,91,283
sch_576b23d3c1b1aad4,Carrollton High School,91,247
sch_2463d898d892f295,Johns Creek HS,91,247
sch_49f998d9c03cae4d,Milton High School,89,297
sch_9126e35aa7002a49,Creekview,88,229
sch_134f79311b23dfa0,Lassiter High School,86,237
sch_c3fade202a54de30,North Oconee,85,253
sch_dcf9126c02d75cd9,Buford High School,84,263
sch_ce45290ba45a24f1,Hillgrove,84,223
sch_31f4ffd626549476,Alexander,83,194
sch_b50605bd1690a00a,Walnut Grove HS,82,199
sch_6a438965e35d933e,South Forsyth High School,81,253
sch_6318a5e03f4193a0,Lanier HS,79,206
sch_145d5ab9a15047fd,East Paulding High School,78,215
sch_4dcc8fb94a0c7504,Central Gwinnett,78,177
sch_aa22e08b92a64ea3,KIPP Atlanta Collegiate,77,213
sch_5f6e5b8ac6f8d00e,Midtown,77,177
sch_dfdb96f229c06141,McIntosh High School,76,219
sch_cbb9ab34e1315dbf,Grovetown HS,76,181
sch_06dbe7196245d6ee,Clarke Central,75,238
sch_5a003e2c5ce51a10,Sequoyah High School,74,181
sch_0985ad3df7a0a0fb,Greenbrier High School,74,177
sch_a7a84ec24be4f6e6,Kell High School,73,171
sch_0776cbd3d6ffcd1e,Meadowcreek HS,73,151
sch_75b878a1179e904e,Peach Co.,72,228
sch_8e824c0c5a69f1a0,Forsyth Central,72,205
sch_0e4f56ca2c925030,McEachern High School,72,188
sch_58a83f4802671a08,Brunswick,72,163
sch_831d3ac411d636ae,Lowndes High School,71,175
sch_a24f5969b9722bbe,Apalachee High School,71,160
sch_6ae2e2ede124f080,Richmond Hill,70,203
sch_6bf38ef5eaeaf1d3,South Gwinnett,70,191
sch_d3ee7a7a6464b276,Loganville HS,70,179
sch_c177a55bf00ea95e,Marietta High School,69,222
sch_b3107bcc71d926ec,Marist,68,493
sch_f5cc374fe9ce22b1,Pope High School,68,222
sch_e5ffc38ccd72158c,Glynn Academy,68,164
sch_71cc71ec403177f6,Rockdale Co.,68,147
sch_22e6a3cdbdd81254,Warner Robins,67,164
sch_e66a82322f6c8961,Northside Columbus,67,156
sch_4d58591c36bf8c37,Cartersville High School,66,216
sch_4b92f332dca2aa66,Cherokee High School,66,188
sch_0783dff5cb340902,Allatoona HS,66,156
sch_30e4e8222c1b5f7a,Duluth High School,66,147
sch_146f7f81d9def79f,Statesboro High School,66,136
sch_2968fc93f80bbf9b,Decatur High School,65,222
sch_b34f812796f738d4,Dacula,65,162
sch_d5f324529f08451d,Mountain View HS,65,146
sch_a14be8bb1d4638fd,Westminster School,64,603
sch_8446a75065276d5b,Collins Hill High School,64,163
sch_5ae25809bcde5857,Newton,64,160
sch_102366f1a80ed116,HV Jenkins,64,143
sch_bd211e4c86dc762a,Lovejoy,64,128
sch_dc393251c87c4bae,Oconee County High School,63,190
sch_8bcce42ee328f859,Cambridge HS,63,188
sch_78ef13d9409fd3c2,Mays High School,63,170
sch_538ebca967847a01,Douglas County,63,141
sch_6bee0ea228e4b22d,Dalton High School,62,174
sch_23a9b145299235c9,Mount Zion High School,62,164
sch_5140ede4ac4965ef,Harris Co. High School,62,149
sch_078be4e28b9a8740,MLK,62,141
sch_0b0e17d3eebdd224,Creekside,61,266
sch_ebb1e34c8de79a32,Lakeside HS DeKalb,61,171
sch_499db681429ec56f,Newnan High School,61,171
sch_11b5d9704debfa7f,North Atlanta,61,171
sch_843cf3b01f98ac5d,Murray County High School,61,135
sch_1cfc962aab9fff54,Bainbridge High School,60,167
sch_946b38a4a735d425,Kennesaw Mountain,60,147
sch_f29507570bd444e3,Bradwell Institute,60,109
sch_949855a40c643146,Coffee HS,59,184
sch_8da77635c177d27d,Alpharetta,59,169
sch_fb1d678589073ae1,Jackson County,59,166
sch_21c057a97bec68bd,River Ridge HS,59,156
sch_d83e3b9cb743d282,Winder-Barrow HS,59,151
sch_f12bf32629e45387,Discovery HS,59,121
sch_98dc3835beba663f,Cedar Grove,59,120
sch_c07177b2399ca42b,New Hampstead HS,59,92
sch_f227ad1a5a48e6b6,Union Grove HS,58,199
sch_91c2a3264866dac9,Hiram High School,58,126
sch_cb2da1dc7565b57d,Calhoun,57,120
sch_92b44c3b1219c5cc,North Clayton High School,57,107
sch_3e8c5d073ee462c5,Blessed Trinity,56,197
sch_dd2270aabe3b4958,Woodland,56,170
sch_132290788aaa1d1a,Rockmart High School,56,158
sch_611ef932e5a1c399,East Coweta,56,139
sch_dfa595dcb8affa00,Osborne High School,56,129
sch_06642dafc7ec0349,Houston County,55,129
sch_2e61ec38868e11a8,Shiloh High School,55,119
sch_3f56c1f110b75f05,Effingham County,55,112
sch_5563d273c1379ce3,Luella High School,54,167
sch_a48bb9b548789fb5,Gainesville High School,54,162
sch_f6d764b82de34960,Pickens,54,133
sch_b2a059bd4ba5952e,Woodland Stockbridge,53,249
sch_e9de72bab9d477d2,Campbell High School,53,201
sch_cba6db3db01875d2,Colquitt County,53,167
sch_496858ab65b82585,Northview High School,53,160
sch_5ce30e4c32cb5451,Villa Rica,53,148
sch_47adab23a449a147,Chamblee,53,147
sch_a9ca575179989a97,Griffin,53,137
sch_39ef428048bbf2e8,Ware County High School,53,126
sch_71cb3ee227ed4829,Mundys Mill High School,53,114
sch_a7efbc1f891f5f26,Riverwood International Charter School,52,184
sch_788755214fd9cceb,South Paulding HS,52,146
sch_7f5103b5ebcf5faa,Southeast Whitfield High School,52,146
sch_350fe0fa5b472bf5,Arabia Mountain HS,52,122
sch_68e93a2584b54012,Therrell,52,100
sch_c1a10e60f58ae121,Holy Innocents' Episcopal School,51,373
sch_bd1c97894c0936a2,Jefferson High School,51,176
sch_c99b5c0747c27496,Tucker,51,152
sch_48769ea0353fd026,Woodstock High School,51,150
sch_929d8a6dfaacb31e,Cass High School,51,149
sch_d5bb1e58b980370d,North Hall,51,138
sch_6294b99a4e283506,Eastside,51,101
sch_899be9042b0b273e,Centennial,50,183
sch_f0a9696afa27a577,Valdosta High School,50,147
sch_273e8082b1f1b279,Paulding County,50,140
sch_e83952fbd1a83ef0,Sandy Creek,50,115
sch_53c18be5cd1d0fd7,Elbert County High School,50,108
sch_c47875bd3c35504a,Dublin High School,50,103
sch_133b4ab1e42b932e,Groves,50,80
sch_accb09eff75b8ae4,Woodward Academy,49,463
sch_569e7d7a0e3b3c1e,Wesleyan School,49,277
sch_c8b5ec5697448225,Wheeler High School,49,152
sch_c882a181604e700a,Perry High School,49,126
sch_3bdec5d5e01fa29e,Howard High School,49,120
sch_35ac013fcdc92bd1,South Effingham High School,48,154
sch_6082939e6022d95a,Sprayberry High School,48,135
sch_2de95176c43ddd94,Tift County High School,48,133
sch_44038201e3aabeb7,Central High School,47,189
sch_c39be247aaac9280,Chattahoochee High School,47,169
sch_a37cb50a8d2b11f1,Mary Persons,47,158
sch_c5d3c00c57daa350,Starrs Mill High School,47,148
sch_1ce51175471c84d2,Barrow Arts & Sciences Academy,47,127
sch_666133d701ed2c8f,Stone Mountain HS,47,127
sch_853d0f9c25fb3679,Lithia Springs,47,98
sch_90d838deb4faa777,New Manchester High School,46,168
sch_ed227bf85e503f12,Pace Academy,46,154
sch_8c81c87391f6b6fc,Cairo,46,109
sch_a0a8d5e4513576f1,Lovett,45,351
sch_160161a8babefb63,Northgate,45,154
sch_277871cc69f25128,Lakeside Evans,45,116
sch_a3ce06804e8f8d8c,Clarkston,45,110
sch_79601b0ab47aac4c,Tri Cities,45,93
sch_2ed7cf2426cdb1ee,Thomson High School/Middle School,44,183
sch_fa031fd7d15fabf0,Etowah,44,156
sch_b92c85b779ee4e7f,Dunwoody,44,143
sch_ee4f6b096b5379a1,Worth County HS,44,133
sch_6e7f93de76871cd6,Druid Hills,44,127
sch_c6e187a1e8b74539,Shaw High School,44,125
sch_160cefcc0ab1b12f,Locust Grove High School,44,122
sch_3798b4aa039eec15,Veterans HS,44,122
sch_43dd36821f14b6b9,Stockbridge High School,44,118
sch_9c908bd115b6dd62,Bremen High School,44,116
sch_740429a65f62e9e7,Cook County High School,44,110
sch_5c4e212a5d0bc646,Salem High School,44,108
sch_3f54c645c0ef463b,Langston Hughes HS,44,93
sch_265fc282a2070b35,South Cobb,44,74
sch_75998de1e3143cf0,Brantley County HS,43,203
sch_fce2dc53783071e3,Mount Paran Christian School,43,199
sch_fe9b545e77ffb575,Maynard H. Jackson High School,43,163
sch_787f61d8481d6533,Fayette County,43,134
sch_ae09db3564eb9c88,Pebblebrook High School,43,112
sch_ec88a1e006edf414,Whitewater High School,43,111
sch_2ce2523e3a7d130c,Lithonia High School,43,107
sch_0862129c0acd3911,Bleckley County High School,43,106
sch_12c1357bda65cd2e,Southwest Dekalb,43,76
sch_1a610d9ea0455e8a,The Mount Vernon School,42,367
sch_909ea5c84dad6dcb,Lee County,42,194
sch_a388b16e98dc3203,Habersham Central High School,42,145
sch_d18827c18017d42e,Union County HS,42,145
sch_8018d4a61d49e14e,"Heritage HS, Catoosa",42,144
sch_a0517b5f96907a78,Vidalia,42,142
sch_c9dcfe26233dd0ef,Kendrick,42,139
sch_c58cf21767fe8493,Jones County High School,42,131
sch_7fe598ce3f0a5fff,LaFayette High School,42,123
sch_ea99d6325388b91d,North Springs,42,118
sch_95fade98db94a835,Miller Grove High School,42,113
sch_52e5561087076adf,Cherokee Bluff High School,42,103
sch_715494088b09abec,Appling County HS,42,87
sch_5f1174cfc328d71f,LaGrange High School,41,139
sch_7f3f9aaccddecb95,Social Circle High School,41,132
sch_9a4cb926754b138c,South Atlanta,41,122
sch_68f87e9307054d24,Jackson HS,41,117
sch_615e264fdbd23376,Gordon Central High School,41,116
sch_d1bd8e7c2e4e7e94,Thomasville High School,41,116
sch_2243261a294c8d89,Rome High School,41,113
sch_5d20897300529f83,Northside Warner Robins,41,112
sch_079b7484fdd2c54a,Dougherty,41,103
sch_3f73b063c3a806ac,North Forsyth,40,188
sch_f0f97dc03f446141,Ola High School,40,106
sch_0d38a6b1c4660234,Frederick Douglass,40,103
sch_df84dd07a288dbb2,Spalding High School,40,84
sch_b94149d5ad41c222,East Hall HS,40,69
sch_09f20dffc7ba7e4d,Landmark Christian School,39,247
sch_6563e0ab5ba98c94,West Laurens High School,39,170
sch_8d885b3e3e245906,Tallulah Falls,39,155
sch_d8acb546f16b498d,Model,39,119
sch_204ffb742c5a0ad2,Stephenson High School,39,119
sch_6572fcbb5df98a5d,Temple High School,39,107
sch_d351318b7c917af5,Troup Co.,39,99
sch_2964de1fd330916d,Johnson HS,39,95
sch_d8d69ec5d3b50570,Columbia High School,39,88
sch_9d572d85df36149b,Evans High School,39,88
sch_77a73903f19eceb6,Liberty County,39,86
sch_4b96ff711a7c4998,Hebron Christian,38,449
sch_a664295a838213a0,Chestatee,38,152
sch_e0b56a5ca8b83eaf,Providence Christian Academy,38,149
sch_f2af24f6b8b9f576,Wayne County HS,38,132
sch_6b707af1991f9dfc,Redan High School,38,111
sch_3d051abe1921155b,East Forsyth High School,38,107
sch_3190fecb9f2155d8,Harlem HS,38,100
sch_7fb605db3a055b4e,Monroe Comprehensive High School,38,98
sch_b20144d52ce62547,Hephzibah,38,79
sch_3192ffcae2330664,Greater Atlanta Christian,37,262
sch_d9a1993a17b74e41,Prince Avenue Christian School,37,152
sch_a59dfc84ade9e697,Gilmer High,37,127
sch_3ac5d874357bfd8f,Heritage High School,37,116
sch_9709b1abaa378887,Thomas County Central High School,37,115
sch_a009d31ea0517e77,Oglethorpe County HS,37,113
sch_5a0689aff6e029b0,Coahulla Creek HS,37,99
sch_7dbd5cb83207387c,Johnson-Savannah,37,94
sch_3519533894fa3802,Central Macon,37,91
sch_ffb0342b9b9c2aa5,Darlington School,36,268
sch_ce3ba965cee4cd47,Eagles Landing Christian Academy,36,188
sch_d3df5282d83c0f08,Cedar Shoals,36,158
sch_a8aef63d02465e0c,Savannah Arts Academy,36,99
sch_3ca0e72bbb0fef7e,Richmond Academy,36,96
sch_be050650c6ce07de,Westside Macon,36,68
sch_cc82da42a705cbbb,Drew Charter Senior Academy,35,143
sch_1b69afddffdd10eb,Jonesboro HS,35,131
sch_01eca0b6ad68e7c3,Sonoraville HS,35,117
sch_f2d41775b9340237,Whitefield Academy,35,108
sch_312fa76356ce54c9,Camden County HS,35,104
sch_ee9268b4684aa710,Hawkinsville HS,35,101
sch_e1416fd7154bb311,Booker T. Washington,35,87
sch_6331433820cfc224,Windsor Forest,35,85
sch_5a2b1dad66ca1bc1,Charles Drew HS,35,79
sch_9d2f584b856b0c22,Randolph-Clay HS,35,78
sch_9766f025af861e05,Mount Pisgah Christian School,34,250
sch_27ae49efe9f45799,Savannah Christian Prep,34,232
sch_25f2d6885271c5aa,Stratford Academy,34,135
sch_8f55a7bf5ae80d23,Cedartown,34,131
sch_d7b25be87c4d6308,Westover High School,34,119
sch_1a791e2ff4c9e23f,Chapel Hill High School,34,101
sch_7755100913341c8b,Adairsville High School,34,93
sch_fab86ee97902f022,Long County HS,34,91
sch_c96d471cc08aaafb,Portal,34,89
sch_15bf114d9784ca18,Ridgeland,34,86
sch_2214a4aa465715f8,Dawson County,33,264
sch_26a5d07b4a127791,Augusta Eagles HS,33,201
sch_208f6dc2aaf25369,Calvary Day School,33,167
sch_b5142c9db9c55ec4,Lamar County High School,33,138
sch_b9df966bf569afbd,Columbus High School,33,119
sch_f0ce2b63e52f0f28,Northwest Whitfield High School,33,117
sch_1c55a037969e9d31,Flowery Branch,33,105
sch_4dc8e2add3f0bcaf,Madison County HS,33,101
sch_8520923a78ac460e,"G.W. Carver, Columbus",33,85
sch_8dc3122c5235a2e2,Pierce County HS,33,85
sch_b43ab8c17259a1fa,Georgia Cumberland Academy,33,57
sch_7b023fb25fee0d0b,Athens Academy,32,194
sch_c676f0370f3f5cdf,Elite Scholars Academy,32,133
sch_8c8a44390b8b7b81,Bethlehem Christian,32,125
sch_6d410ecd9ff69b79,Lumpkin Co. High School,32,124
sch_4d41b1df1e150996,Alcovy,32,120
sch_d3833e755854311d,East Jackson High School,32,116
sch_20bd6c2bdeb96447,Jordan,32,111
sch_2072cc4b4b1fea41,Forest Park,32,102
sch_42d0cec08d236f1d,Brookstone,32,101
sch_e76b31455f6247b5,William H. Spencer High School,32,91
sch_14e44094b225d866,Baldwin High School,32,84
sch_95723e9610c12031,Banks County HS,32,83
sch_609bf8ddeaee8315,Metter,32,82
sch_c3cccea03934f967,Mitchell County,32,58
sch_39f10c943c34f3b7,Crisp County,31,161
