school_id,name,co2027,athletes_all
sch_cf1b1c6d573e2281,Punahou School,100,534
sch_a097f3e117a3156e,Kamehameha Schools Maui,74,391
sch_f35bd07b58a78f13,Iolani School,70,274
sch_4fa1df05a1ea3f1c,King Kekaulike High School,54,151
sch_44d8ed230091bd28,Mililani High School,53,253
sch_0e742b5105b2d7b3,Kalani High School,49,170
sch_4ad176adcf5a8cc9,Moanalua High School,46,189
sch_acebe49dacee4ca4,Maui High School,45,119
sch_a479ffc4bdd6f142,Kamehameha Schools Oahu,45,87
sch_8c3ac67bfa393d00,Baldwin High School,40,114
sch_06c8cb505bc3778c,Radford High School,39,147
sch_61126bc48d964479,Kapaa High School,38,119
sch_78a1b1e31c935ca8,Campbell High School,37,110
sch_638987fc98bfa8cb,Kahuku High School,35,97
sch_81b903c20e7316b6,Kalaheo High School,34,119
sch_2c3aae48bc89bea5,Konawaena High School,34,67
sch_1d356cdd51ffa9bf,Waipahu High School,31,96
sch_66090ec5c6dd5554,Kamehameha Schools Hawaii,30,105
sch_30a3de5cd4e1c4dc,Waiakea High School,29,112
sch_1c3de9eeb33c288f,Kealakehe High School,28,95
sch_189f55a345a3b137,Hawaii Preparatory Academy,28,65
sch_b197b609997ff026,Roosevelt High School,27,91
sch_ca12f78045fd1174,Farrington High School,27,75
sch_ae57150996d13d3e,Aiea High School,27,64
sch_2fe7252b04cbf4c5,Hawaii Baptist Academy,26,151
sch_d3e83150c6bc960d,Keaau High School,26,83
sch_38123102604c9599,Leilehua High School,25,69
sch_c6ae58534ba18d56,Kaiser High School,24,85
sch_a21968d4a8b0f78d,Mid-Pacific Institute,23,153
sch_ca5cdc790db4f376,Castle High School,23,68
sch_df3eee29f3605061,Island School,22,123
sch_0845e9bbfbac4e43,Damien Memorial School,22,88
sch_713c4bebd51c0a14,Lahainaluna High School,22,47
sch_d97eedb3e5e6a11c,Kapolei High School,21,63
sch_3a88cd4de7e975dd,Hanalani Schools,20,91
sch_7adb889ef26566f0,Kauai High School,20,77
sch_fc7b78019fa6d319,Maryknoll School,20,66
sch_ea49ef27e8005ee3,Kailua High School,20,63
sch_dfe3883460ced75d,Waimea High School,17,107
sch_9ce9bf40646c727a,Pearl City High School,17,101
sch_3d267bbed3db6d03,St. Louis School,15,85
sch_e31c530d4c017e89,Seabury Hall,15,64
sch_f60bc34ccd99d028,Hilo High School,15,60
sch_084cc8d3ab6631f3,Honokaa High School,14,50
sch_43242dc441c5fef6,Pahoa High School,13,30
sch_689ccd687e9082f1,Ka'u High School,12,24
sch_7cc1f71834bf2ab6,Kihei Charter School,10,62
sch_e62c47ffdfde5c78,Pac-Five,10,48
sch_566dff9a29a0c776,Kohala High School,10,42
sch_9e61148f86d2b760,Le Jardin Academy,9,77
sch_8c943e6cdb7e3a94,Waianae High School,9,72
sch_6c80a9b791c0d8fc,McKinley High School,9,37
sch_c760583db60522f2,Waialua High School,9,22
sch_9194dc9360fdd8c7,Kanu `O Ka `Aina New Century,9,15
sch_64c3441562340fba,Kamaile Academy,8,22
sch_df4233f60dc5408f,Maui Prep Academy,7,33
sch_5a13f4c26d206c4a,Nanakuli High School,7,23
sch_71a37687313e7973,Kaimuki High School,6,34
sch_36010ecfbd8466b0,Molokai High School,6,31
sch_9d5216aac8cd50ff,Hawaii Academy of Arts and Science,6,20
sch_d2072ff15bd331cb,Lanai High & Elementary School,5,14
sch_890b3beed7caa540,Lanakila Baptist School,5,10
sch_aaab01c6ba737d2c,Kulanihakoi,4,32
sch_49f1bc519195ced5,Island Pacific Academy,4,21
sch_99cfe15e52995d78,Makua Lani Christian School,4,17
sch_60c8b8b38d10c49a,Christian Liberty School,4,11
sch_23fded294982e59d,Laupahoehoe High School,4,7
sch_fb88ab029a80a5d3,St. Anthony High School,3,19
sch_1c0a97373c1e5138,Sacred Hearts Academy,3,17
sch_854209108c05e9fa,Anuenue (Ke Kula Kaipuni),3,4
sch_1d93ace3d6a073a7,Kauai Christian Academy,2,14
sch_8251edc6cf9e23c8,Trinity Christian School,2,12
sch_a1330df0ac8b8d1c,Christian Academy,2,8
sch_2e197a53f4692bb2,Parker School,1,15
sch_c01570954db80668,La Pietra High School,1,9
sch_2edb91998a88a9a0,St. Joseph High School,1,6
sch_9808b9be388cb9ac,Haleakala Waldorf School,1,4
