school_id,name,co2027,athletes_all
sch_761f08bb2b1d90c9,Johnston High School,145,775
sch_55f72350be1214b1,Waukee Northwest,123,746
sch_a0b2aef3aa1eebeb,Ankeny Centennial HS,115,446
sch_15fe8aaf4034bc7e,Iowa City,110,461
sch_efdcb331b5ccf3db,Unattached,104,185
sch_6420a953f93e7524,Cedar Falls,95,323
sch_02d4136820e40062,Linn-Mar,93,501
sch_38ce79c64a29d75a,Waukee,92,653
sch_b00806b65cc6f2bf,Pleasant Valley,87,585
sch_b48c026b07036545,Marshalltown High School,87,282
sch_53e9999e074103bb,Dubuque Senior,86,237
sch_680b06c4389f1be1,Prairie,81,377
sch_323ea43732497f25,Valley High School,80,294
sch_bf6e992501b23cbd,Ames High School,77,532
sch_7f9a5cd5b41252cd,Southeast Polk High School,76,608
sch_8a6b4ec08062ac64,Clear Creek-Amana,73,431
sch_a039976400451aa7,Cedar Rapids Kennedy,72,279
sch_80957c11ea3562a5,Cedar Rapids Jefferson,70,210
sch_44732ee44e0488b4,Ankeny High School,69,443
sch_b27a69670a08df09,Indianola High School,68,424
sch_e7949ffa51f048f4,Live Healthy Iowa Kids Track,68,157
sch_1fdbc087f039b9a5,Bettendorf,67,267
sch_6c514a1ffdda68bc,Davenport Central,67,255
sch_bf56c91432670414,North Scott,67,213
sch_f18b7d6d94cc9574,Decorah,66,289
sch_58d19eaad9f00f4e,North Polk High School,64,415
sch_44c951fc5c79235d,Dowling Catholic High School,64,322
sch_2f12514c6ea53e00,Clinton,64,289
sch_dcf4afa1dfc11c43,Iowa City West,64,213
sch_349ae66493973e5e,Western Dubuque,63,226
sch_2b43e45c66be18c2,Dubuque Hempstead,63,181
sch_92bc070e20757211,Waukee NW,63,93
sch_e7ed8d17b07848e1,Bondurant-Farrar High School,62,365
sch_fdbb81a9a1d294f1,Solon,61,371
sch_257ab10f9bf90b89,"Valley, Wdm",61,96
sch_2679a6523380b7ac,Urbandale,60,420
sch_a1db6edde21358d7,Waterloo West High School,60,155
sch_884eb28023775d1d,Cedar Rapids Washington,59,126
sch_d477c3943fd6f060,Norwalk High School,55,397
sch_8e0c2af889918779,Pella High School,55,365
sch_0ce9b6ff1a8d0ba3,"Epworth, WD",55,85
sch_9aa864734884f527,Glenwood High School,54,320
sch_55f60c648e6bddfb,Clarinda High School,53,218
sch_b54508122923e566,Unity Christian High School,52,195
sch_31cfc2651e0223a1,Clear Lake,51,250
sch_6ed46e94ee6a789c,Davenport North,51,99
sch_05220a1d0b474388,Dowling Cath,51,84
sch_c7722381db860f47,Lewis Central High School,50,390
sch_833f265541cc3ef0,Des Moines Roosevelt High School,50,236
sch_6c98a53b015393cf,Sioux Center High School,50,207
sch_593c7e8298850682,Ankeny Cent,50,93
sch_57523c976e4b6010,SE Polk,50,79
sch_7eaf63b3d8403c1c,Dowling Catholic West Des Mo,49,81
sch_77dcfdd63f357155,Benton Community,48,310
sch_b7aa50650d230019,Center Point-Urbana,48,261
sch_08d3e45c8fdc6b7e,CR Kennedy,48,88
sch_b0bcd5a9962d3065,Dallas Center-Grimes High School,47,278
sch_e8f7b53fa08cf650,Mount Vernon,46,506
sch_af45803f23103ec4,Des Moines Christian School,46,356
sch_321d3c8a3b70b710,Des Moines North High School,45,112
sch_0964d17089a53973,adm,44,316
sch_daaa6e896f7367fe,Monticello (IA),44,173
sch_ac84902101044e46,"Prairie, CR",44,77
sch_6e78317bb8a02c54,Ballard High School,43,334
sch_2e183a486cc5e6ff,MOC-Floyd Valley High School,43,229
sch_7f0d004294a49155,Marion,43,198
sch_5b58b4d2dde7672c,Davenport West,43,107
sch_6dbbd69fd1edb3d0,Xavier,42,139
sch_c63f230affe42314,Dubuque Wahlert,42,135
sch_c74081f153558f0a,Assumption,42,122
sch_d3868ce02c2017f6,Central DeWitt,41,355
sch_ceace3ff83f5d790,Gilbert High School,41,336
sch_3070dcb70d4230e2,Winterset High School,41,262
sch_f96f664df75002d1,West Delaware,41,228
sch_7ac0289d34331cec,Lawton-Bronson High School,41,146
sch_50245a026f6a184f,Martensdale-St. Marys High School,40,213
sch_d96643ce80d000cf,Newton High School,40,168
sch_6361f13eb8e479a6,Mason City,39,163
sch_bfadfb139cdc1cf4,Abraham Lincoln High School,39,114
sch_35fb134399445252,North Polk Alleman,39,64
sch_4c03e71bc35b69ed,Bond-Farrar,39,57
sch_61eb1979d14af289,Le Mars High School,38,231
sch_593fe3682e318ac3,Northwest HS,38,85
sch_6a119f64ede69556,Liberty,37,299
sch_dbb5631cd65692c2,Roland-Story High School,37,259
sch_7d0624d521192eaa,Forest City High School,37,182
sch_ecc62598db51fa12,Valley West Des Moines,37,72
sch_79055d082117557b,Vinton-Shellsburg,36,262
sch_d63a9afcc4a0fe31,Boone High School,36,253
sch_6dd353354bac66be,Mid-Prairie,36,185
sch_8292a360316e910a,Crestwood,36,117
sch_7b21a81c555078e5,Waverly-Shell Rock,35,226
sch_52ce383cb4110957,Nevada High School,35,225
sch_f2c3297bb233dca7,Ottumwa,35,139
sch_0e0be61289a365ea,Des Moines East High School,35,114
sch_d93c1e997902583e,Wat West,35,58
sch_5e357a94480457ee,Carlisle High School,34,309
sch_9df834206ca34fc0,Okoboji High School,34,222
sch_dbf0a631ce50bc1b,Harlan High School,34,199
sch_271bfc50119da4a5,West Liberty,34,184
sch_ce993de272ddb8de,Earlham High School,34,137
sch_87d2310882acf64b,"Adm, Adel",34,78
sch_2f38dd5ab885559d,Prairie Cedar Rapids,34,58
sch_7e47ca25c66fa9c0,Atlantic High School,33,213
sch_24af5f3c65b0f0e2,Van Meter High School,33,201
sch_d710c0d09aa1ddd8,Webster City High School,33,185
sch_0be80be1782e1ef9,Muscatine,33,173
sch_dd5a4fd594c37afd,Waukon,33,146
sch_c4027377205219c6,Maquoketa Valley,33,131
sch_53c85fd64981da32,Burlington,33,126
sch_ede94dd356c0eeba,Algona High School,33,116
sch_290ba3f94ea8610b,Thomas Jefferson High School,33,83
sch_d385989ceb063dba,"Ic, City High",33,65
sch_51ad70ca5b6ea1cc,Dsm Christian,33,55
sch_77b2d913585966ae,Fort Dodge High School,32,226
sch_a79ba506ccfb40c4,Sergeant Bluff-Luton Gigh School,32,162
sch_d99b2f6b81da1961,Jesup High School,32,149
sch_814560a054128ed4,Southwest Valley High School,31,251
sch_3a2e6ab2f0708433,Cherokee Washington High School,31,211
sch_3ce7cdee86d8222e,Johnston Running Club,31,63
sch_a261e0d4db4aeaf2,Grinnell High School,30,239
sch_7bb69dbca4f5e5d5,Williamsburg,30,159
sch_b2c5a106e3ce8b32,St. Albert High School,30,134
sch_27b90662a0a9ba17,Sioux City North High School,29,268
sch_859edb52c495d203,Pella Christian High School,29,206
sch_b8fc65ea33c2cae6,Lake Mills High School,29,146
sch_f8481e86d641c7be,Hinton High School,29,77
sch_4400459ba214c371,South Sioux City,29,60
sch_e593289c64c81e79,Iowa City City High,29,57
sch_27f69e999dd80657,CR Washington,29,46
sch_ed006aaf2f366e17,"Dsm, North",29,45
sch_28d2675fa3f04df2,Spirit Lake High School,28,214
