school_id,name,co2027,athletes_all
sch_0050b32dcb567d13,Boise Senior High School,86,261
sch_1cc9a5a506490b5e,Centennial High School,79,234
sch_928e80362665dc3d,Mountain View (ID) High School,77,407
sch_a5e8f539de519ab0,Bishop Kelly High School,72,229
sch_5cd5072b1a66cacd,Rocky Mountain High School,71,501
sch_86ab871a50116960,Idaho Falls High School,68,195
sch_8fe69b17811364e2,Thunder Ridge High School,67,207
sch_f1b2cd640562c1d0,Borah High School,65,180
sch_fdbbf22e35e3237d,Eagle High School,63,217
sch_7bfd0a541b6a3acb,Skyview High School,61,201
sch_48073debea0afb07,Timberline High School (Boise),57,218
sch_db55e4dffa130440,Ridgevue High School,56,179
sch_82858f3f44c0d59c,Rigby High School,55,485
sch_84e6dbf572f8bfc8,Madison High School,55,414
sch_2a395d9227d1153c,Kuna High School,55,287
sch_de678062bb430bd9,Lake City High School,54,169
sch_37dd391c338ff892,Highland High School (Pocatello),53,199
sch_ea063123a6c4a7e7,Skyline High School,53,167
sch_d66ab8c317eea998,Blackfoot High School,53,158
sch_f3e86079b0e1b1ff,Coeur d'Alene High School,52,215
sch_13364a1ee7262753,Pocatello High School,52,135
sch_ca02ffb5e5bcf180,Teton High School,51,207
sch_20cb99c5851fbe09,Sugar-Salem High School,49,153
sch_7e4b2e1908d57fdd,Owyhee High School,48,190
sch_9ed33d3cfd8c01b0,Canyon Ridge,46,131
sch_fcb3f8ea3d88f2cb,Twin Falls High School,45,177
sch_781ef5bd4e99d629,Capital High School,44,141
sch_66f6a713f17e2d45,Middleton High School,43,437
sch_b98f48a7f7821942,Vallivue High School,43,312
sch_c88714effa193315,Columbia High School,43,124
sch_1f5211d9531848ee,Post Falls High School,42,359
sch_18a45e9573af85ab,Sandpoint High School,42,306
sch_7d28f32cc491d02f,Burley High School,42,177
sch_29d271025ce41ce3,Minico High School,41,103
sch_ecddbf8a7ecb2369,Fruitland High School,40,173
sch_5fbdfcfec4905162,Meridian High School,39,195
sch_59992e766d0d65ef,McCall-Donnelly High School,38,261
sch_1dd1dfea32e954ab,Kimberly (ID) High School,37,329
sch_eeb8537b52c224f9,Preston High School,37,289
sch_eb467ceb9e09aa0b,Hillcrest High School,37,132
sch_8725f34f1ec35e45,Moscow High School,34,365
sch_039e92b6a046ed1f,Aberdeen High School,34,147
sch_636f307f7f34aecb,Jerome High School,33,143
sch_e337263f3762f48d,Lewiston High School,32,187
sch_319b7ee332bd85d2,Wood River High School,32,103
sch_15de0c3b78799a3c,Snake River High School,31,237
sch_ca2f7e0dcd1aa5de,Nampa Christian High School,30,210
sch_57178adcac05cb77,Caldwell High School,30,97
sch_d3244197f28aed8b,Mountain Home High School,29,230
sch_122b3b354a760635,Firth High School,29,182
sch_bc9431fbd9475916,Malad High School,29,181
sch_1bbd8b7045e34eaf,Emmett High School,29,90
sch_e5de3fcfe00bf328,Cole Valley Christian School,28,176
sch_43dc34a45061186c,Weiser High School,28,172
sch_90bd467504c318ac,Filer High School,28,168
sch_4b3b228bc4ca23a7,Parma High School,28,154
sch_d983c6e5da2794b7,Nampa High School,28,131
sch_059b300a8092328f,Century High School,28,103
sch_5567f0f7b028e5c4,Timberlake High School,27,211
sch_cfde0e106ffdde12,Garden Valley High School,27,164
sch_e52937001606670a,Shelley High School,27,96
sch_67d75fc9fe2e2f3d,West Side High School,26,105
sch_bb88a8be01958810,New Plymouth High School,25,149
sch_2b87d7281f0e5e12,Buhl High School,24,152
sch_d35378ff8fb3b033,Homedale High School,24,129
sch_6e51cb11fad56c7a,Troy High School,24,109
sch_a7b70dcf8262145b,Lakeland High School,23,285
sch_32edef1b79778829,Liberty Charter High School,23,140
sch_625dff67faa9e92e,South Fremont High School,22,230
sch_761c55f0e86e8185,Ririe High School,21,185
sch_901ae1985f64a7f5,Gooding High School,21,168
sch_72de5a84ab3bc990,Grangeville High School,21,118
sch_d92445d8f582f05d,Raft River High School,21,82
sch_364d882eb34f302f,Bonners Ferry High School,21,73
sch_1f3f32f4e925a16e,Declo High School,20,161
sch_b90b81dd0db8ef2c,Shoshone High School,20,73
sch_973dcd37531dfc1e,Logos Christian School,19,157
sch_936e1b5e44c75cbb,Melba High School,19,138
sch_c501b5a9d5c5e67b,Bear Lake High School,18,207
sch_a4eef9db785449e8,Bonneville High School,18,112
sch_4dc2c35351a0b3a0,Marsing High School,18,103
sch_567dbc8cee41c035,Marsh Valley High School,17,119
sch_5c7104c61fe32774,Murtaugh High School,17,107
sch_16eeb94cac4c1bd4,Salmon High School,17,95
sch_7c24a45f805daf68,American Falls High School,17,94
sch_870799ed4492604b,Priest River Lamanna High School,16,72
sch_7d54c3a3736c0062,Butte County High School,15,100
sch_f317e53eb74c365c,Oakley High School,15,66
sch_b4f2d965d293a523,Cascade High School,15,57
sch_21ef8c03eb479ae3,Orchard Athletix,15,28
sch_7706c82f508991d4,Kellogg High School,14,117
sch_1eb2c8e0f5330d02,Wendell High School,14,113
sch_14adcc595251e51b,West Jefferson High School,14,105
sch_dd314d8964ee9a6d,Challis High School,14,68
sch_6775be403860d215,Payette High School,14,41
sch_e0afb1f603447965,Victory Charter,13,177
sch_29a356c0ee23e023,Vision Charter,13,72
sch_eaa6fa728725e701,Soda Springs High School,13,69
sch_6ac59a1b5012b185,Council High School,13,54
sch_3f05db6558642c2f,North Fremont High School,12,115
sch_5d22eb0cfe3712be,Wallace High School,12,90
sch_bc20fe53db372983,Rockland High School,12,66
sch_3891cba8b769cab8,Lapwai High School,11,87
sch_efa5cd8bde7265bb,Prairie High School,11,87
sch_2e1382924e9e29f8,Kamiah High School,11,65
sch_6d783ec5305bf065,North Star Charter,10,91
sch_c2e473fe971659f9,Iron Wood TC,10,19
sch_c93e4bcdc54d0a73,Coeur d'Alene Charter,9,166
sch_eb0656cdce01c3ec,Alturas Prep Academy,9,84
sch_3de8efca8740b9a6,Notus High School,9,56
sch_cf9d74005f5a346d,Timberline High School (Weippe),9,52
sch_6976fb14cefb0dc8,Tri-Valley High School,9,52
sch_22c8f1ae4bfd45e9,Nezperce High School,9,49
sch_4fa0b24f7c48a491,St. Maries High School,8,80
sch_bd97bd18c6ed64b2,Castleford High School,8,79
sch_6e2e3833dc205384,Deary High School,8,66
sch_7a3b3bd2a729ca18,Glenns Ferry High School,8,57
sch_4f9ed842088daac8,Potlatch High School,8,52
sch_c2edaaef483a4fc1,Carey High School,7,81
sch_bc8ba9b8c02ee4ab,Kendrick High School,7,80
sch_05360031a98dc4a5,Wilder High School,7,54
sch_5b7ca046af479f74,Rimrock High School,7,53
