school_id,name,co2027,athletes_all
sch_c749d763f72022ec,Unattached,418,877
sch_60c0b1c7ea8977a9,Winnetka (New Trier),211,640
sch_7a794a5a2fdc676b,Chicago (Lane),192,769
sch_35da1e013ca02d1a,Naperville (North),146,439
sch_2283856e62208a27,Oak Park (O.P.-River Forest),138,481
sch_507798836f4365d6,LaGrange (Lyons),137,564
sch_f12fe47b92eaacd4,Park Ridge (Maine South),129,384
sch_22f18e1164dacd4c,Wilmette (Loyola Academy),126,380
sch_2c1cafe7d376fa64,Berwyn-Cicero (Morton),121,389
sch_7267300f5965ea68,Elmhurst (York),119,452
sch_60cbabf87aaf68e8,Glenview (Glenbrook South),118,356
sch_d2fcabd57db696bb,Lincolnshire (Stevenson),110,408
sch_1628c917c3e6ba96,Hinsdale (Central),110,392
sch_f737dead6bd70265,Naperville (Central),109,385
sch_cde1f46c81aedb46,Flossmoor (Homewood-F.),109,363
sch_cf1b8c983b97c384,Minooka,107,580
sch_da042b169e1e0f4d,Skokie (Niles West),105,363
sch_b4a89c260a7b6e78,Barrington High School,105,327
sch_488caf92936be5fd,Mt. Prospect (Prospect),104,388
sch_1d162cf1474912ec,Aurora (Metea Valley),102,319
sch_c8d91bbc67e8a9e0,Downers Grove (South),100,335
sch_a0fdd04e3bc83697,Bolingbrook High School,100,270
sch_0d8a3800be2e17ba,Roselle (Lake Park),99,322
sch_c3c51cc2b5d63cd5,Chicago (Marist),99,252
sch_0597fb73be6b80e8,Chicago (Taft),98,348
sch_400fc482ab5a4bc8,Frankfort (Lincoln-Way East),98,307
sch_129159ff8aefd979,Aurora (West Aurora),98,301
sch_b595149ca9f85bf8,Downers Grove North High School,97,351
sch_ea0d3ff67ff4a9b8,Orland Park (Sandburg),96,314
sch_1ea6fb358d812073,Oak Lawn (Community),96,294
sch_080e588c54a17b73,Plainfield (South),96,262
sch_308d958e307aa2b0,Franklin Park-Northlake (Leyden),95,268
sch_977d5567251e430a,Hoffman Estates (Conant),93,322
sch_9aa785fc8a5eab77,Arlington Heights (Hersey),93,308
sch_5e4268e4fe6f2f06,Palatine Pack TFCC,93,223
sch_9b75be31a32396ef,Wheaton (North),92,495
sch_55fbffede3f91bfa,Northbrook (Glenbrook North),92,309
sch_a0af2ed4e74375d0,Huntley High School,92,293
sch_434130d0077c254d,South Elgin High School,92,228
sch_db5f141997f26dc0,Naperville (Neuqua Valley),90,355
sch_bf738a70c344bb44,Glen Ellyn (Glenbard West),89,338
sch_b7f25c10a7fd0a12,Dunlap High School,89,317
sch_c8349586bd46427d,Lockport (Twp.),88,262
sch_14e8823d4f22e1a9,Batavia High School,87,322
sch_5b827955c011083a,Vernon Hills High School,87,255
sch_2b76aeec2f71a00e,Lake Zurich High School,85,276
sch_7700b04119a22337,Palatine (Fremd),84,300
sch_d53fb2e6a6a0ec7e,Oswego (East),84,296
sch_4006630c40ce6f56,Richton Park (Rich Township),84,258
sch_bd61b8c27e77f104,Rockton (Hononegah),83,259
sch_0937776d15e58737,Libertyville High School,83,237
sch_6c58c69ca873a2e9,Gurnee (Warren),82,285
sch_e6a09dd624b56158,Oswego High School,82,257
sch_998fdf8aecb66943,Evanston (Twp.),79,263
sch_7c31d7cea006caba,Aurora (Waubonsie Valley),78,284
sch_aa188d1e5a18f274,Tinley Park (Andrew),78,280
sch_8592f95d38264ab2,Wheaton-Warrenville South,77,239
sch_9a1be7c4ea31de73,Chicago (Jones),77,201
sch_50a3c1e6e0971ca0,Burlington (Central),76,383
sch_6bbde1fec080ab0e,Chicago (St. Ignatius College Prep),76,294
sch_50abdd95832912e1,Hampshire High School,75,437
sch_f538b0007a359eae,Metamora,75,305
sch_75c34150490a7c2f,Lake Forest (H.S.),73,180
sch_cb0d303f48f0cc58,St. Charles (North),72,251
sch_4a1787b48ba81e8c,Machesney Park (Harlem),72,207
sch_fafb2be6029297c0,Grayslake (Central),70,249
sch_db77bf9e5bff089f,Schaumburg High School,70,237
sch_c217b740bdfa9ac9,Palos Heights (Stagg),70,227
sch_bf7fae129bc26059,Windy City Hammers,70,192
sch_911e3f08b2186bd3,Plainfield (North),69,234
sch_6a80ec55ccefed9b,Hoffman Estates (H.S.),68,243
sch_7cf8cf4e338e2d43,Highland Park High School,68,237
sch_0b66cfadc4cfbe4a,Lombard (Glenbard East),68,229
sch_dbf11ccd9015007b,Yorkville (H.S),67,246
sch_4bf96649c460a5c8,Aurora (East),67,233
sch_c50f435d4e22a90c,Joliet (Central),67,212
sch_f0651581518400ca,Wheeling High School,67,186
sch_a1010328b48b03d7,Lansing (Thornton Fractional South),67,179
sch_726d4d5254c8ded9,O'Fallon (H.S.),66,208
sch_474b0ef6c6d00419,Joliet (West),64,239
sch_0a38b48ba739202d,Riverside (R.-Brookfield),63,227
sch_e0d3b9326d78aa7e,Des Plaines (Maine West),63,216
sch_9ea7290164f6f61a,Villa Park (Willowbrook),62,322
sch_9c46f5741bc2bca3,Buffalo Grove High School,62,253
sch_45aadb553600f535,Chicago (DePaul College Prep),62,231
sch_0eb70ffb7e25f790,Maple Park (Kaneland),62,183
sch_1b96868e0d066580,Pleasant Valley,62,126
sch_06e17ab51cec4692,Bartlett High School,61,252
sch_089e880b08224fa6,Harvey (Thornton),61,149
sch_5956f8beb9949c57,St. Louis University High,61,117
sch_21691e7563282793,St. Louis University,61,108
sch_eddca9a03f543921,Washington,60,313
sch_b712410731246b8f,Chicago (Whitney Young),60,233
sch_2995125571d33643,Eureka High School,60,205
sch_1173e728b8a4789e,Normal (Community),59,377
sch_c46c84dddddbf700,Carpentersville (Dundee-Crown),59,347
sch_4e105b2081a3c99f,Lisle (Benet Academy),59,221
sch_fd4f702d5e2d14e1,Skokie (Niles North),59,215
sch_e65f7f22f7b3ca59,Crystal Lake (Central),59,202
sch_26ef1d08ed796a2e,Chicago (Von Steuben),59,195
sch_8b960ee5d4863be1,Plainfield (East),59,188
sch_59147b5f75a7dc1d,Blue Island (Eisenhower),59,185
sch_580fd7497f7088d2,Chicago (Payton),59,185
sch_3c7ad958acfb737d,Galesburg High School,59,185
sch_5a05ec60650979e3,Lake Villa (Lakes),59,172
sch_942aa4e8ceef9b99,Plainfield (Central),58,221
sch_8a665632297ec212,Wauconda High School,58,210
sch_3be1493b908e8c91,Elk Grove Village (E.G.),58,196
sch_011954a2d8bb2b0d,Glen Ellyn (Glenbard South),58,166
sch_bbe0823155653ce1,Pekin High School,57,287
sch_7adb1d98ecfb73e9,East Moline (United),57,241
sch_350c69b6192fd7c5,Chatham (Glenwood),57,203
sch_05f388cc7d2c2673,Rockford (Guilford),57,194
sch_8d4e5369e535e117,Chicago (Kenwood),57,186
sch_a6cf688272b7b4ed,Geneva High School,56,399
sch_5677c8b6b3574b41,Carol Stream (Glenbard North),56,252
sch_d8915f421d16be88,Palatine High School,56,217
sch_ab74e563a14873c4,Zion (Z.-Benton),56,195
sch_b34a7cf952ff2162,Arlington Heights (St. Viator),56,166
sch_ca8f90e6251ad8d7,East St. Louis (Sr.),56,164
sch_db34a7818086c0cf,Crete (C.-Monee),56,141
sch_33a05582c1198c73,Lake Forest High School,56,114
sch_1ef0c34c557949ff,Franklin Park-Northlake (Ley,56,98
sch_495eab7d3b1c0d15,Algonquin (Jacobs),55,259
sch_2b0b25cd1772a77d,Cary (C.-Grove),55,245
sch_36b06edd14cf0493,Champaign (Central),55,213
sch_702df141892c3aab,Belvidere (North),55,189
sch_b47072163be887f7,McHenry,55,185
sch_d7eb212683565f20,Mason,55,137
sch_7494d8b3a75c118a,Yorkville High School,55,111
sch_de44f7c1bc397261,New Lenox (Lincoln-Way West),54,229
sch_0692f8dfb50b334e,Burbank (Reavis),54,205
sch_580fcb32819ca755,Rockford (Auburn),54,144
sch_44b31bd457055318,Antioch,53,225
sch_2305e2f2ff422ae8,New Lenox (Lincoln-Way Central),53,199
sch_0029be008fb8304e,Normal (Community West),53,173
sch_cd27988178a08bd0,Oak Park (Fenwick),53,161
sch_4ae7db5b0687da88,Park Ridge (Maine East),52,184
sch_b398c15fd3351045,Morton (IL),52,181
sch_ee8d9dd6b61d17d6,Champaign (Centennial),52,163
sch_8777accd1d98338d,Chicago (Lindblom),52,149
sch_8d8e95ad4757ba4c,Mundelein (H.S.),52,146
sch_e215e6b3bc72f938,Chicago (Amundsen),52,134
sch_30078d2dea917c4c,O'Fallon,52,120
sch_f49c7c0b5d4a5f42,St. Charles (East),51,229
sch_b9b050e316d8bcb1,Chicago (Lincoln Park),51,179
sch_e7e6560168e1bf79,Moline (H.S.),51,179
sch_b7495b00397c4c94,Palos Heights (Shepard),51,177
sch_aa44b2e343864f0f,Crystal Lake (Prairie Ridge),51,169
sch_aac628bc515b3171,Midlothian (Bremen),51,168
