school_id,name,co2027,athletes_all
sch_1ab851a7ded67253,Avon High School,185,587
sch_3c7566666be9b67b,Carmel High School,178,716
sch_81f2254775a5afac,Hamilton Southeastern,157,455
sch_80bde2992aeab888,Zionsville Community,144,400
sch_5bf636b7c38b16cd,Brownsburg High School,140,451
sch_b8d1e731a596b9df,Crown Point,140,429
sch_a898f82ebd861bcf,Westfield High School,140,413
sch_621e28a4662ae372,Ben Davis High School,138,391
sch_7bd0c13d8ccead67,Harrison  (West Lafayette),135,413
sch_d887b59d01e417ed,Fishers High School,135,412
sch_cbc575cc70f677df,Penn High School,110,358
sch_202f03cd4bc4f82b,Noblesville High School,105,341
sch_8ec85152387ed820,Bloomington South High School,100,318
sch_bf74a5122c9a3ec5,Hamilton Southeastern High Sch,99,217
sch_3e71aecbc374112d,Franklin Central High School,95,300
sch_be9254df0f0b6854,Columbus North High School,93,286
sch_2a1c3ca940d49101,Zionsville,91,135
sch_54b71b0803cfebfa,Pike High School,90,291
sch_c1c92e38146e1838,Warren Central High School,90,266
sch_e8756b69b4407833,Lafayette Jefferson,88,255
sch_7b1a60d54bef453f,Lake Central,87,351
sch_0b8c5312c68a7bdd,Centerville,87,176
sch_070e31a30ead0a03,North Central  (Indianapolis),85,363
sch_4555ca163db3d6b5,Zionsville Community High Scho,85,161
sch_651a2ab0019b09f0,Kirkwood,84,143
sch_3190489f6e6629a8,Center Grove High School,83,302
sch_5345a0f9918ff8d9,Franklin Community High School,83,293
sch_0f67224419d619e2,Greenfield Central High School,83,255
sch_7259e71248790658,Warsaw Community High School,83,234
sch_645061d0a9bdb19e,Chesterton High School,82,305
sch_371f18b59da437b5,Munster,81,262
sch_c6cf4e133e4ca4ce,Roncalli High School,80,262
sch_121ed94247aab6f5,Bloomington North High School,76,238
sch_e92da202c4a33fd4,Decatur Central High School,75,190
sch_7af03b04f14252cc,Lawrence North High School,73,245
sch_4e04180121142195,Indiana Jr All Stars,73,74
sch_f73e72ea0b3415c4,Elkhart High School,72,287
sch_cf3d554c75bbffa7,Lawrence Central High School,72,254
sch_dc68f1f1a98a4a61,Southport High School,72,238
sch_30629d014977a988,Homestead High School,71,241
sch_548efb802e6b39c4,Valparaiso,70,267
sch_4d761427257ba51d,Kokomo High School,70,184
sch_5b03d9a5c8e7d2c8,Mooresville High School,68,183
sch_d3b7fca524b70654,FW Carroll,67,221
sch_5a356bbcfb6980cb,West Lafayette High School,67,197
sch_7504c79a4a80afb5,Cathedral High School,65,226
sch_598412643d5e1fb6,Northview High School,64,213
sch_5d5f92195a6eb670,Plainfield High School,62,206
sch_27d4f1db54d3caf7,Brebeuf Jesuit Prep School,62,184
sch_af5b32f14d7286f7,New Albany High School,61,118
sch_2d59d2c1724a91f4,Marion High School,60,169
sch_d24063f7ef7eb9e2,St. Louis University,60,107
sch_cb53dd6cb0629c83,Floyd Central High School,59,211
sch_175a7095b7637d86,FW Northrop,59,149
sch_cc74f387d0e15cf4,Greenwood Community,58,228
sch_bfcc49ffdfc52cb5,Concord Community High School,58,172
sch_55274f272a267fc2,Goshen High School,58,164
sch_c1ea2d09ec3446ba,Mt. Vernon High School (Fortvi,58,144
sch_e17613aa375b2751,Mt. Vernon  (Fortville),57,231
sch_28a580000c6a4951,Springboro,57,116
sch_ce17f7af04152956,Portage,56,271
sch_b0cb97263581abd0,Perry Meridian High School,56,195
sch_0cf73c9c78891eba,Edgewood High School,56,187
sch_c00ac818a9ef28d4,Mishawaka High School,55,150
sch_02e8489ff81972e7,Dub. Coffman,55,124
sch_d6e0dd35f3348947,Castle High School,54,163
sch_c0b826ebf6620de0,Tri-West Hendricks High School,54,110
sch_513b06084d6a6562,Huntington North High School,53,167
sch_7ac4cf6496d4cd7d,Seymour High School,53,155
sch_ac130bb56fae9b80,Wawasee High School,53,133
sch_21e25e440f6c92c4,Lindbergh,53,83
sch_33fbdecf909a21d0,Columbus East High School,52,158
sch_887daf42d77a6a45,Mason,52,102
sch_557d5b89d5e86f11,Hobart,51,185
sch_5b8f02c73a359f0d,Hammond Central,51,96
sch_06d4adcd662fc926,Whiteland Community,50,203
sch_005f4152e890e78d,Shelbyville High School,50,153
sch_d430d177364d3b8b,Danville Community High School,50,151
sch_7f6f9f1cc5897ba5,Milford,50,110
sch_98235c1bbfa45477,Western High School,49,209
sch_0262a248483fcf05,Columbia City High School,49,143
sch_647f2eb3660afe21,Merrillville,49,131
sch_5f15234a75b8bcc8,FW Bishop Dwenger,48,152
