school_id,name,co2027,athletes_all
sch_8a01a79f7d7b0f4f,Shawnee Mission South HS,114,303
sch_1a502b0477d56e92,Manhattan HS,113,356
sch_2f5cf38ac1f37692,Gardner Edgerton HS,112,323
sch_79c15f4eb7ea64a3,Blue Valley West HS,112,298
sch_ff8034c77bc60eaf,Mill Valley HS,108,320
sch_5f355fab99b8a1b5,Lawrence Free State High School,106,292
sch_77216dcf3c705925,Shawnee Mission Northwest HS,100,308
sch_353b84b5c51f0b61,Junction City High School,100,280
sch_b274f5634eb1872b,Shawnee Mission East HS,99,374
sch_37f2dbafeb46a390,Washburn Rural HS,99,299
sch_5c4818cfdac7b639,Olathe South HS,98,282
sch_19a3c0ecea89b89d,Liberal HS,96,234
sch_85e6be3d8fdaf28d,Olathe East HS,90,256
sch_3860a49673ede1ff,Olathe Northwest HS,88,299
sch_e5c46a808194be0e,Blue Valley High School,88,270
sch_b1d3760816e9d3f6,Olathe North HS,86,258
sch_5a280505e6f9104c,Andover HS,83,220
sch_47691a7d6d9140de,Kapaun Mt. Carmel HS,82,247
sch_ec407aaa8485aab7,Bishop Carroll Catholic High School,81,265
sch_4224c74a94c804b5,Goddard HS,81,198
sch_fe484adb4c7648e5,Shawnee Mission North HS,79,229
sch_ba486b6a1b7944b6,Lawrence HS,79,226
sch_1e0e324772ad68ab,Blue Valley Northwest HS,78,215
sch_80167ddd332a5b35,Emporia HS,75,301
sch_9f3baf9cb4dd3684,Dodge City High School,75,243
sch_98697b7b05634c46,Olathe West HS,72,234
sch_1f6469421a3d30f9,Shawnee Mission West HS,72,220
sch_949a9a2cda0e5a8d,Garden City HS,72,200
sch_d1c73ac39eed51d1,Wichita-Northwest HS,71,172
sch_cd6b0df41ad99ed1,Wichita-Southeast HS,71,157
sch_584ce212a830d3f0,Blue Valley North HS,69,237
sch_e0e0dec15a29430e,Valley Center HS,67,156
sch_7fadb37d38df16d5,Derby High School,66,183
sch_d9576e0cf4222be5,Maize HS,63,169
sch_2f0c3e30671caab0,Andover Central HS,61,209
sch_b88a1519bb31a377,St. Thomas Aquinas HS,61,148
sch_adcdcfd13a47c2b3,Wichita-North HS,60,169
sch_5c1425c60ab8996f,Newton High School,60,154
sch_05430ecc02539ee5,Basehor-Linwood HS,58,193
sch_b11b10e9acccb2ff,Campus HS,57,174
sch_7f9f370c3cd1e66a,Wichita-West HS,57,133
sch_14b6b29c46de38ea,Kansas City Piper High School,56,196
sch_3e7695270b8cf506,Topeka Seaman High School,55,199
sch_6475cf3ea73f052d,Hays HS,55,169
sch_7eaa7d75a5667393,Lenexa St. James Academy,53,210
sch_6f9fcbd08f8ed31b,Leavenworth HS,52,194
sch_31ae511e386e6925,Eudora HS,52,169
sch_686dbd1477a5c617,Shawnee Heights HS,51,157
sch_dca223411cb6de57,Bonner Springs High School,51,152
sch_15443795c891583e,Buhler High School,50,178
sch_226d4b1c6afd517a,Maize South HS,50,169
sch_f754a5f5ff8a88a0,De Soto High School,49,175
sch_9cdc6482e0e564a2,Andale HS,49,146
sch_4bb5ff51ba4240f1,Salina-Central HS,48,155
sch_3e3add6e87fe9d24,Sumner Academy,48,152
sch_ac67b137f3593c59,Wichita-East HS,47,158
sch_17aeb51a9602812a,Labette County HS,47,133
sch_2d672b964a652365,Spring Hill High School,45,200
sch_8490c388eb553285,Wichita-Heights HS,45,124
sch_745a856218cfccb4,Christ Preparatory Academy,44,146
sch_4f697f6a16563d4d,Goddard Eisenhower High School,43,144
sch_cc7ec9560859e403,Girard HS,43,114
sch_6aae95dd3e68f404,Unattached,43,87
sch_be7721a2a52148e1,Turner High School,42,177
sch_9f3db6f0bee8c015,Salina-South HS,42,152
sch_add779f86adb4f37,Hutchinson High School,41,132
sch_df4092d90e68a6c6,Lansing HS,41,131
sch_586c6c6692104e7f,Louisburg High School,40,173
sch_79f2504173c294d7,Rose Hill High School,40,90
sch_64d249d4281d9087,Kansas City-Washington HS,40,78
sch_2f9a7520a4146f96,Topeka HS,39,147
sch_8b987f567cbfdb9d,Chapman HS,39,135
sch_85854c4c0ca6dd92,Fort Scott High School,39,101
sch_46c46edb62ba59b3,McPherson High School,38,117
sch_cb09ad25044e0c50,Wichita-South HS,38,108
sch_847240a84326e271,Ottawa HS,37,107
sch_df8d4e36cc10e4db,Columbus High School,37,75
sch_eaae382b67458b0d,Topeka West HS,36,117
sch_e96bc493fff49ba4,Mulvane HS,36,90
sch_8e0af92079355097,Chanute HS,36,88
sch_e12678cc501df837,Rock Creek High School,35,133
sch_ad0f759462c5377b,Tonganoxie HS,35,123
sch_11f5cc44fc7ab65a,Circle High School,35,97
sch_1c203c2640fb87c8,Bishop Ward HS,35,78
sch_b1136c6da7234e0d,Paola HS,34,129
sch_bb639a7c6890f2ff,Lyons High School,34,110
sch_70f0fb8e2e3b303d,Cheney High School,34,102
sch_b3effd5c97fb069a,Augusta HS,34,99
sch_0042cfc1a31e858d,Arkansas City HS,34,91
sch_249e891b1afd3950,Pittsburg High School,32,138
sch_5dbed498e8c8de5a,Clay Center Community HS,32,130
sch_84ba933f067f45cb,Royal Valley HS,32,125
sch_7100da39b38e8817,El Dorado HS,32,67
sch_04a3865791ab2738,Highland Park HS,32,67
sch_0fc8e315e4ae1b40,Blue Valley Southwest HS,31,133
sch_101b28a346526fa0,Riley County High School,31,102
sch_8d4ac956ed58a423,Atchison HS,31,72
sch_b8e8c8fdf1f2dbc5,Piper,31,55
sch_51c531a214f68de3,Seaman HS,31,46
sch_8dd5edefe61de40b,Nemaha Central HS,30,116
sch_8862780a080678a7,Hugoton High School,30,89
sch_17da1a4156cee128,Nickerson High School,30,80
sch_e44a66ae790977fd,JC Harmon HS,30,76
sch_3a16a1d2c2b36472,Holcomb High School,29,98
