school_id,name,co2027,athletes_all
sch_9ce4e9e84423d9ce,Male,94,202
sch_63a7a698200ce0cf,Ryle,91,327
sch_2f8b7056f371972c,South Warren,73,286
sch_2de44f5766eb0f4a,Oldham County,70,199
sch_85e370a05b0d3de3,Campbell County,70,165
sch_0abe8a1ef54d9686,Henderson County,66,138
sch_05cbb1e34e062948,St. Xavier,64,184
sch_4ca014511443569b,Frederick Douglass,63,182
sch_72bf4195107a1e8f,Ballard (Louisville),61,157
sch_ea80715c18217ae1,Pleasure Ridge Park,57,97
sch_b45b9276971e118b,Fairdale,56,118
sch_620a15a2f72ba325,Simon Kenton,55,135
sch_91fd50cec2ab65d0,Dupont Manual,54,182
sch_1419d4d83b1b9b25,Madison Southern,54,149
sch_454759037ef3655d,Great Crossing,53,172
sch_51ae3954d14bd0cb,South Oldham,52,221
sch_f195e3519b362f8e,Warren Central,52,183
sch_7ddf51ab64fe0bb4,Lafayette,52,154
sch_b0b96434b60c2fb2,North Bullitt,52,138
sch_f98ea3b349c423b9,Madison Central,51,158
sch_414caacb8c0d5cff,Greenwood,49,180
sch_64c5404f0044ad50,Anderson County,48,127
sch_6649ce6f43d25399,West Jessamine,48,109
sch_25646ec7da2e8a23,Eastern,47,175
sch_fede1a18bab2206a,Trinity (Louisville),47,138
sch_bb54e69f24a77d61,North Oldham,47,137
sch_d0313838444ea93e,Covington Catholic,47,124
sch_dfd67244f6d93489,Bowling Green,46,304
sch_3fb75373c4d93ede,North Hardin,46,211
sch_0ad1c4827ce2726d,Meade County,46,206
sch_a1619635729fe192,Henry Clay,46,112
sch_de545f9003b2455b,Sacred Heart,45,157
sch_8cc878cab74a0f0d,Bryan Station,45,154
sch_760415996bee5eda,Assumption,45,116
sch_38a702f6c4435634,Highlands,44,298
sch_cd53b291fa3a6367,Scott County,44,149
sch_3b5783314bb2d6cf,Central,44,131
sch_f96117d88c07afe6,Mercer County,44,125
sch_6059ad103987cb61,Rowan County,43,221
sch_355a77686c686dbb,Conner,43,155
sch_d70fb44be3273a29,Madisonville-North Hopkins,43,150
sch_c67267ce190c20c3,Paul Laurence Dunbar,42,114
sch_49f8625c0ac7fecf,Lexington Catholic,42,111
sch_4a0d3cc166d953ed,Cooper,41,197
sch_80b9fa708a841b49,McCracken County,41,188
sch_29a6f662d3d66b43,Calloway County,41,144
sch_ee0ccdf8152842b5,Greenup County,41,122
sch_732f819da312c85d,Bourbon County,40,233
sch_a1238840766af907,Notre Dame,40,127
sch_63b46b9bfbc2783a,Christian Academy-Louisville,40,97
sch_55a5f16b5d134872,John Hardin,38,133
sch_b22e88e6caf6b172,Daviess County,38,124
sch_4cb1730b24ca0098,Atherton,38,117
sch_0a1d4d72c916013b,George Rogers Clark,38,99
sch_97d3376fab7477e7,Russell,37,318
sch_aedbd383f56793dd,Owensboro Catholic,37,196
sch_09c503a3e24b851c,Christian County,36,200
sch_5899f4b9724f194a,Larue County,36,145
sch_9151561cad23ee06,South Laurel,36,117
sch_0a4e959f4814d582,Mason County,36,115
sch_1321ae3128c292fe,Owensboro,36,96
sch_ed046936627c7a15,Ashland Blazer,35,131
sch_64a788ac6eb54cbd,Raceland,35,127
sch_1573eca39cad600a,Tates Creek,35,127
sch_dfe3205c0f9110a6,Fort Campbell,34,119
sch_fc0308e7dd4a6f42,Bishop Brossart,34,97
sch_a48ba4ee7c884f84,Scott,34,84
sch_7ec2ed127a917127,Whitley County HS,33,190
sch_add9615ddf146852,Boone County,33,186
sch_c43e572b532244d9,Beechwood,33,163
sch_f79f72065e1614be,St. Henry District,33,133
sch_0a75a7e8a6f6af0b,Iroquois,33,57
sch_b979a30c388b075d,Shelby County,32,187
sch_968b4c0ffbe9942d,Woodford County,32,112
sch_9d389e258cd4ee3b,Dixie Heights,32,111
sch_3dd67e54df4d3c82,Valley,32,56
sch_330f116b39c579b8,Walton-Verona,31,158
sch_cfab61424122caec,Butler,31,98
sch_f3c25590c56619fa,East Jessamine,31,93
sch_6183534c4c951eb7,Garrard County,30,56
sch_90e8051216d7fb9c,Central Hardin,29,258
sch_12fafa5ac8e31d82,Murray,29,183
sch_8358e1e66287acdb,Holy Cross (Covington),29,82
sch_eb7fb49cb6e95e8d,Mercy,29,76
sch_fb0ba33228e2eabd,Seneca,29,58
sch_c3185bfd934ab6e8,Holy Cross (Louisville),29,50
sch_04dfafa592ca9978,Pulaski County,28,188
sch_694d7e3b70af9f1c,Elizabethtown,28,159
sch_9322a754463e6443,Franklin-Simpson,28,105
sch_8e122c43a1e015f1,Bullitt East,28,97
sch_7d6591d5599b6e58,Bath County,28,88
sch_c02757e988a7ec01,Breckinridge County,27,164
sch_cab949275ce5432a,Rockcastle County,27,130
sch_2a7bb0aa2e7963c1,Boyle County,27,94
sch_09c3911ae1f38056,Nelson County,27,86
