school_id,name,co2027,athletes_all
sch_a226e58066387a62,Loyola Prep,59,98
sch_06f7eced3aed48b4,Neville,55,123
sch_a76955ade8e12893,Northshore,53,106
sch_40ec3bc510a5d6a6,Benton,52,93
sch_d87835e27dc1fdcd,Central - B.R.,48,182
sch_8ff430a6fd8b64c8,Acadiana,46,100
sch_671810c747625869,Brother Martin,45,111
sch_65e58ede395d6469,E.D. White,44,214
sch_9572135064ac8192,Teurlings Catholic,43,86
sch_ad8edae2789cab84,Ouachita Parish,43,77
sch_be3d0cb36bcb6b35,Acadiana Renaissance Charter,42,272
sch_8e1a94428d4c8d49,St. Amant,42,109
sch_deab922e055d692e,Zachary,42,79
sch_b605fb2b5793fa14,Ponchatoula,42,76
sch_6938a0ad3eab6c04,West Ouachita,41,70
sch_efb84c2491bb5750,Franklinton,40,69
sch_b2b9a0d3dc0e9e70,Ruston,40,61
sch_ef810e1d4709e9ed,Ouachita Christian,39,234
sch_486cb5793ec85e16,Patrick Taylor - Science/Tech.,39,101
sch_248818fdb8f93719,Minden,39,82
sch_218f510ef4f019b9,Thibodaux,38,151
sch_4dfa33d36f51da83,Dutchtown,38,121
sch_3dc6dd0f64e116d8,St. Frederick,38,111
sch_12d5c80f4e33883d,East Jefferson,38,63
sch_2c13f64cba2f7b9d,Denham Springs,37,87
sch_5710e43de4223709,Central Lafourche,37,70
sch_86c3accce84f5fea,Airline,37,69
sch_763f0403685a8393,Terrebonne,36,101
sch_c7c272bf8d817f7a,Hahnville,36,76
sch_d4d3a5342e11a9aa,John Curtis Christian,35,253
sch_c0e869bc34c765d3,Isidore Newman,35,148
sch_086b26b2ce780904,Jesuit,35,93
sch_1f3e223663934831,Franklin Parish,35,85
sch_492e47775c9faf87,Kenner Discovery Health Science,35,68
sch_ef745de39faae010,Sterlington,34,61
sch_d2cd1a7c486aff9a,Barbe,34,59
sch_50affccf056bfc15,Slidell,34,55
sch_86f30581ff1eefa5,D'Arbonne Woods Charter,33,417
sch_4c954745af523867,St. Thomas More,33,158
sch_47f758303c1b587e,Mt. Carmel,33,140
sch_aa7a99faa22d718c,Salmen,33,52
sch_f13fcc1ff6481fa9,Belle Chasse,32,82
sch_c2ee351d3d0ed16a,Southside,32,70
sch_d2890059f7e3c178,Young Audiences Charter,32,61
sch_bb6b5e99c817e46a,DeRidder,32,60
sch_37a2837097d68278,Jewel Sumner,32,45
sch_6ca93fd7afa6db40,Cedar Creek,31,205
sch_161486b92f339dd3,Natchitoches Central,31,88
sch_e5d479245514e7e1,Haynes Academy,31,71
sch_1cdf875e80468126,Ville Platte,31,57
sch_9e3c5184f4c0af76,Huntington,31,52
sch_bc9cbafd7d1afbef,Lake Charles College Prep,31,50
sch_9eb80907dfeb2bd5,Alexandria,30,103
sch_756b75df751cabdb,Archbishop Hannan,30,64
sch_45ca3b467e6c42c0,South Lafourche,30,64
sch_7a7dbb59e96044ce,Iowa,29,81
sch_5096b90947b5f4bf,St. Michael the Archangel,29,81
sch_a57332b6d54e221c,New Iberia,29,55
sch_6cb2e9a7e5ad3b2c,Covington,29,50
sch_1398e7fd64765564,Riverdale,29,50
sch_e60dfd4059745e99,Sulphur,29,50
sch_809bad703b975bcd,East Ascension,29,49
sch_e3ce42a25bd1ba5b,Wossman,29,41
sch_40e9d8975eef9c50,Brusly,28,182
sch_72e31b732bdababe,Livonia,28,89
sch_82056dbce0f8cdf8,East St. John,28,62
sch_3a6b27b508aab0cc,West Jefferson,28,58
sch_5d3b85729c44f754,Leesville,28,55
sch_782c89f3e56994d9,Ben Franklin,28,54
sch_6ed57df00cd5dcb5,Hammond,28,50
sch_c2ddf8fb2ca54cb2,Madison Prep,28,49
sch_3dfd38173e0d306c,North Webster,28,49
sch_4c3ac41fdcf9b09e,Berwick,28,39
sch_53c26acb01d04465,St. James,27,190
sch_8edabfe3c61138a8,Red River,27,94
sch_63fb9d8d22834408,Buckeye,27,89
sch_284d0c0652b75918,Winnfield,27,56
sch_1a361c91b05d5717,West Monroe,27,52
sch_8c2eae22e1c8c0e2,C.E. Byrd,27,44
sch_b98927d7b248cdd9,North DeSoto,27,42
sch_e1f4a5d599e90934,St. John,27,42
sch_eee2ebf587eac464,Parkview Baptist,26,128
sch_fb491f6a66a2a7fe,Prairieville,26,124
sch_9aea36eedeb028a1,Slaughter Community Charter,26,76
sch_f2008d748c20498f,Mandeville,26,74
sch_37dc975b0182f288,Westminster Christian,26,73
sch_e6fd0bb0c2629369,Vandebilt Catholic,26,70
sch_ff0f30701cb66246,Eunice,26,65
sch_3e9e97aa632ef153,Captain Shreve,26,61
sch_6000dddbd5e81215,South Beauregard,26,61
sch_1eb2d9d7bdcb49c1,Many,26,50
sch_2de15eeadf6d5280,Comeaux,26,46
sch_9e34d81d77068e53,Abbeville,26,45
sch_bf137b0f1d8d9f27,H.L. Bourgeois,26,39
sch_0eb4267b51e6ca2e,Oak Forest Academy,25,163
sch_15c52c7a9c7615ab,Silliman Institute,25,125
sch_8d46e296fd31e90d,Bastrop,25,86
sch_dae73c61f1075a07,Haughton,25,64
sch_4104702557a40737,St. Joseph's Academy,25,60
sch_56ada04e56ec0c96,Destrehan,25,47
sch_9f84d7c4bbc98f53,Lakeshore,25,46
sch_820afe5d5c412676,Academy of Our Lady,25,40
sch_490e365efd1aec42,Lincoln Preparatory School,25,34
sch_933cd50017b7c058,The Willow School,24,263
sch_a1f48d786d6e8be7,Northlake Christian,24,211
sch_b0b6db12eaccc707,Catholic - N.I.,24,165
sch_cc56adebff7e1ecd,West Feliciana,24,138
sch_26e07c8f655ca6e5,Catholic - B.R.,24,94
sch_80a9c790f8c7bf41,Dominican,24,74
sch_e0897c594c337830,Bell City,24,71
sch_f35c500c844ab2d8,Walker High School,24,48
sch_d0e315c0bf572be1,Tioga,24,44
sch_f3863692edcbef70,Rayville,24,41
sch_c05509500e464953,Washington-Marion,24,36
sch_d72ccc2b9f240404,Kentwood,23,198
sch_827a44a1f1f707be,University Lab,23,154
sch_905386a5a5a4cd29,Covenant Christian,23,113
sch_efb617115d66063c,Fontainebleau,23,59
sch_410ca867915e4602,Homer,23,42
sch_bb87308a5b3ad087,Westgate,23,41
sch_82a7193a99257175,John Ehret,23,38
sch_e17994f561456425,Mangham,23,32
sch_a8be34a927230240,Lafayette Renaissance Charter Academy,22,284
sch_7a68d0ad8bc12688,Metairie Park Country Day,22,209
sch_929b44656d18a13d,Hamilton Christian,22,63
sch_4f5e7f14a460f526,Glenmora,22,58
sch_c78015fb8dabc990,Hanson Memorial,22,55
sch_5809d37e5741a37f,Parkway,22,51
sch_4d1db131dd06fc45,Assumption,22,49
sch_fb2f6a9893eec869,Grant,22,39
sch_985d5bd4dca7ea3b,Chalmette,22,34
sch_17c15aebcf998d1a,Erath,21,180
sch_da7447f2d0f7c05c,Episcopal,21,136
sch_e81a42fece1b9a04,Lakeside,21,126
sch_63e6112594d999f3,Lafayette,21,66
sch_2bdc74a0f7f7f20a,A.J. Ellender,21,36
sch_cb8c15254df7b4c6,Warren Easton,21,28
sch_85524fdf745b5edc,Delhi Charter,20,114
