school_id,name,co2027,athletes_all
sch_2c3cf5db7a947162,Attleboro High School,104,290
sch_297485427ee43f28,Natick High School,103,281
sch_b50582cd01e5ad95,Newton South High School,100,229
sch_90c79236271fb5f9,Arlington High School,99,304
sch_ec9c6aa3c7ecd3ea,Needham High School,97,284
sch_caddd4fc01d7f60d,Lexington High School,96,276
sch_0f8a145e0bfb7e39,Wellesley High School,95,267
sch_7fa3acb61b1b82be,Brookline High School,92,272
sch_d0a655e2c4775a63,Winchester High School,88,336
sch_141a7dae59db8beb,Newton North High School,87,299
sch_5b40fb6f2014153f,Melrose High School,87,247
sch_dd83953acbc1fb90,Boston College High School,85,252
sch_a1a4557fd393a576,Woburn High School,85,225
sch_164df9fe38cdf4b0,Shrewsbury Senior High School,85,199
sch_f894f66259af3635,Hopkinton High School,84,285
sch_e26f6181854411d5,Oliver Ames High School,84,191
sch_43b2cc694e03efc5,Central Catholic High School,80,306
sch_334a0e4519d98cd1,Westford Academy,80,227
sch_d28a8c6eb24e47c4,Westborough High School,80,179
sch_bbebdd9729de68a5,Greater Lowell Technical High School,78,227
sch_cc5030abc86d81d1,Belmont High School,77,280
sch_b959b9b2786db2c0,Bishop Feehan High School,77,251
sch_db714e35108033cc,St. John's Prep,77,239
sch_6959118def52eae1,Mansfield High School,77,193
sch_bad1caa5f05b02d7,Reading Memorial High School,76,265
sch_983792f5db03a170,Phillips Academy Andover,76,234
sch_63eeccb47c6b8bab,Brockton High School,75,167
sch_70832181b3bb5396,North Andover High School,74,298
sch_f14757c8efef4d93,Cambridge Rindge and Latin High School,74,202
sch_6cbf34e42c5dae04,Essex Agricultural & Technical High School,74,174
sch_56b97646ed13c3cf,Lowell High School,71,203
sch_456432719321eaf3,Canton High School,71,200
sch_833665a443f24cae,Dover Sherborn Regional High School,70,180
sch_071083ec198ab6a3,Northeast Metropolitan Regional High School,70,147
sch_d56406dd86f91d76,Masconomet Regional High School,69,166
sch_37db3153de4e4e7f,Acton-Boxborough High School,68,207
sch_68632acc2332cf0e,Burlington High School,68,200
sch_c83f2b6aa991f802,Chelmsford High School,66,287
sch_37549f2e51231dde,Andover High School,66,269
sch_6d0e429c44928fde,Algonquin Regional High School,66,188
sch_a7695337e825333b,Swampscott High School,66,180
sch_1d3139758d10c8cd,Peabody Veterans Memorial High School,66,147
sch_c7905a1272d2b285,Pittsfield High School,65,131
sch_67a658433dbb7cd3,Longmeadow High School,64,384
sch_9e694236eb1406ff,Plymouth North High School,64,151
sch_c07c759a1640cefa,North Reading High School,63,156
sch_da588938f335b063,Franklin High School,62,213
sch_a810672636d38301,Tantasqua Regional Vocational High School,61,103
sch_b00c885a6d726d0f,Xaverian Brothers,60,268
sch_2876aa12e8e7866e,Newburyport High School,60,140
sch_cd5ccfecb716e708,Springfield Central High School,59,150
sch_9f504dbcf772e72a,Lincoln-Sudbury Regional High School,58,202
sch_3f29e300a564e250,Framingham High School,58,195
sch_fc1d3302b7e15257,North Quincy High School,58,150
sch_e01ac7562e81ea85,Blackstone Valley Regional Vocational Technical High School,58,149
sch_8c8f5a5474871733,Milton High School,57,185
sch_3bac6c362eb97dc0,Greater Lawrence Tech,57,178
sch_0272f8bb942f3c7e,Durfee High School,57,148
sch_0b507528559554da,Greater New Bedford Regional Voc Tech High School,57,131
sch_b1e3920cb8afe30f,Marshfield High School,56,147
sch_4925f0c54eee8f76,Southeastern Regional Vocational Technical High School,54,197
sch_53bd1acd73bb31ee,Wakefield Memorial High School,54,152
sch_6b62e2dfd81dbe42,Worcester Vocational Technical High School,54,148
sch_200644f20c5c2cc4,Boston Latin School,53,262
sch_03c421e80a91c457,Bridgewater Raynham Regional High School,53,148
sch_1bcdd926abae2a96,Wachusett Regional High School,53,128
sch_7f07f750757d2f4e,Taunton High School,52,200
sch_4d3ba9bfa776489b,Wilmington High School,52,183
sch_aed4f40b60a4d713,Austin Prep School,52,176
sch_e504a45d7d2d8c9e,Westwood High School,52,146
sch_b258a726c303f3ee,Norwood High School,52,123
sch_53378ab352b96a68,Hingham High School,51,216
sch_c1f4c271e3a91920,Sharon High School,51,178
sch_0508dc915af83f91,Chicopee Comprehensive,50,123
sch_9f421fc0303b6419,Pembroke High School,49,140
sch_68bd088fd7142d2c,New Bedford High School,49,108
sch_bc37705ef0f73a57,Beverly High School,48,196
sch_aed45cf85c9a5ce4,Ashland High School,48,185
sch_107b3e505abaf276,St. Mary's Lynn,48,155
sch_14ca7e8ce84d83f4,Marblehead High School,48,140
sch_750702c13cbcda37,Lynnfield High School,48,128
sch_3c9c2298cf30352c,Ludlow High School,48,126
sch_a7b0061abee15667,Stoughton High School,48,122
sch_0fa389f9fbc94c18,Holliston High School,47,217
sch_c860eb938aff72bb,Diman Regional Vocational Tech High School,47,170
sch_495894d21847392e,Braintree High School,47,168
sch_300bde33221a0c49,Minnechaug Regional High School,47,161
sch_5eee118d66c076cc,Noble & Greenough,47,134
sch_52c30dd49073b55c,Walpole High School,46,183
sch_25e409ddf5f32ccd,Malden Catholic High School,46,153
sch_e6a074e26d4b384a,Deerfield Academy,46,124
sch_031c79f1be13f848,Catholic Memorial High School,46,121
sch_2f58945ea05f087a,Northfield Mount Hermon,46,106
sch_76618ee0e907ae6f,Lawrence High School,46,96
sch_8fdee02a0be41052,Duxbury High School,45,185
sch_f4a2cbbe9a9f574c,Concord Carlisle High School,45,166
sch_90a0bb4c24e98261,Montachusett RVT High School,45,109
sch_ec4916f78a56ac23,Grafton High School,45,95
sch_b387e563ede21ec3,Whitman Hanson Regional High School,44,230
sch_b4f3708b2dfb9301,West Springfield High School,44,144
sch_decab065d8753f23,Scituate High School,44,135
sch_616550a6c5627b4e,Medfield High School,44,133
sch_77bba7f66d3554c5,Milton Academy,44,127
sch_e83ddaec37625ece,Billerica Memorial High School,43,211
sch_628d688daaa48244,Plymouth South High School,43,185
sch_68aee5a1bf837702,King Philip Regional High School,43,137
sch_2df957c4ffc45bb3,Governor's Academy,43,118
sch_f288263efc05bd34,Boston Latin Academy,42,141
sch_82e8622a128a7099,Weymouth High School,42,136
sch_a82ea88f7865ed4f,Doherty Memorial High School,42,134
sch_000bfe8fc5ea3028,South High Community,42,103
sch_42a349d4a20e9b0f,Tabor,42,76
sch_bf258d5833592b78,Amherst-Pelham  Regional High School,41,184
sch_57433344fd5f315b,Archbishop Williams,41,115
sch_8896af8b14c98de9,Thayer Academy,41,103
sch_14161baab11c8d57,Stoneham High School,40,155
sch_8753b734d47c84d5,Pentucket Regional Senior High School,40,123
sch_c5f918d9da45bedf,Dedham High School,40,113
sch_93216201483de1bf,Norton High School,40,102
sch_c774751a482f69dc,Mount Greylock Regional High School,39,207
sch_da76733489ec1673,Northampton High School,39,127
sch_ded411994f0f4863,Concord Academy,39,92
sch_beafafca0dec3860,East Bridgewater High School,38,209
sch_b2c88ed3599d4104,Waltham High School,38,173
sch_df641c88a4509a92,Tri County Regional Vocational Tech High School,38,129
sch_0bbd0b5284bd202c,Bellingham High School,38,128
sch_5e51c6675452cbe4,Middleboro High School,38,104
sch_b872e144b6a1b8ff,Millbury High School,37,130
sch_31e2a94eed5e90bd,Tewksbury Memorial High School,37,117
sch_5cb7c5907171ff3b,Chicopee High School,37,95
sch_7d67ba067fea727a,Shepherd Hill Regional High School,37,94
sch_9f23a10c400d3762,Danvers High School,36,117
sch_7f2ed95dc2295cab,Oakmont Regional High School,36,94
sch_89b3e02c7351a363,Putnam Vocational High School,36,84
sch_1688a1aad28ac93b,Lynn Vocational Technical School,35,145
sch_b881d6cf6b87c175,North Attleboro High School,35,141
sch_e8ac1fd000138a48,Bedford High School,35,137
sch_322c46b6975e0c86,Abington High School,35,120
sch_1215fdbdfbfeb30f,Haverhill High School,35,120
sch_5d245b7407bfcedc,Fitchburg High School,35,109
sch_cd4308c836083b8a,Nauset Regional High School,35,92
sch_41702975bbd37295,Lawrence Academy,35,58
sch_7ea048d672552004,Groton Dunstable Regional High School,34,132
sch_84884076e237d2ca,Abby Kelley Foster Regional Charter School,34,114
sch_c594419092959ee5,Methuen High School,34,101
sch_b95ceeab292db5ea,Auburn High School,34,100
sch_e01ae6f01bb4cff5,Williston Northhampton School,34,97
sch_f04905fe247bd46b,Milford High School,34,96
sch_b1cd2c6918221546,Cardinal Spellman,34,87
sch_72367c08221e2933,Chelsea High School,34,60
sch_d1a469bcb0fa394b,Silver Lake Regional High School,33,181
sch_fa1b92ff35533568,West Bridgewater High School,33,116
sch_463be84d922fe7b4,Foxboro High School,33,106
sch_dfaa5f170f6995de,East Longmeadow High School,33,104
sch_0fea2df097d0d689,Somerville High School,33,101
sch_08d1a96ef86655c9,Wahconah Regional High School,33,101
sch_ac5db2e0b722d31e,Taconic High School,33,82
sch_615fda2c5a98639e,Whittier Regional Vocation Tech High School,32,126
sch_abb87dfebe00cb66,Gloucester High School,32,111
sch_6c23597681b1b41e,Leominster Senior High School,32,111
sch_838dd48fb1f1aa5a,Westfield High School,32,102
sch_979c2b443f60dff5,Worcester Academy,32,78
sch_582ec058f25a48b3,Norwell High School,31,163
sch_3d8eb2ecece88d3a,Quabbin Regional High School,31,144
sch_0914afee97664577,Dartmouth High School,31,141
sch_483a2be77e11d5f4,Blue Hills Regional Voc Tech School,31,123
sch_23919b936a333451,Millis High School,31,120
sch_9f126ac568881665,Bristol Plymouth Regional Voc Tech,31,97
sch_bed7937fda45901a,Malden High School,31,75
sch_360e47e0ebfe5d9d,Notre Dame Academy-Hingham,30,115
sch_fda685d0c962721f,Amesbury High School,30,90
sch_ce165dd8d64b14ef,Ipswich High School,30,88
sch_2791a10690894c50,Holyoke High School,30,77
sch_c0e6ec3f46a5fba5,Middlesex School,30,64
sch_f57a3ab5a351738c,Nashoba Regional High School,29,119
sch_6a094c08ff05c5fb,Shawsheen Valley Technical High School,29,98
sch_5553f8ca8fef74cc,Wilbraham and Monson Academy,29,94
sch_e8d2a0cc09f640a0,Belmont Hill School,29,73
sch_4a687bea6f7eada8,Marthas Vineyard Regional High School,29,69
sch_c99b8b3ac4b33f79,Weston High School,28,233
sch_e4bf29ae40c8de17,Parker Charter Essential School,28,130
sch_68e7c79a25609e94,Douglas High School,28,107
sch_8790d6ff312cbce8,Everett High School,28,87
sch_d39f0e982ce65bae,Watertown High School,28,79
sch_18347ee5768f253b,Rivers School,28,67
sch_6e0d12a68f3bfcb6,Hanover High School,27,242
sch_f7352ad97e84b06a,Wayland High School,27,120
sch_ad5eefc17ccd4483,Ayer-Shirley High School,27,104
sch_fd6aaa6bc4aa6ec7,Hamilton-Wenham Regional High School,27,88
sch_d3666913866acf62,Burncoat High School,27,76
sch_cae07cd5f70e1416,Clinton High School,27,73
sch_d5024290773caa22,Monument Mountain Regional High School,26,103
sch_2b444bd4922b14ba,Case High School,26,67
sch_99cc15b23649a361,Dracut High School,26,63
sch_a9cbd0e52f61a583,Marlborough High School,26,57
sch_d3ae6350029e46a2,Medford High School,26,57
sch_486a9eb721960e46,South Shore Vocational Technical High School,25,102
sch_a88e154414f71646,Lunenburg High School,25,93
sch_18c57908f1702c12,Seekonk High School,25,85
sch_6dd4d3fd942faff8,St. Paul Diocesan Junior/Senior High School,25,69
sch_f786b9f4d45f5935,Fenwick,25,66
sch_548d0472a6f09271,Hoosac Valley High School,25,64
sch_73f2be6f8bde49d4,Salem High School,25,52
sch_1fa576cac1db73bb,Saint John's High School,24,152
sch_7cc9944fd953c467,Medway High School,24,118
sch_f29b7990182cef0d,Hopedale High School,24,111
sch_ce64579d0cb28a93,Hudson High School,24,100
sch_24b1bec360948c71,Agawam High School,24,97
sch_263793d786488f4e,Randolph High School,24,86
sch_7650c222de1feb7e,Saugus High School,24,80
sch_38e605cc77868175,Groton School,24,73
sch_18d0214393954640,Buckingham Browne & Nichols,23,94
sch_22f9869ac755dd67,Falmouth High School,23,80
sch_00787c75d133079d,Somerset Berkley Regional High School,23,75
sch_078eb842ee96a5ba,Bishop Stang High School,23,72
sch_d4079d1392b34eef,Pope Francis,23,69
sch_f9edc5a534c83470,Sturgis Charter West,23,66
sch_2f9c5ecf7bb18b94,Quincy High School,23,65
sch_4ce578ef6bc8806b,Lynn English High School,23,47
sch_1b5bd88ef55889b1,Gardner High School,22,115
sch_ba15512fbe7f0934,Whitinsville Christian,22,113
sch_72e5e762a9fcf91e,Old Rochester Regional High School,22,101
sch_7c705722f08e3905,Rockland High School,22,101
sch_be24f8b4909b6502,Fontbonne Academy,22,75
sch_871b5d680e1b09f3,Littleton High School,21,128
sch_5eb4b8e461bbede3,Carver High School,21,127
sch_b0dac558877da5ab,Keefe Tech High School,21,117
sch_5c532ac2c9b86732,Dighton Rehoboth Regional High School,21,106
sch_7fb3d5eb858dcb4a,Dennis-Yarmouth Regional High School,21,105
sch_68f63240b68a2d63,Revere High School,21,85
sch_7d608067d3c7be56,Bay Path Regional Vocational Tech High School,21,84
sch_aa6a1fcfe78c846c,Tahanto Regional High School,21,83
sch_1ff64df0aa1bd93d,North Middlesex Regional High School,21,55
sch_ce2dc788a46e2ad2,Hampshire Regional High School,20,134
sch_45c54f5e280ec300,Springfield International Charter School (FNA Sabis),20,92
sch_ae8ba7e6be3dd619,Southbridge High School,20,87
sch_17da2ef63cb4e514,South Hadley High School,20,78
sch_a1adf089afc3d8f9,Innovation Academy Charter School,20,69
sch_67eeff11352f6c48,O'Bryant High School,20,63
sch_97977501657e5693,Cushing Academy,20,50
sch_b0c87825e6d65ea2,Ursuline Academy,19,101
sch_011694fb357cd80a,Bromfield  School,19,95
sch_d18d53008e98ba72,Pioneer Charter School of Science,19,88
sch_5ee8aebe2c1f03be,Narragansett Regional High School,19,86
sch_59cd7c6b3f1f303d,Lowell Catholic,19,67
sch_e31a3ad20e8db30d,Lynn Tech/KIPP Academy Coop,19,54
sch_cb66ed32c5f31c8c,Wareham High School,19,46
sch_5a5f81b492401b18,Quaboag Regional High School,18,67
sch_e4a66b90bb57ac4c,Mashpee High School,18,62
sch_53d44a91c2d49a73,Greenfield High School,18,57
sch_f4c3b90ee8a77432,Lenox Memorial High School,17,108
sch_262414d4ba5159ae,Barnstable High School,17,93
sch_036439e00c29870d,Adv. Math and Science Academy,17,76
sch_77d1eec58f11f125,Uxbridge High School,17,74
sch_02155ef57d7b69b4,Roxbury Latin,17,58
sch_6dc2fa0e88c7ab20,Cathedral High School-Springfield,17,46
sch_2c1c4ec04aa9e211,Berkshire High School,17,44
