school_id,name,co2027,athletes_all
sch_2125a14707601dc6,Reservoir High School,90,214
sch_846370b0945e7f3f,Towson High School,86,180
sch_f7cc05fa95c3f1e0,Winston Churchill High School,85,228
sch_22055d0cdd33cd82,Crofton High School,84,243
sch_f3e84ba085c78da4,Walt Whitman High School,83,253
sch_b0d5fdee6f37ec33,North Point High School,83,206
sch_8fe48fe783770068,Urbana High School,81,242
sch_4a715a19414f5963,River Hill High School,81,236
sch_87041fa585cd157b,Severna Park High School,79,242
sch_4151f9f041cb648d,Marriotts Ridge High School,78,202
sch_efd58499d8033f1b,Broadneck Senior High School,75,222
sch_f54fb1bafe268d68,Richard Montgomery High School,74,223
sch_c8a86d72f67088b5,Randallstown High School,74,155
sch_7f653adf9881eda5,Severn Run High School,74,154
sch_9f260c97d2fd8166,Oakdale High School,73,198
sch_5cc0184f59197a96,Great Mills High School,72,145
sch_b45bb1c4104381cd,Walter Johnson High School,71,226
sch_41426e1d25e49ea9,Tuscarora High School (MD),70,216
sch_84492eaf433825e8,Sherwood High School,69,166
sch_f9575b38541cd7ea,Montgomery Blair High School,67,200
sch_95c1504eb36c6111,St. Paul's School,65,138
sch_6ada0375dedf735a,Damascus High School,64,214
sch_3eec2ada465a90f5,Clarksburg High School,64,212
sch_d3864cd933b30d1f,Howard High School,62,195
sch_a270e54d4fc26db8,Wheaton High School,62,178
sch_e1d921155c0c5dda,Westminster High School,62,170
sch_e95b802748b27e5a,Quince Orchard High School,61,184
sch_761aa0761ada0fcb,Old Mill High School,61,136
sch_05642c24bd355e84,Bel Air High School,60,124
sch_8980a7d8a00c5468,St. Mary's Ryken High School,59,156
sch_3022eeb5b6e0e878,Guilford Park,58,142
sch_93ac0f43245f55a4,Bethesda-Chevy Chase High School,57,213
sch_68da2ed51962be0b,DeMatha Catholic High School,57,162
sch_1dd0a9ac278bfcda,Leonardtown High School,56,160
sch_85aa8978ff2d0452,Arundel High School,56,157
sch_845754f49609557a,St. Charles High School,56,136
sch_2a5241a238d2671c,Seneca Valley High School,55,139
sch_106ca47ddb80fa5d,Gov. Thomas Johnson High School,54,167
sch_d5cdec5476620d08,Oakland Mills High School,54,167
sch_e918faa9a74216e7,Linganore High School,54,150
sch_a862c3fe90e9da07,Middletown High School,54,144
sch_6cac8bc3c68ab25f,Springbrook High School,54,143
sch_f8b6f0f7422df506,Glenelg High School,54,121
sch_6e05430c4328db95,Baltimore City College,53,151
sch_085a8fe0c5392dab,Chopticon High School,53,127
sch_8cbadba3ec7f9810,South River High School,52,208
sch_703af52e3ce3a19e,Bishop McNamara High School,52,155
sch_fd07c6364d47e215,Northwest High School,52,154
sch_cf05f96f428da92c,Henry E. Lackey High School,52,92
sch_34f71aa8084e7f03,Kent Island High School,51,104
sch_23e24babe7fdd3cb,New Town High School,51,94
sch_9848ff99c702d080,St. Mary's High School,50,138
sch_9997f89a6cfa1a93,Maurice J. McDonough High School,50,110
sch_aabd27a4151f75ad,Chesapeake High School-AA,49,149
