school_id,name,co2027,athletes_all
sch_c913d1c6f997f282,Unattached,847,1729
sch_c8d4d06609966ad8,Northville,157,505
sch_7ddf91cfded99415,East Kentwood HS,114,366
sch_e3ac999c86a488e3,Rockford,108,343
sch_b33816ea045b24d6,Novi,104,774
sch_721aa728c325f72c,Ann Arbor Pioneer,96,527
sch_6feac700d9b71750,Troy,85,317
sch_f8caef3f983989f1,Hudsonville,79,474
sch_13800558fd6c76d2,Detroit Cass Tech,77,216
sch_48c2799fa6711623,Troy Athens,76,238
sch_e3d43397cf71ed9e,Grandville,74,526
sch_d0d359a9633d7468,Dearborn Fordson,72,184
sch_c1d063105cd1e01e,Saline,70,503
sch_27fd3fb519353c44,Grand Ledge,70,390
sch_d91e8e0ebcab9d52,Caledonia,69,244
sch_87034326f68989d0,Rochester,68,418
sch_a2e43b529a645ff7,Rochester Hills Stoney Creek,68,196
sch_eb84a4642f011b46,Lake Orion,67,359
sch_5254c065b0dde143,Livonia Franklin,67,313
sch_bf449182b08f8708,Salem,67,235
sch_2bb74d783593ca4a,Clinton Township Chippewa Valley,67,210
sch_f0f2cc16ef58c028,Saginaw Heritage,67,188
sch_232f84432c7dcaa0,Belleville,64,188
sch_0896adbee577a09d,Portage Central,63,421
sch_79f3614315bda74d,Clarkston,63,341
sch_123b25eeb5512025,Rochester Adams,63,259
sch_b998978aa20a3ed1,Kalamazoo Central,62,260
sch_a6cffc56ff61c084,Canton,61,453
sch_c2aece0aa49f1be6,Muskegon Mona Shores,61,387
sch_b2302a6b5f3582de,Royal Oak,61,356
sch_f7dcb64ff6dc0d29,Grand Haven,60,431
sch_86e4aca516cb0964,Romeo,60,366
sch_b569aed7a435209c,Grosse Pointe South,60,264
sch_baa30fb2ad50b893,Byron Center,60,261
sch_6df21f35b6a731c8,Oxford,59,554
sch_ee35c8a2c5724018,Woodhaven-Brownstown,58,444
sch_5764bf4c89eae486,Temperance-Bedford,58,372
sch_6d76c329e9d6886c,Livonia Stevenson,58,334
sch_9b7a4eaf31eeeb86,St. Joseph,58,300
sch_530f5d6e14c27f9f,Brighton,58,289
sch_77fc28cc5da2b68e,Ann Arbor Huron,58,247
sch_11ddf97ec78ae164,Dexter,58,203
sch_c62521f14e343a6f,Wayne Memorial,58,139
sch_31815fedcd3dc908,Wyandotte Roosevelt,57,355
sch_b67f775deb4485be,Clare,57,340
sch_5788d775e699b118,East Lansing,57,207
sch_eb21df5108101cfa,Sterling Heights Stevenson,57,205
sch_d2dace6bc1b0e77f,Gibraltar Carlson,57,204
sch_e229e987c3f8adaa,Kalamazoo Loy Norrix,56,217
sch_eebac5a6f41467cb,Midland Dow,56,179
sch_df8feeb6bc4bcca4,Ann Arbor Skyline,55,211
sch_8690d697c5e90343,Livonia Churchill,55,204
sch_4e7928920e8f22b7,Farmington,55,160
sch_07994f017d21e58a,Shepherd,54,287
sch_aad3c746439a8753,Detroit Renaissance,54,192
sch_2b02acbc17e5ffc8,Plymouth,54,182
sch_48ea68190267690a,Holland West Ottawa,53,463
sch_21db8dbdb3d76748,Grand Rapids Christian,53,343
