school_id,name,co2027,athletes_all
sch_64d7d657fe666f82,Wayzata High School,184,1201
sch_4ca5914426bef6f3,Blaine High School,136,406
sch_547f87bf34d27b93,Minnetonka High School,129,409
sch_232e2cb7160ff5e9,Eden Prairie High School,127,717
sch_8cb80f520867df6b,Prior Lake High School,116,386
sch_d6891526191d4af4,Eagan High School,109,479
sch_de8778d21fe4702f,Rochester Mayo High School,106,557
sch_e5b62c87bf9671db,Rosemount High School,102,666
sch_bada2e212d783e71,Mounds View High School,101,432
sch_9b0acfb0cc985ee5,Edina High School,95,526
sch_185f4ad764877d11,White Bear Lake Area High School,94,198
sch_3210c3e722189df2,Mankato East High School,92,451
sch_22004848ed1d2c71,Maple Grove High School,91,392
sch_2b763b56eae85e4a,White Bear Lake High School,90,400
sch_9045810c6a00ddd6,Rochester John Marshall,89,390
sch_9e6d0420f675d258,Roseville Area High School,88,446
sch_fecc2c9f911d9c0f,Cambridge-Isanti High School,87,460
sch_54b24d0d078ebbcc,Owatonna High School,87,388
sch_f80c146d4312c540,Hopkins High School,86,568
sch_3ea1c8ea7621c13a,Shakopee High School,85,288
sch_2aa9e91b1695a15e,Moorhead High School,84,426
sch_7375cdf8545e6ea9,Apple Valley High School,84,329
sch_b3601a17c77df2b7,Rochester Century High School,81,435
sch_e49fddcadacb65f3,Saint Michael-Albertville High School,80,406
sch_fe242790a5a01020,Waconia High School,77,409
sch_17d195fee90e7d92,Irondale High School,76,264
sch_b362862d961970d3,Coon Rapids High School,75,377
sch_754d896a266b3d0e,Woodbury High School,72,299
sch_84d493da2b0a12a7,Mankato West High School,71,387
sch_8fb0a96d868f5d31,Northfield High School,71,380
sch_d174d9929413d17f,Anoka High School,71,327
sch_56a4d7e15aea9420,Andover High School,70,291
sch_7bf58bd38e2bd413,Alexandria High School,69,518
sch_5abb792adf4497b9,Stillwater,69,486
sch_42c4cfad7324d7b0,Osseo High School,69,283
sch_27e23c718b57b325,Champlin Park High School,69,268
sch_ff541dc53d89afb3,Lakeville North High School,69,224
sch_417ab0e7ba5fac42,Forest Lake Area High School,68,419
sch_c4c293eb3c2e72dc,Centennial High School,68,386
sch_5f5a4efb2243dc54,Minneapolis Washburn High School,68,240
sch_e975f1e41ef65320,Two Rivers High School,67,249
sch_9a34eec2d802744f,Robbinsdale Armstrong High School,66,328
sch_9acb35b4f1656578,Lakeville South High School,65,248
sch_1a1b1c94eee59d9e,Bemidji High School,64,385
sch_8f9a24cb6fb8804d,Spring Lake Park High School,64,295
sch_627121aaf765aff6,Eastview High School,64,276
sch_8881beda1bb40a28,Saint Paul Highland Park High School,64,229
sch_470e3a723c544f0f,New Prague High School,63,322
sch_e579799adad13eb8,Duluth East High School,63,275
sch_ad5cbae241bf2dea,Saint Paul Central High School,62,392
sch_4461eea23d179b69,Park Center High School,62,214
sch_e2aa8fbc8c884096,Rogers High School,61,370
sch_c856d43b71268f2f,Hiawatha Collegiate High School,61,120
sch_d219a611cecf5215,Brainerd High School,59,235
sch_6d5aa0eced566fac,Burnsville High School,58,229
sch_1f143eed74e0cba6,Bloomington Kennedy High School,58,161
sch_131ae6342689bb08,Sauk Rapids-Rice High School,57,298
