school_id,name,co2027,athletes_all
sch_5cb09938086f409b,Kirkwood High School,124,406
sch_a1375792a20cf15f,Unattached - MO,114,431
sch_e002fd36e61b721a,Liberty North High School,111,345
sch_218fe0e38b22f4ce,Park Hill High School,109,268
sch_ae50ea859adfd0d7,Liberty High School,107,253
sch_35aec146c8b28dbc,Blue Springs High School,101,236
sch_bb8f94578fae79ac,Lee's Summit High School,99,244
sch_72d624061bdceb2d,Blue Springs South High School,93,286
sch_a8dc69cd1cf56d43,Waynesville High School,93,244
sch_93c1e4a07a1035c9,Lindbergh High School,92,293
sch_909e59583c6cb9ab,Lafayette (Wildwood) High School,91,281
sch_282b1d62546e07c5,Nixa High School,87,275
sch_d33a42cea0c21328,St. Dominic High School,84,250
sch_30b019da12e2f34e,Unattached,84,185
sch_8c30907b3e5b3073,Platte County High School,82,248
sch_36c952112201fe1e,Lee's Summit West High School,81,257
sch_3946f0ab2db63acc,Parkway Central High School,80,212
sch_e83c951c3a4905a5,Seckman High School,80,191
sch_7dc9e9cbcc0de586,Parkway West High School,79,271
sch_2a5e319242aceb3b,Kickapoo High School,77,212
sch_499f8a33da75e2b7,Marquette High School,76,266
sch_f386de18d960ea12,Park Hill South High School,75,252
sch_68a2020994329300,Francis Howell High School,71,261
sch_54639212d22de3ef,Carthage High School,71,201
sch_92354f6b8b848d12,Neosho High School,71,193
sch_25a98c31b93d9099,Helias Catholic High School,71,151
sch_99a9974bcc3b2131,Rockwood Summit High School,70,204
sch_fd44d204fc2cfb04,Oak Park High School,69,183
sch_a986c1595d630038,Fort Osage High School,69,162
sch_8b26da30b034b3c3,Northwest (Cedar Hill) High School,68,230
sch_3b684a52cb0c6456,Hickman High School,67,220
sch_a8fa118b887e98dc,Farmington High School,67,193
sch_7f61ffc96a09b59a,Ladue Horton Watkins High School,66,247
sch_4603ba86731a13ae,Eureka High School,66,246
sch_d652e3f123beb69f,Raymore-Peculiar High School,66,221
sch_9d34203fb1b616ba,Pattonville High School,66,193
sch_bdf969b19cced912,Grain Valley High School,65,218
sch_7107680e147eaf86,Rock Bridge High School,64,221
sch_c2909b57a61feb24,Staley High School,63,226
sch_b3944f9195711d14,Ft. Zumwalt North High School,63,203
sch_c80bfa67816d6008,Jackson High School,62,234
sch_8cbccb08a044ee2d,Webb City High School,62,201
sch_41a2e6f70e0e460f,North Kansas City High School,62,170
sch_4db475014fc8e920,Belton High School,62,166
sch_24155b246e66ce6b,Jefferson City High School,61,177
sch_b16a608ec5d16ad2,North Point High School,60,176
sch_19cc4503600d828a,St. Louis University,60,107
sch_6ffe646a54ae8d26,Ozark High School,59,240
sch_12e609625b348df1,Bolivar High School,59,136
sch_9bebdb3ea5d7ce24,Webster Groves High School,58,232
sch_3b28285793cf5c47,Francis Howell Central High School,58,208
sch_32975f194426bd84,Lee's Summit North High School,58,204
sch_700f91f4fb1beddb,Troy Buchanan High School,58,183
sch_f44c9305596aac5d,Raytown High School,58,136
sch_b49fb2da8b71289d,Joplin High School,57,202
sch_0d0898448f3428e8,Timberland High School,57,198
sch_cd9041bfc91e90b8,Kearney High School,57,193
sch_eb2a41013bcb6486,Orchard Farm High School,57,138
sch_4befe190c72047a2,Central (Cape Girardeau) High School,56,183
sch_28eb465105e7e103,Clayton High School,56,165
sch_ba07206e4d6d60c1,Lincoln College Prep. High School,55,192
sch_688ec07d79c2905b,Oakville High School,55,189
sch_40a1e957829c3b46,Republic High School,55,181
sch_7547522b0274f875,Hillsboro High School,55,152
sch_5f1661cb544fe316,Central (St. Joseph) High School,55,143
sch_c6d7f29fdc783f8a,Raytown South High School,55,119
sch_e6ac9141fd0cd8ae,Hazelwood West High School,54,114
sch_f66c700456006b9f,Van Horn (Independence) High School,53,153
sch_f8543412014c2c8e,Mehlville High School,52,184
sch_a3969b13d6b058d1,Sikeston High School,52,129
sch_4109a57fd4a83d8c,Parkway South High School,51,221
sch_9d82534945f96252,St. Michael the Archangel High School,51,109
sch_a9e92fff491efb1f,Ft. Zumwalt East High School,50,155
sch_4f8bdf7a24c92a6a,Liberty (Wentzville) High School,49,210
sch_5265cf059f21e2b5,Rolla High School,49,171
sch_957234d76c2b9044,SLUH,48,202
sch_21c0da976a67e43b,Ft. Zumwalt West High School,48,185
sch_7343b8e1011aab4b,Willard High School,48,165
sch_326bf2f256727924,Marshfield High School,48,114
sch_6cf647643882f8f0,St. Charles West High School,48,113
