school_id,name,co2027,athletes_all
sch_a527f68c6644bf72,Desoto Central High School,84,164
sch_838a4f0a8ed2a3da,Oxford High School (MS),77,392
sch_149dbf2e423e747f,Ridgeland High School,71,172
sch_801fcb0fb3a0ecfa,Germantown High School,64,347
sch_ff9c7be61aebc080,Tupelo High School,60,277
sch_505cbdc6f7b6c329,Olive Branch High School,60,170
sch_a5d569c2ee8db789,Terry High School,57,155
sch_75bb20992d1b2621,Callaway High School,56,96
sch_3393bf2b3ac0c029,Rosa Scott School,53,128
sch_54db549e11cb561b,Northwest Rankin High School,51,237
sch_c70b78ef56afd936,Madison Central High School,51,190
sch_7cae6a3301a30056,West Harrison High School,49,160
sch_2277b9fd9e36de27,Hernando High School,49,147
sch_51e973a2e2788004,Purvis High School,48,66
sch_9edbdecb5c0bcec7,Murrah High School,47,114
sch_4835b5bb5ca46986,Southaven High School,47,93
sch_ee05581ff5fd42ca,Wilkinson County High School,46,160
sch_f349d66c4491d274,Long Beach High School,46,147
sch_3b1dca91ac9fa4bf,Saltillo High School,45,233
sch_6af59995d4115e4e,Jackson Preparatory School,45,174
sch_6a95495fade91298,Brookhaven High School,45,116
sch_4e9225201517f9f4,Forest Hill High School,45,91
sch_2e8e4b9ba2782035,Center Hill High School,44,129
sch_db06bc2731055fb6,Saint Martin High School,44,128
sch_fb30fdddfe2bb5ec,Gentry High School,44,112
sch_f369e6ffdc66f31c,Lewisburg High School,43,150
sch_44fa60343f5f42da,New Hope High School,43,147
sch_64abdd7f65a8a6ac,Leake Central High School,43,91
sch_0fd5fd1f0defac47,Clinton High School,42,195
sch_6f3b77f27d7f8a92,Biloxi High School,42,138
sch_e675073e53b07e65,Pearl High School,41,240
sch_613769cf74b24d01,Jim Hill High School,41,113
sch_a675663af517de1c,Cleveland Central High School,41,85
sch_0b8e22f52c6a8cca,Madison-Ridgeland Academy,40,315
sch_a0301962fbbdb139,Brandon High School,40,224
sch_aa393d0edacf2932,Hartfield Academy,40,209
sch_a859ff866bfed22d,Shannon High School,40,164
sch_3ae73d4e4bb7120f,George County High School,40,102
sch_f7a89f8b736b11a8,Vicksburg High School,39,152
sch_2b05e22f443c8ca5,Grenada High School,39,137
sch_6fdfa75155a5b4e5,Warren Central High School,38,160
sch_225e2b3d6eef19a4,Oak Grove High School,38,119
sch_45ee2219cef6a3d6,Provine High School,38,103
sch_4439a27a3c24bcdc,Pass Christian High School,37,163
sch_0c75222e17e56909,Starkville High School,37,151
sch_5da60fd33736030b,Caledonia High School,37,128
sch_ae4f647b0f090863,Sumner Hill Junior High School,37,122
sch_065c9e5d00a6eff0,Noxubee County High School,37,77
sch_78346610d777e88b,Pontotoc High School,36,119
sch_8900cb8473941882,Houston High School,36,116
sch_0ab2213e3ead4043,Hancock High School,36,115
sch_abd39aecd6c1e3c7,Quitman High School,35,157
sch_1552e0e322237ced,Lafayette High School,35,154
sch_799c4e8271b62c94,Morton High School,35,120
sch_d87346cbdc12233f,Hattiesburg High School,35,114
sch_54f4b0f7fb814ab4,Velma Jackson High School,35,64
sch_213a099ebbd3c93c,Greenville High School,34,121
sch_f63a572076e6fac1,Neshoba Central High School,34,108
sch_5853ebf8db71b578,Corinth High School,33,191
sch_92403692fd8da019,Gulfport High School,33,185
sch_e862d54eb1422100,Gautier High School,33,137
sch_207bb0373f4ec0f0,Tishomingo County High School,33,78
sch_9a57df2020563f44,Hattiesburg Forerunners,32,177
sch_1831fa7ca2d6d8ba,East Central High School,32,120
sch_91cf40439d49f61b,Pascagoula High School,32,116
sch_c97a08d59394299d,Forest High School,32,113
sch_53ae0f7298eeb957,Picayune Memorial High School,32,95
sch_7462425ef5fdde24,Starkville High School Black and Yellow,32,76
sch_7a7cf0e67ef291fd,Columbus High School,32,72
sch_dc157d5caee4051b,Meridian High School,32,72
sch_e7174b004b8a38b6,North Pike High School,31,186
sch_13887abd5ee5158a,Senatobia High School,31,141
sch_dcaf7d82d3635555,South Panola High School,31,134
sch_81f0e3b4d2be4203,Holly Springs High School,31,103
sch_d5026211a7123442,South Pike High School,31,100
sch_4cbb41729c930261,Petal High School,30,179
sch_c2214c296cff9d31,Columbia High School,30,119
sch_3942497113536464,McComb High School,30,113
sch_9e94bd4cd29b1712,Raymond High School,30,80
sch_4820629369ecf77b,Clarksdale High School,30,66
sch_741dfb206cc2bde2,West Point High School,30,59
sch_a0cfd6570ee30948,Jackson Academy,29,174
sch_dc189096333f20dd,Northpoint Christian School,29,114
sch_f997ab6967b89db1,West Memphis Christian School,29,107
sch_5894e8632ef4347c,Thomas E Edwards,29,80
sch_c78bb80e595655f1,West Tallahatchie HS,29,67
sch_142bf1b94b986624,Kosciusko High School,28,158
sch_2c6133c0b1432839,New Albany High School,28,142
sch_221a34a455444952,South Jones High School,28,116
sch_7cbd4b19ed7cf535,Leflore County High School,28,64
sch_0961765192cb38a6,Rosa Fort High School,28,52
sch_b3354511f8a67b99,D'Iberville High School,27,111
sch_251c2f269a44edf8,Winona Secondary School,27,94
sch_b4a0120ffda143d1,Jefferson County High School,27,76
sch_fd0ea53d526867b6,Raleigh High School,27,52
sch_814f9519f76016bf,Mississippi School for Mathematics and Science,27,40
sch_b4b58c7f9863db87,Independence High School,26,110
sch_6f3f52596798bd29,Ripley High School,26,97
sch_91ec51b271fa1358,Horn Lake High School,26,62
sch_4252bf98bd7f8bd3,Ocean Springs High School,25,164
sch_ee49bacea22915dd,Presbyterian Christian School,25,143
sch_968366513fbb7dd7,Vicksburg Junior High,25,141
sch_95e31b674c0b9e48,Richland High School,25,125
sch_07440aa5233f9e53,Hazlehurst High School,25,111
sch_d3bb22d632a75ebd,J. Z. George High School,25,106
sch_4642643095febd66,Lee Academy-MS,25,103
sch_663126c7423a1235,Kemper County High School,25,98
sch_65e559c99a06c3de,West Lauderdale High School,24,110
sch_0ba9bb05859af19d,Washington School,24,105
sch_52dfc73ff57a7c3b,Kossuth High School,24,94
sch_ace7054037ce9f6f,Yazoo County High School,24,80
sch_42921d3b924510df,Canton High School,23,121
sch_b04a27883168c9ed,Northeast Lauderdale High School,23,118
sch_eeaf333d9bc88629,West Jones High School,23,91
sch_f2865783be76f692,Copiah Academy,23,86
sch_0d7eb92d683986ab,Amory High School,23,82
sch_7d92f8af440cf619,Charleston High School,23,75
sch_1996976035d75299,Clinton Christian Academy,23,75
sch_f90cf3f9902d24bf,Heritage Academy,23,75
sch_37ff0e85261c7e89,M. S. Palmer High School,23,61
sch_5397722868b5c1a6,Bayou Academy,22,138
sch_1896be06fdfcf0ac,Itawamba Agricultural High School,22,113
sch_f2815f5d12a625b8,Tylertown High School,22,106
sch_9aa1b9843ca0fd22,Vancleave High School,22,104
sch_27dd5b4ce5d5cec9,Choctaw Central High School,22,94
sch_fd224b3a751a1ade,Amite County High School,22,92
sch_cf6be8f79b661060,Newton County High School,22,72
sch_01cbbad2a725160b,Laurel High School,22,70
sch_3d44a83c676c077b,Nettleton High School,22,59
sch_e35682ae0ab657cb,Holmes County Central High School,22,58
sch_075e886eda365421,Natchez High School,21,199
sch_7024bae901b75e07,Newton High School,21,117
sch_8335cfbe810d7179,North Delta School,21,106
sch_d7b46df4c511ab37,Heidelberg High School,21,69
sch_5346262a2432f6a3,Okolona High School,21,65
sch_1d58fa5bcb56f405,North Forrest High School,21,60
sch_23c4fbc63d3e5469,Mendenhall High School,21,42
sch_1b3f2aeba8edf35f,St. Andrew's Episcopal School,20,153
sch_9d55a07bf896c844,North Pontotoc High School,20,111
sch_b834120bd6f5a731,Coahoma County High School,20,103
sch_438e0673a4a80fbd,Magnolia Heights School,20,84
sch_cbcb9e65b4a4dd01,Simpson Academy,20,83
sch_a5bbd50d86e971e5,Parklane Academy,20,76
sch_4eb8681e10a0f9c9,Florence High School,20,71
sch_4255b2773e20d854,O'Bannon High School,20,71
sch_cfd6a6324b474cd8,Pisgah High School,20,69
sch_4fbfd2d97230a983,Simmons High School,20,59
