school_id,name,co2027,athletes_all
sch_14f8fec5283e6137,Glacier High School,95,315
sch_12d6b4b90a740996,Billings West High School,80,227
sch_37713b4465de0c76,Helena High School,70,224
sch_2a5b544920dc6842,Sentinel High School,66,173
sch_51ace146b52eb991,Gallatin,61,196
sch_3ceb1fd7c2352632,Skyview High School,59,155
sch_cea299038b59bda2,Great Falls High School,57,527
sch_ad5eb9aee2a6ba7d,Big Sky High School,56,201
sch_e3d677b3876bf4fa,Bozeman High School,56,193
sch_57a536bdbf3476fb,Capital High School,56,178
sch_cd61e4063bd085cd,Billings Sr High School,56,173
sch_a450d1a9b3d70426,Laurel High School,53,290
sch_bf12a662f8d218a1,Flathead High School,48,188
sch_737fa178bc7c31e7,Browning High School,48,186
sch_7292f001e78518aa,Hellgate High School,46,481
sch_b7ae96241335ef5e,Charles M. Russell High School,44,160
sch_5eb8307f7f291b65,Columbia Falls High Schl,40,258
sch_431bc0742e67c62e,Hardin High School,40,228
sch_3cff3679de420df7,Custer Co District High,39,122
sch_12c87af3fd9044ca,Butte High School,37,162
sch_4577f5121f745743,Lockwood High School,35,258
sch_e573ff6810f0d0d4,Belgrade High School,33,188
sch_9fe223f3528b95d9,Whitefish High School,33,124
sch_d58e2ca84369630b,Billings Central Catholic High School,33,97
sch_b95e3258f2feb26d,Corvallis High School,32,279
sch_fc65671bf0b91f4b,Jefferson High School,32,91
sch_341c0132968a602c,Polson High School,29,267
sch_149964c7934e7b5c,East Helena High School,28,71
sch_98550120a6585ce1,Frenchtown High School,26,263
sch_cd0809149f232366,Fergus High School,26,91
sch_0fdcf658c75fec9a,Hamilton High School,25,281
sch_aa3a16212085c652,Bigfork High School,24,170
sch_6cd9fc05698a5729,Shepherd High School,24,154
sch_85bbe272a4d39d25,Huntley Project High School,24,126
sch_1c494106e1a54f11,Thompson Falls High Schl,24,92
sch_a9ffa0172009da41,Sidney High School,23,166
sch_1b8f14e751d42321,Columbus High School,21,126
sch_5299bbc333a68833,Beaverhead Co High School,21,65
sch_b985645b6bd35a4a,Havre High School,20,256
sch_0f76ca5853c3dff4,Lodge Grass High School,20,138
sch_f3e7f7fe543d3725,Ronan High School,19,182
sch_4043ac976e1a5c7f,Manhattan High School,19,114
sch_e6f390ca40b5a5c1,Three Forks High School,19,113
sch_c28ba0e1ee980aaa,Harlem High School,19,91
sch_64a85fbc59c27579,Dawson High School,18,79
sch_9671247414bb95cc,Florence-Carlton HS,18,61
