school_id,name,co2027,athletes_all
sch_5e7c9b8a1ab9f526,Asheville High School,145,333
sch_5066e9dad9a8c485,Cuthbertson High School,110,315
sch_09c57e9b213eee5d,Green Hope,105,323
sch_9a41c2f8848cb2db,Charlotte Catholic,104,254
sch_8bc588f3a36b7c9f,Leesville Road,100,233
sch_c0b8e17885b88388,Apex,91,251
sch_ef4ebc934d34170c,Enloe,87,234
sch_9b6dad43fdcfd93f,Hoggard,85,227
sch_c8e66d9f05aa4c1f,Ardrey Kell,85,207
sch_7fa22b4bc229e214,Page,84,186
sch_6fe1b0057f1ffac8,Middle Creek,84,146
sch_2f7fd5be31279d81,Corinth Holders,82,203
sch_3eb512327544adc4,North Pitt,79,152
sch_92bfa369c618c449,Holly Springs,78,206
sch_c1b21f68318c01ed,"Hough, William A",76,181
sch_17ec976ead6729e1,NC School of Science & Math,76,113
sch_9abe5adb38c04216,Athens Drive,74,172
sch_eeaf99c3154dfce1,Dixon,74,169
sch_8553eebd77ec1c63,Hopewell,73,170
sch_8e03d3810b05b757,Myers Park,72,194
sch_bf68d1bc7864183d,Clayton,72,141
sch_7ac6da2c3bff370b,Millbrook,71,180
sch_2e5feb3ef81df56f,Apex Friendship,70,196
sch_93cc6442c9d9270b,Chapel Hill,68,240
sch_e044d08fe994189f,Lake Norman,67,197
sch_8867a6c53ed9309d,Mount Tabor,66,190
sch_2db7219f52083652,Eastern Wayne,66,122
sch_b6a2465e9c682583,Jordan,65,237
sch_e90a35462f24e903,Fred T. Foard,65,167
sch_7ad49ac069ba7eae,Northern Durham,65,135
sch_9e537b488b6cf21e,Cary,64,160
sch_77d44c5a1a4c5836,Mooresville,64,157
sch_118d62dddb035344,Lake Norman Charter School,64,144
sch_df3e33731326fb79,A.L. Brown,63,145
sch_fbaeefcb36a2ffd5,East Chapel Hill,62,186
sch_1918a2c183187b45,Hickory,62,173
sch_c900bada897a2c89,Ashley High School,62,156
sch_dcf3472c88697261,Cedar Ridge,61,178
sch_e0126ef1f3319a64,Oak Grove High School,61,165
sch_a0ddf64343f6fb40,Bandys,61,158
sch_096bbccbc16d324d,J. H. Rose,60,235
sch_f4a61b375ec0d484,Marvin Ridge,59,257
sch_b348b80160f92eba,Cardinal Gibbons,59,221
sch_60f2b52d0c6ad71b,D.H. Conley High School,59,167
sch_709a98a61021060e,Harnett Central,59,156
sch_3bd8f47ae3641669,Grimsley,59,145
sch_66b573416f053ed3,Hoke County,59,145
sch_d3a72f228714652d,Metrolina Christian Academy,58,284
sch_e8ed4c1b3d7ca2ef,Northside (5A),58,141
sch_a9ac084d6be0c3c5,Julius Chambers High School,58,134
sch_cdda133f4ab87639,Durham School of the Arts,58,130
sch_cc8a0e21e3bf6216,East Rowan,57,139
sch_5f6f5617975b06f5,Hendersonville,57,136
sch_10e024ccd60b8b94,Freedom,57,135
sch_23dc3980259b91c6,Charlotte Country Day School,56,270
sch_25f2d2ef44a4d267,Hillside,56,155
sch_2c85419ba90022d7,East Wake,56,148
sch_45787d70c71938e0,North Lincoln,55,120
sch_bf5732d1d0572317,Jesse Carson,54,140
sch_b9eaed960143d1cb,Northwood,54,135
sch_ffb04495aec90a97,Mountain Island Charter School,54,133
sch_24d024a14854ffe9,Palisades High School,54,121
sch_09f7aaba6b747d34,Concord,53,159
sch_fb1121a796731488,Heritage,53,138
sch_22c917c06ff92b25,McDowell,53,134
sch_684efdbcdfde9af5,Lejeune,53,129
sch_a444b3e4d31e46b8,Midway High School,53,123
sch_8a107c1d110492b5,Alexander Central,52,161
sch_919cfa0aeff39a8b,Cleveland High School,52,140
sch_1e1ed0be40fa4517,Carver,52,95
sch_f4cdf7681aa10864,Green Level,51,177
sch_60943399be34716b,Franklin,51,132
sch_d9f30111e79ea0de,Jack Britt,51,127
sch_40c23dfa14f3fd9b,Enka,51,126
sch_33070c177e4539de,Cherokee,51,113
sch_1c3a677cb06edf93,East Wilkes,51,80
sch_63a52ca084392fbd,Cape Fear,50,113
sch_289bd432bde34eaf,Knightdale,50,91
sch_afd3c57ad052fd0c,Fuquay-Varina,49,153
sch_3b55679f7c0d4e72,Garner,49,123
sch_87b7e8261f33542b,Coastal Christian HS,49,111
sch_54afb14f23522316,Kings Mountain,49,107
sch_0f121f26812320c1,Hunter Huss,49,95
sch_811a599e26ceb524,East Duplin,49,89
sch_b6846e8af4ea7b4b,Broughton,48,195
sch_e2fa2a94b5159d6f,Anson,48,168
sch_0cbf3e830becad61,Cox Mill,48,165
sch_9b6c88e90197f1b6,Laney,48,160
sch_3ef7a8b0adc98230,Mount Pleasant,48,121
sch_6112df816f11e439,Lumberton Senior,48,119
sch_9b36374f5d3750f6,Maiden High,48,86
sch_7405d0ec37080b4c,Overhills,47,124
sch_c5651a627299140a,Central Davidson,47,120
sch_84dd0cd4545a0576,East Burke,47,111
sch_9baa494b8e4b67e0,A.C. Reynolds,46,184
sch_3493a4d6bdd61175,Clinton High School,46,139
sch_e910633fda4e0741,Hibriten,46,128
sch_1359bd768d2305de,E.E. Smith,46,95
sch_fe57e32e0e8b109b,Hertford County,46,81
sch_0987553761af5386,Mallard Creek,45,183
sch_18a6d18b90066908,Hickory Ridge,45,142
sch_79d1bb1e42261ff4,Atkins,45,124
