school_id,name,co2027,athletes_all
sch_74ff97d18d3f276b,Sheyenne High School,77,508
sch_35077e24aacb805c,Century High School,68,269
sch_b2616e4c1d05944f,Davies High School,66,575
sch_4828687c028179d3,Mandan High School,64,364
sch_ca92b2ac5bef07b4,Magic City Campus (Minot) High School,61,178
sch_95201e491d055792,Dickinson High School,59,638
sch_500ea6460f16267c,Minot North High School,57,200
sch_ee55d484190a4ccc,Bismarck High School,52,246
sch_1e16578c771a158f,Moorhead,51,95
sch_f98bf759fcab2d44,Red River High School,48,211
sch_6e28e7f0d4dbe440,Grand Forks Central High School,47,190
sch_caa27d8b2d8e70c7,North High School,43,393
sch_6d5bafdaf08cbd82,Legacy High School,43,198
sch_0f375238d89b7155,Central Cass High School,43,190
sch_e094e856bdb02cf3,West Fargo High School,42,312
sch_87f3942daa84efd2,Horace High School,40,356
sch_26f62112a468eef2,Watford City High School,38,268
sch_37a50353d985a2d0,Devils Lake High School,37,220
sch_f12609d3b459c463,Shanley High School,37,213
sch_fb15f7f047501b19,Minot High School,37,60
sch_cb9f8ea879d38ebb,Kindred High School,36,185
sch_85c4c1071aca770a,Williston High School,35,498
sch_c053304573af2904,Rugby High School,35,175
sch_39bbec4ad0921674,South High School,33,287
sch_26e820ef26b9f7d1,Jamestown High School,33,244
sch_f367dddbbefd5819,Unattached,33,84
sch_e0acf20e230aa2cb,Hazen High School,30,140
sch_9f10ab009956ae77,St. Cloud Tech,30,45
sch_e461140b2e37e190,Fargo North High School,29,50
sch_d5adad7e9399b50e,Stanley Community Schools,26,129
sch_482dda6383ef70e9,St. Mary's Central High School,24,160
sch_b06ff13994de8fc0,Grafton High School,23,124
sch_af0729f0a9ed94f3,Northern Cass High School,22,124
sch_39c8146687e4f329,Valley City High School,22,94
sch_befc6e421e799bb4,Northern Lights,22,76
sch_02a9451368c46725,Larimore High School,22,61
sch_12357376157f4dd0,East Grand Forks,22,27
sch_90b6c2f8d31d0077,Southern McLean High School,21,110
