school_id,name,co2027,athletes_all
sch_e1cc6b4448e6dfab,Unattached,160,353
sch_d0772fd60265d6b1,Lincoln Southwest High School,105,420
sch_fe7de681e19456ce,Grand Island High School,99,359
sch_0ad16a29ecd8d485,Gretna,93,474
sch_237c34fafb5c71b3,Lincoln Northeast High School,85,439
sch_2ba43ff58ce8d9a5,Kearney High School,84,285
sch_610d72ce3405a6b0,Lincoln Pius X,84,282
sch_43b37d65729dfb81,Norfolk High School,83,456
sch_5bea7fc166f67e1d,West Omaha Track,83,188
sch_6f99259b58e2891a,Millard North High School,76,456
sch_b6ef02fb2e08700f,Bennington,76,375
sch_69d3c383c76e3211,Papillion-La Vista,75,253
sch_68e3f5bd8ccc0ab5,Millard West High School,74,469
sch_3538d2c910c7cae7,Papillion-La Vista South,74,315
sch_d9031d87ab19af97,Gretna East,70,235
sch_3005a67df7145ae6,Omaha Westview,67,189
sch_006adc950d648093,Columbus High School,63,545
sch_e5f85ea7647bcf85,Northwest High School,63,315
sch_17ffec063ff9aea8,Lincoln Southeast High School,62,211
sch_9c87378c80eaa358,Lincoln North Star High School,62,195
sch_765127e28b9cd09f,Lincoln High School,62,168
sch_cad5461993914a2c,South Sioux City High School,61,166
sch_11bf4d95d5c53d12,Westview,61,123
sch_e1183bf02afa1ce6,Millard South High School,59,233
sch_08de26a9b276b536,Buena Vista,57,151
sch_687501b4ae1cc682,Lexington High School,56,337
sch_9fe3835322609471,Lincoln SW,56,131
sch_b6a666612f2ab082,Elkhorn South High School,55,236
sch_e12634e879e5e0f7,North Platte High School,53,385
sch_a4cdc928d4c70917,PL South HS,53,112
sch_4e584749e0eacd1b,Sidney High School,52,192
sch_0401ed6e3bc4adb7,Elkhorn North,51,335
sch_737c2ea1c6db5909,Bellevue West High School,51,157
sch_0cad3a079230680d,Creighton Prep,50,256
sch_6e7983bf7ed3d2d2,Lincoln East,50,214
sch_d3d5cbfd5b86f4b8,Burke High School,50,156
sch_60dea80490591f12,Lincoln SE,50,95
sch_c592fd0116e26cde,Lincoln Youth Track,50,90
sch_688f1f712a8c89db,Lincoln Northwest High School,48,146
sch_4d8c461416c3a256,Scottsbluff High School,47,308
sch_9bab787ee2bc7b3f,Omaha Central High School,47,177
sch_d94ddc21ea6affdb,Standing Bear,47,173
sch_de06ec648641b9fa,Bellevue East High School,47,130
sch_c064615e3566ca66,Bryan High School,46,229
sch_07278504149e7d3b,Lincoln High,45,81
sch_4af41dba52fc6987,Westside High School,44,360
sch_da585a8d69e30abc,Wayne High School,43,249
sch_db0f89daf59f7e31,Omaha South Magnet High School,42,123
sch_e1fdd8aa31c92447,Duchesne Academy,41,94
sch_2338df6c091ab6f3,Omaha Westside,41,94
sch_319775236ba283fe,Omaha Duchesne Academy,41,72
sch_2ea1c3b9dd3eab6b,Lincoln NE,40,56
sch_772e1196d4a02900,Skutt Catholic High School,39,155
sch_f43c9b472fc01077,Norris High School,38,470
sch_e4d26a9978c2f4ca,Fremont High School,38,415
sch_39768a7760815862,Waverly High School,37,348
sch_4cb509405ccbc4bc,Ralston High School,37,298
sch_017588d64f4c79ce,Boys Town High School,37,122
sch_8ee0a194b91b7bbc,Omaha Duch Ac,37,52
sch_e915e69837f2c3d0,Omaha North High School,36,115
sch_833f5464169a43f1,Creighton Preparatory School,36,82
sch_a6863c785caf6ef4,Seward High School,35,348
sch_739b04158bc8023c,McCook High School,35,246
sch_be1b83ca6b64322f,Platteview High School,35,214
sch_44f0950990da64e4,Hastings High School,34,303
sch_87d240058ffcef6c,Blair High School,34,302
sch_8a631d5c2479c63b,Schuyler,34,58
sch_b07935208518750b,Omaha Skutt Catholic,33,68
sch_ddb46047348898f3,Omaha Skutt Cath,33,66
sch_104476ecc9d95532,Lincoln NW,33,50
sch_1753aee556ccf281,Aurora High School,32,248
sch_8e610c46532d570a,Elkhorn High School,32,195
sch_14ce82a731d3c73a,Madison High School,31,138
sch_a8f11efebbf5ccb9,Minden High School,31,116
sch_5cf9081fb54cff20,Omaha Concordia,31,63
sch_df24316e0687e47b,Elkhorn Athletic Association Track & Field Club,31,59
sch_9e84d49ac25c820e,Lincoln NS,31,54
sch_c485e81533b780d8,Lincoln Standing Bear,31,49
sch_e0ed7ea4231353b3,Omaha Bryan,31,48
sch_6234ed3218b66eb3,Chase County High School,30,193
sch_10cb8fc3339b3151,Marian High School,30,124
sch_6d40db14e569564e,Crete,29,205
sch_486a2fa6a3e35ce6,Pierce High School,29,181
sch_3f5705bc9f4b00cf,Hershey High School,29,136
sch_9694dc17c4a77356,Omaha Buena Vista,29,73
sch_c3a7155c8f8494f2,ONeill,28,266
sch_5e105980d06e0141,Gering,28,241
sch_3456d6eebd71de91,Fort Calhoun,28,210
sch_7daa4c19755838c2,Holdrege High School,28,191
sch_623dcd715401767e,Broken Bow,28,184
sch_c3e25145e843f29a,Lincoln Lutheran,28,159
sch_f8ad6b8ca9767040,Beatrice,28,142
sch_fb7459d08b39774c,Riverside,28,109
sch_f6ac20d696638230,Omaha South,28,67
sch_e2989dd9262e52fd,Omaha Burke,28,65
sch_3194036b6b7a928e,Columbus Lakeview High School,27,241
sch_25426cab2688e2eb,Ord High School,27,187
sch_9a761e6fdcc93aef,Ashland-Greenwood High School,27,179
sch_ea27d37d04a87627,Malcolm High School,27,165
sch_2a48e2ebdffa4ac2,Plattsmouth High School,27,158
sch_6002e2b32ee60ded,Nebraska Christ,27,52
sch_a6799029365576c3,Boone Central High School,26,192
sch_991d3b1dc1d6bf46,Fillmore Central,26,143
sch_0f7d6bd303dd3edf,Mitchell High School,26,135
sch_ffb0e657bc04918d,Ponca High School,26,124
sch_00a6a2b032863a99,Raymond Central High School,26,116
sch_d2b158e5d3319836,Duchesne,26,40
sch_f531cb69c9b223d6,Schuyler Central High School,25,223
sch_5a2f2757a61b8d24,Grand Island Central Catholic High School,25,152
sch_b8bf69773450cc58,Freeman High School,25,78
sch_5612bbb145dad346,Omaha Roncalli,25,78
sch_dfb183c6525a513e,Kearney Catholic High School,24,192
sch_b620861c54376b90,Gothenburg,24,179
sch_172da1a592df52c6,Palmyra High School,24,162
sch_bf9c7d44bfb98bc1,Ogallala High School,24,156
sch_05d3a0925519f81e,David City,24,127
sch_c1418e24b8671001,Benson High School,24,53
sch_79f844f4d17b7d4b,West Point-Beemer High School,23,167
sch_52b122e472e5f97d,Logan View,23,145
sch_a95de18549c7c131,Stanton High School,23,122
sch_c70841d086a644f8,Bridgeport,23,120
sch_095af2cea48beb28,Valentine High School,23,119
sch_91cf3d3c9fdf2b2d,Wood River High School,23,115
sch_ab6b28d37045256b,Ashland-Greenwd,23,40
sch_ea3f2f253e0941a5,Concordia High School,22,231
