school_id,name,co2027,athletes_all
sch_856d2083e6485e47,Phillips Exeter Academy,90,189
sch_3e7dc4a5ec2e262a,Pinkerton Academy,86,203
sch_e848c03374c5c81e,Portsmouth High School (NH),85,219
sch_ca9c42cbcc9b650c,Bedford High School,77,226
sch_7fb0da80545aa7e1,Nashua South High School,63,212
sch_05b0eddbc7892777,Londonderry High School,61,210
sch_f9a4cdaf092c3509,Exeter High School,58,224
sch_bbcef92f7ec384be,Nashua North High School,57,172
sch_026d6ee5051b5009,Oyster River High School,54,109
sch_4821f37384e73cb9,Merrimack High School,52,126
sch_cdac4991e5db2c4d,Alvirne High School,51,123
sch_a6c8960114a71129,Windham High School,50,145
sch_c5c2be33de6752f8,Winnacunnet High School,48,122
sch_4591ef7a0c98b6c5,Dover High School,46,126
sch_332f8e85ace7da57,Saint Paul's School,44,120
sch_388199469d8132fc,Manchester Memorial High School,42,147
sch_8183f6897aad8a82,Concord High School,41,150
sch_ff3ed2c15d30a5ad,Souhegan High School,40,135
sch_3c840afe15cbcfdc,Lebanon High School,38,121
sch_e0b912555c9cdc9b,Hollis Brookline High School,38,120
sch_7fbf6e15b1b9e19f,Spaulding High School,37,88
sch_1377c4e263a37768,Hanover HS,36,124
sch_cefc8c7a8e897393,Manchester Central,35,124
sch_00aca24ca1269c31,Kennett High School,33,62
sch_74de4d061fc2af4e,Salem High School,31,112
sch_5932bb054a3b57c5,Timberlane High School,30,115
sch_7d72268fd295c97a,Keene High School,30,92
sch_6a5beb814520413c,Belmont High School,30,68
sch_2e4a5f1a280812c4,Sanborn Regional High School,29,132
sch_c24409a2c24a1092,John Stark Regional High School,29,87
sch_56104b9443e6897a,Merrimack Valley High School,29,74
sch_c1b79a0cb7ed8a8f,Somersworth,29,46
sch_ff135b4663451b89,Bishop Guertin High School,26,114
sch_45ceef3fb94a7c40,Newfound Regional High School,26,73
sch_08eeda6b29e07776,Kingswood High School,26,71
sch_f0f5b98f93f0df69,Pembroke Academy,26,55
sch_affa85c65da8ec58,Bow High School,25,93
sch_05e44924fa757c3a,Trinity High School,25,62
sch_c78005fca02af392,Manchester West High School,24,54
sch_471957ce908e358d,Coe Brown Academy,23,108
sch_3cafa6b1bc2ccfc6,Newmarket High School,23,87
sch_75f095d672344e23,Gilford High School,23,40
sch_e14829891c767a6a,Winnisquam Regional High School,22,112
sch_56679969d63f52ec,Plymouth Regional,22,92
sch_043bb1c6411e98c6,Hopkinton,22,71
sch_5bd02dd1b6adde1a,Hillsboro-Deering High School,22,67
sch_a7826c82862e4b71,Milford High School,22,54
sch_8dd634f8287c707e,Kearsarge Regional High School,21,86
sch_4c9395b6fa9ad0cf,Goffstown High School,20,91
sch_30aa304d510de1f4,Pelham High School,20,65
sch_5eb4929db493452f,Newport High School,20,40
sch_b86ce0a0b7da26f8,Laconia High School,19,87
sch_05eb6ab2bb3dac86,Conant High School,19,69
sch_76c6b1c89a5338fd,Mascoma Valley Regional High School,19,53
sch_0c230ffa0e173938,ConVal High School,18,65
sch_9ab076033c43ce43,Prospect Mountain High School,18,49
sch_7d552081f3e76138,Sunapee High School,18,33
sch_e642d9d1b3ce57b1,St. Thomas Aquinas,16,46
sch_bef5b443a8edb32e,White Mountains Regional High School,16,25
sch_52edcff0eeefb71e,Fall Mountain High School,14,112
sch_6f859726abc84404,Kimball Union Academy,13,35
sch_bd795cce2013f19c,Raymond High School,13,32
sch_a50c64f0de64c40e,Bishop Brady High School,12,26
sch_662baf5eafc37b77,Portsmouth Christian,11,46
sch_a5c73b7278980790,The Derryfield School,11,42
sch_6024670db687bd62,Epping High School,11,27
sch_fa87272f3d3b1f1d,Berlin High School,10,46
sch_092455d86be47ed3,Monadnock Regional High School,9,81
sch_5dc8018d35e5e5dd,Inter-Lakes High School,9,69
sch_fbbfc45ebc191dc4,Proctor Academy,9,29
sch_0c6503f894904784,Hinsdale High,9,18
sch_bded0fe106031846,Tilton School,8,28
sch_d879b3ea55537aca,Campbell High School,7,50
sch_aee397dab6e2c914,Profile School,7,43
sch_32afbe8f30f61a2c,Holy Family Academy,7,28
sch_de77ed89497827b5,Stevens High School,7,15
sch_2d68bdfba121d839,Woodsville High School,6,31
sch_ab05298263e61f09,Franklin High School,6,19
sch_7da63cd28385f274,Brewster Academy,5,11
sch_62295a6d8d08520b,Gorham High School,4,16
sch_164b0251e3280f00,Pittsburg High,4,7
sch_2f9dddfb8b781bf8,Claremont Christian,3,40
sch_1a5446a3b52cce1f,Dublin School,3,4
sch_45b17f3475c505a9,Concord Christian,2,20
sch_585df2a67a7039bf,Mascenic Regional,2,15
sch_7f106cd3a1463f2f,Mount Royal Academy,2,12
sch_7c9315c8704cb7fc,Canaan Memorial,2,9
sch_88d1b702c21c8abf,High Mowing,2,7
sch_2b4cf61f6c586783,Lin-Wood High School,2,6
sch_a43d648a97632e97,Moultonborough Academy,1,48
sch_27e9512b915c7bca,Wilton-Lyndeboro High School,1,16
sch_2b054049ac5ca252,Tri-City Christian Academy,1,3
sch_c9ef51a0df121a16,Milford Middle School,0,103
sch_dd217aa26221668a,McLaughlin Middle School,0,102
sch_c1ed16b03bcc0163,Saint Joseph Regional Junior High,0,68
sch_c6ec4e494f89cd67,Mountain View Middle School,0,64
sch_413b5462d4b1a4eb,Cawley Middle School,0,63
sch_9ce60d05b9c47095,Southside Middle School,0,61
sch_863e9d78828ed57b,Sant Bani,0,42
sch_b04eabc508a7149f,Deerfield Community School,0,38
sch_5d01781783a6c1b4,Cardigan Mountain School,0,27
sch_8261ab2e14d2de06,Central High School,0,0
sch_ee8e48daea3d6adc,Littleton High School,0,0
sch_ad2652b4c18614e6,Mount Zion Christian School,0,0
sch_e0c174d21b93738f,Nashua,0,0
sch_78b4705b20e593fb,Pittsfield High School,0,0
sch_5bceb25e687c533d,Seacoast Charter School,0,0
sch_a837d5834ba93b82,Stratford High School,0,0
