school_id,name,co2027,athletes_all
sch_70c99e4b795266c8,Bridgewater-Raritan HS,184,388
sch_33eff0bb36d17188,Southern Regional HS,143,325
sch_ae551eb946e7dfd6,Elizabeth HS,139,331
sch_41cdd8bcb55a7a3f,Westfield HS,137,445
sch_49f99148d1e3e5b0,Clifton HS,136,293
sch_833f35b602fcb8ba,Old Bridge HS,133,397
sch_eed3f879d16cd483,Rancocas Valley Reg HS,130,315
sch_0ac1673b10adaf20,Hillsborough HS,123,326
sch_f11422659d485574,East Brunswick HS,121,398
sch_525d084abf259d3a,Livingston HS,121,326
sch_711d7cf06b8abf6f,Piscataway Twp HS,121,286
sch_a60907bb3b04b79f,Ridgewood HS,120,381
sch_c5c963614c4154e4,Cherokee HS,117,274
sch_f09339ceea762908,South Brunswick HS,116,363
sch_554befaa5e746fb0,Lenape Regional HS,116,260
sch_91efc9a9438c1c50,Vineland HS,115,315
sch_9548d2358b8b0923,Montgomery HS,115,284
sch_9ec9faefacd8a690,Bloomfield HS,115,262
sch_32772fe8024a4230,Passaic HS,112,223
sch_d6bd2ea397dfd85f,NV - Demarest HS,111,359
sch_1decb0e32e212cd2,Watchung Hills Reg. HS,111,329
sch_704700513154682c,Passaic County Tech,110,253
sch_63183229503c007f,Morristown HS,105,284
sch_1356bf46a534e3d9,Chatham HS,103,234
sch_42fa26bd8a7f5cef,Cherry Hill East HS,102,298
sch_f68660559480f1be,Columbia HS,101,271
sch_9ed091c4706d3bcf,Haddonfield Memorial HS,100,228
sch_6b97ae7a3e9f6abf,Cranford HS,98,306
sch_07392dd0a619c99a,Lakewood HS,98,182
sch_f214154a753c0ce6,Ridge HS,96,259
sch_c84e67aa96f21793,Hopewell Valley HS,95,181
sch_1b43960d2d8de466,Morris Knolls HS,94,257
sch_70ad7b1760665be1,Nutley HS,93,251
sch_6fcdbf042fe2073a,Passaic Valley HS,93,188
sch_50b5dd222174051a,Hackensack HS,92,169
sch_8a66a9298d36687f,NV - Old Tappan HS,89,260
sch_0d6295925797ee9a,Middletown South HS,89,213
sch_7ca604f4f517e529,Montville Twp. HS,89,203
sch_c43e8ee8d36c7d8a,Phillipsburg HS,89,190
sch_68ed23022c4397f8,Scotch Plains-Fanwood HS,88,217
sch_2eef54aadfe2ac18,Hamilton North - Nottingham,88,190
sch_e8d5afe4b4b0efc6,Hunterdon Central HS,87,228
sch_aa2b4efaf0e59794,West Orange HS,87,223
sch_f144106c4064efcd,Mainland Regional HS,87,199
sch_5fae42259eca56ca,Lakeland Regional HS,87,189
sch_3b6a6216d0648834,South Plainfield HS,85,269
sch_575f46fd70fda193,Seton Hall Prep,85,197
sch_32294d54c524bb06,Bridgeton HS,84,171
sch_60f3400ea92b343a,Irvington HS,83,241
sch_2c920e25e936c95e,Edison HS,82,247
sch_59e6eb6e4d9eb0a5,Central Reg HS,82,240
sch_54a697e352487ac6,Toms River South HS,82,201
sch_b2ed85914c862a42,Mahwah HS,82,187
