school_id,name,co2027,athletes_all
sch_6b0a6f802a5f3197,Rio Rancho High School,106,257
sch_ee4961e060113bcb,Carlsbad High School,99,289
sch_1f439bb36ac4991d,Sue Cleveland High School,94,291
sch_fba6dc97c653ff66,Volcano Vista High School,92,209
sch_66d67bfc91e28288,Hobbs High School,91,446
sch_d04edf5233d79591,La Cueva High School,82,238
sch_a9d6330520840bed,Organ Mountain High School,75,177
sch_4a491ef0c2f33a9b,Clovis High School,74,277
sch_4a99f621b6a019a0,Santa Fe High School,71,165
sch_e7ac7f80773b9b53,Sandia High School,70,212
sch_dfeffb2c2a1e20ca,Los Alamos High School,69,208
sch_ebae839ec294a29b,Farmington High School,66,198
sch_0f9e61ea6c9f1d55,Los Lunas High School,66,158
sch_85d8451a715b181b,Artesia High School,65,197
sch_7b681c39894154be,Kirtland Central High School,64,170
sch_bbcd77bed18e3876,Alamogordo High School,60,215
sch_ca9995b835b58fd0,Eldorado High School,59,185
sch_333df0cef6fc7be3,Piedra Vista High School,57,165
sch_57fce19e50ed07c6,Roswell High School,54,150
sch_1b759a535c3686a4,ABQ Academy,50,256
sch_e85b03aed9d20cdd,New Mexico Military Institute,50,129
sch_d663e1a9c7bf1706,Portales High School,50,124
sch_627de98b0dba119e,Aztec High School,49,155
sch_84c699dc78cb5710,Centennial High School,48,162
sch_1936a4e97394cab2,Goddard High School,47,102
sch_b864577ff4420f32,St. Pius X High School,46,179
sch_48a972c19469b72c,Cibola High School,46,104
sch_7a520c4b56a968ab,Mayfield High School,46,101
sch_65ad48f5d41fac4e,Santa Fe Indian School,45,205
sch_3f759897c529e41e,Belen High School,45,157
sch_d0de7874a3214aec,Moriarty High School,44,139
sch_7201cf39dfd5db18,Clovis High School Junior Varsity,44,48
sch_262be0e45275119b,Valley High School,43,106
sch_881b3082fd0d8ed6,Las Cruces High School,42,252
sch_ed40ba6b8b5b608d,Miyamura High School,42,133
sch_60e1d0422d2ebf45,Bernalillo High School,41,121
sch_17ca919b3dd633f1,Santa Fe Prep,40,103
sch_a83be2048b94d009,Silver High School,38,93
sch_0e4694df11b9c530,Albuquerque High School,36,123
sch_a104a476ed9508a4,Lovington High School,36,102
sch_ae73d6070c42c8f3,Del Norte High School,36,64
sch_d4febb2799416f40,West Las Vegas High School,34,125
sch_72f19de22bd2f183,Atrisco Heritage Academy,34,93
sch_9feeb26efeb329af,Shiprock High School,33,80
sch_c97536a6794339e0,Santa Teresa High School,33,69
sch_5780474f334ea9cc,St. Michael's High School,31,172
sch_0d5ac95bd0ad866e,Academy for Tech and the Classics,30,118
sch_b556fd8b5e269d9f,Gadsden High School,30,95
sch_497575295c65f7ce,Grants High School,29,101
sch_b6c488c63800a55e,Pojoaque Valley High School,29,91
sch_5f2d43c73e079768,Bloomfield High School,28,113
sch_360ffdb04a4c391f,Tularosa High School,28,71
sch_34818ae44744610b,Chaparral High School,28,52
sch_a18d050d0ada7509,Hope Christian High School,27,89
sch_961b308867caaf2b,Manzano High School,27,79
sch_6988a11edf67463e,West Mesa High School,27,62
