school_id,name,co2027,athletes_all
sch_fc0209fed8df2cb5,Faith Lutheran High School,82,303
sch_d18da8ebf8cd69a4,Centennial High,70,158
sch_947d40f27b8778d0,Liberty (NV) High School,67,221
sch_e3381772c5bd174a,Shadow Ridge High School,66,217
sch_818b1095ad0893df,Coronado High School,64,244
sch_11069c15d91463eb,Spanish Springs,63,161
sch_99eae4344f73e866,Green Valley High School,63,151
sch_088eccbbde889b59,Galena High School,59,163
sch_925f243c77050810,Desert Oasis High School,58,235
sch_f76f854b0911d0ab,Arbor View,58,197
sch_1a7590b78444413a,Reno High School,56,199
sch_9e516780818a1e50,Basic High School,55,123
sch_52dd929ba0bf7752,Spring Valley High School,48,110
sch_247c0e7f38ab18e1,Moapa Valley High School,47,146
sch_d1da4ced19834bd5,Durango High School,47,123
sch_a133da0b9e8605df,Carson High School,46,299
sch_942b0324c651d93c,Fernley High School,46,201
sch_65a81205431a9a8c,Elko High School,46,156
sch_e627220cd11ef055,Foothill High School,45,167
sch_933d91bb12c53123,Eldorado High School,44,83
sch_486a3df314724ca7,Somerset Academy Sky Pointe,43,195
sch_ee11fa6a92f45e01,Sierra Vista High School,43,117
sch_d19e2eb275c6f148,Churchill County High School,42,208
sch_e61ba4747e4a3d3b,Bishop Gorman High School,42,132
sch_320316623ef2a886,Palo Verde High School,40,162
sch_ce9fc1faaaa2bd1e,McQueen High School,38,119
sch_e59a72f7416ecf00,North Valleys High School,38,92
sch_85b9bb1a5268e0d5,South Tahoe High School,37,335
sch_696f2447d714f94d,Pahrump Valley,37,119
sch_ba47825b33d3d6c8,Clark High School,36,94
sch_6dc2cfd00403d1e6,Lowry High School,36,84
sch_b312f532a2d188a3,Del Sol High School,36,54
sch_6a44ab252b24c213,Douglas High School,35,95
sch_1163bdf8fe0305da,Unattached - NV,34,755
sch_bb0aa1cde1659521,Bishop Manogue High School,34,135
sch_242e4c9879aa7fe0,Spring Creek High School,34,102
sch_5321a474800e59f9,Reed High School,34,100
sch_352fba509ab65df1,Silverado High School,34,92
sch_3ad119f7fb9199c3,Boulder City High School,33,80
sch_72d6e9818491d724,Somerset Academy Losee,32,101
sch_ce9c6831e17a2269,Virgin Valley High School,32,75
sch_f68622d11b299f87,Cimarron-Memorial,32,74
sch_4f91e64c879589e5,Desert Pines High School,31,71
sch_28b3f091002caedd,Western High School,31,57
sch_47d795fd11e6c114,Slam Nevada,28,140
sch_e781081fc1ee6f8d,Damonte Ranch High School,27,114
sch_a0e7bc73be813bcc,Rancho High School,27,71
sch_0dc6f1e67189afa1,Coral Academy - Reno,26,150
sch_0b87251949709d03,Canyon Springs,26,74
sch_f2222dc59244c5f1,Valley High School,26,55
sch_6e5f1d0e5cbfe0a9,Bonanza High School,26,47
sch_05c99356262bec49,Coral Academy of Science,25,73
sch_9468f7b079187aae,Silver Stage High School,24,98
sch_e270dda47893b46c,Legacy High School,24,65
sch_7ed58d3ce6f0914e,Incline High School,22,121
sch_08523cf53501d4d4,Battle Mountain,22,104
sch_8eda82587b64a289,White Pine County,22,94
sch_d2d02985c13ebb51,Mojave High School,22,64
sch_0b4318d203868536,Wooster,21,54
sch_5e350449c4db246d,Mater East Academy,20,92
sch_4b1711384db0bf37,Chaparral High,20,51
sch_a892f4eb3956d8d4,North Tahoe High,19,196
sch_1fb7fe2ba688e2f8,Amplus Academy,19,165
sch_6deb4d23aaf8dd1c,Cheyenne High School,19,49
sch_c68eaad92e5134fa,Hug High School,19,46
sch_9da682fa762751c5,Sierra Lutheran High,19,36
sch_8ac7a0972e49dfdc,Laughlin High School,19,34
sch_ee881f2234ea05ca,Dayton High School,18,156
sch_b9024ffb0fe9449e,Lincoln County High School,18,43
sch_a44d515eaf7c6895,The Meadows,17,74
sch_a5edd4e81a31476b,Las Vegas High School,17,66
sch_6031229e4f59bb4e,Beatty,17,51
sch_73c2c7d31f4b1a4f,West Wendover,17,37
sch_f3a936b15b31e9e9,George Whittell High School,17,31
sch_82fd5e1bb8c54592,Yerington High School,15,150
sch_7865028222f2d4af,Wells,15,85
