school_id,name,co2027,athletes_all
sch_38a0426869fb1995,Saint Anthony's,218,548
sch_d41164ca4ff9e2ba,Monroe-Woodbury,162,436
sch_f3002df07ff881f2,Syosset,158,383
sch_6d5824bd12582f9b,Shaker,157,524
sch_83fa960b13109222,Brentwood,145,306
sch_9e8307d7fad65b55,Longwood,141,335
sch_3fedadb561cd08da,Chaminade,134,382
sch_2f7128718963bc99,Kellenberg Memorial,132,306
sch_521147eb890bfd5e,Guilderland,131,495
sch_fe0b1fe08da2e4fe,Arlington,128,318
sch_5a700bfe33d56b11,East Meadow,122,413
sch_d0fd66303ae71984,Herricks,121,300
sch_f9684606675bfda6,Fordham Prep,118,370
sch_25db31af915f3bc5,Colonie,113,348
sch_9bd45eb5e9b82642,Half Hollow Hills East (HHH),110,259
sch_7c937e97222e3a55,Washingtonville,109,308
sch_85abd1dc7d43ddd9,Middle Country,107,286
sch_fda2023baca0b3fa,Connetquot,106,306
sch_48fe8532cd5a2814,Clarkstown South,106,272
sch_5cc3526ea5ca94b2,Shenendehowa,103,515
sch_c967653981d99c92,Plainview-Old Bethpage / JFK,102,336
sch_d27021fe7d4c1fcc,Great Neck South,101,264
sch_5b78cc281b7cd166,Hauppauge,100,244
sch_087617bf13dd5bb9,Sachem North,99,298
sch_8389792372bcf7b6,North Rockland,98,328
sch_f44e6179c6148580,Hicksville,96,269
sch_8772c5bd754a046c,Xavier,95,458
sch_22f0c99660f82019,Bethlehem Central,95,337
sch_2b73bcb9782e9fb5,Uniondale,95,225
sch_80fc481f478c0aab,Iona Preparatory School,94,297
sch_6d523f4b934e7751,Bay Shore,94,278
sch_6ad23bfae8889a1f,Walt Whitman,94,267
sch_9b732311340e8cf3,Scarsdale,94,238
sch_8600904499aa954d,Susan E. Wagner,94,218
sch_6ecf9764e717138b,Cicero-North Syracuse (CNS),93,265
sch_2e2b52135f439942,Riverhead,93,222
sch_59bb1e323bb95d79,Val Stream Central,93,218
sch_9eb00e511fa559a1,Beacon High School,92,318
sch_5a02aa4c0e373813,General Douglas MacArthur,91,256
sch_4fafd9d61226c31f,St. Francis Prep,91,231
