school_id,name,co2027,athletes_all
sch_6a46097b4af68a00,Unattached,296,651
sch_870f524641ef4324,CENTERVILLE,155,525
sch_7689b80131701303,Springfield,134,314
sch_b50c0ec2dcee210d,Gah. Lincoln,128,389
sch_88d8b7a7b45e5801,Perrysburg,126,481
sch_84c329398ab647e7,New Albany,122,361
sch_d7aafd21e037ad96,Avon,120,358
sch_340f27c14da1528c,Pick. Central,120,329
sch_b56d770a6f12c5cf,Upper Arlington,116,380
sch_c1fc8ca4c02bc182,Fairfield,116,266
sch_9046fdd381cb2511,Wester. North,114,272
sch_0839e531ed86e6ae,Dub. Coffman,113,359
sch_06b87ec6b50fad46,Thom. Worthington,108,352
sch_c3a1c241ebb01bc8,Beavercreek,107,436
sch_5dd78351974e7953,Sycamore,107,335
sch_7b4c32aa4e9ed63a,Mason,102,364
sch_17a51b1bc6008115,Lancaster,102,341
sch_266205f140b05082,Milford,101,278
sch_3aaee94d7240d767,Olen. Orange,100,346
sch_d27d3327ae6dff19,Olentangy,100,313
sch_11dca75e74598333,Walnut Hills,97,371
sch_7ccb0ce80af28427,Pick. North,97,322
sch_2b66d899ead8270f,Berea-Midpark,97,250
sch_6f7e11a5a6d49449,Hudson,96,381
sch_278a1ae21a11f892,Cin. St. Ursula Acad.,94,294
sch_4f17ff21eb9e3ddb,Hil. Bradley,94,240
sch_b24786ee7bc1b601,Wayne,93,261
sch_1fdb35ef809d8df6,Olen. Liberty,92,329
sch_12b6f6901820f69c,No. Royalton,92,271
sch_dc1c428e08e0ae3e,GlenOak,92,262
sch_8c2e09d034e60965,Troy,90,308
sch_22a57eb461636b2b,Canal Winchester,90,259
sch_30546e39cdd48254,Mass. Jackson,89,361
sch_220d72b2cf1beecc,Hil. Darby,89,262
sch_23744880a4f23bdb,Wester. Central,89,246
sch_8639d32ee0fe7807,Strongsville,88,293
sch_1b012cc9aa88feec,Stow-Munroe Falls,88,267
sch_3ed5cf75ca0988d6,Uniontown Lake,88,256
sch_b965e7652a4c0144,Teays Valley,87,248
sch_34ae3fc3da9359d5,St. Xavier,86,342
sch_15304e93208a3af0,MENTOR,86,326
sch_403b6366ae916366,ST IGNATIUS,86,244
sch_d17bffdb222337fd,Hoban,86,239
sch_8aa505d253ed36f4,Nordonia,85,244
sch_820c058ef69c9f29,Fremont Ross,85,195
sch_1416478400f4e76a,Fairmont,82,276
sch_83e2b036415405d5,Dub. Jerome,81,324
sch_230c6b342ecd814c,Wester. South,80,241
sch_dc5e751516692eed,Olen. Berlin,79,329
sch_97c56362b994aed7,Revere,79,275
sch_6ebda1dcb14cbe4f,Del. Hayes,79,265
sch_aa239dfdf32e302c,Wor. Kilbourne,79,259
sch_87404b1fb1c5a82b,Hoover,78,315
sch_f3300657693e86bc,Big Walnut,78,313
sch_e8696eec49422ed9,Springboro,78,312
sch_e9330d666ce33579,Anthony Wayne,78,244
sch_54aa013f01b8e1f4,Marysville,78,218
sch_81df8086866f1043,Chaminade Julienne,78,214
sch_4599a8b2b3afe0ad,DUBLIN COFFMAN,78,148
sch_6c1b17bf10042d22,Hil. Davidson,77,244
sch_133481c71ae70e3f,Bexley,77,243
sch_2633a6c99ad1f4b1,Ashland,77,200
sch_da721537011db8d5,Lakewood,76,240
sch_def35b2386ddd391,Solon,75,324
sch_4e9a94fb251d5941,Olentangy Liberty,75,127
sch_a6082aca99ce0efa,Lebanon,74,234
sch_09e0b0e30d0e6ae8,Cle. Heights,74,173
sch_377512d0d06747b4,Lak. West,73,221
sch_900ca9ea981c4655,Northmont,73,210
sch_dc6fe89d6509df77,Green,72,354
sch_211fc5e1ee0f16a2,Thomas Worthington,71,123
sch_e03f691871116e21,Mayfield,70,209
sch_a4fcc7ec1f75b344,Med Highland,69,198
sch_93335bdc6b7342d3,Canton McKinley,69,189
sch_ceeb5a742f393af3,Turpin,68,236
sch_7691847705844d09,Wooster,68,212
sch_3fe04bc2bd4470b2,Shaker Hts.,68,202
sch_40b18d7911a4c679,Brecksville,67,222
sch_14dff09c303dc276,Twinsburg,67,204
sch_2e36dee98ddaf505,Winton Woods,67,146
sch_aa3ed64627b11b40,Loveland,66,231
sch_e16edb554e8a042a,Steele,66,230
sch_34ce01f2f1d59fb4,Granville,66,211
sch_e73dc73d6c57fd14,Reynoldsburg,66,132
sch_c26f8a14a9f196e8,Watkins Memorial,65,211
sch_8fab8e81875ec0ce,Olmsted Falls,65,186
sch_d48fe6012691187d,CVCA,65,160
sch_a8f760837260e415,Brunswick,64,263
sch_24779c5fd7b714c7,Whitmer,64,173
sch_2283dcfec017c17c,Olentangy Orange,64,118
sch_576d76d93d211ffc,Butler,63,180
sch_309c1633f7b25559,Groveport-Madison,63,177
sch_f31b57fbbb05eeb6,Logan,62,193
sch_9fd8ac454a121b2e,Huntington,62,173
sch_825e649128f41ba0,Field,62,167
sch_282c91b32d39a10e,Rocky River,62,155
sch_4af6783ef05cbcdc,Bloom-Carroll,61,199
sch_7ac647482f6555ab,Greenville,61,180
sch_a8629ecfb0fb2684,Miamisburg,61,177
sch_6e3b57b9395169ac,Oregon Clay,61,166
sch_e75e6efdd0eca269,West Clermont,61,160
sch_df85754295df43dd,Fairborn,61,154
sch_3271b62b8acbf471,Pickerington North,61,106
sch_1cf234c90f51e150,Westerville North,61,98
sch_2f39a84cc44512b8,No. Ridgeville,60,238
sch_5613852bfc6d6526,Woodridge,60,192
sch_8f422a6ca0732eca,Lak. East,60,181
sch_bc125af3d2a060be,Dub. Scioto,60,176
sch_9c6b7a038147ad82,Triway,60,165
sch_d0934562f1e476b2,Hilliard Bradley,60,100
sch_aea740ca0eb83d90,Kings,59,247
sch_52787aecf37406d3,Anderson,59,201
sch_6610263a088a3ef5,John Hay,59,168
sch_d25cf0eca8cb2085,Boardman,59,160
sch_1325ec7fe5513ea8,Austintown-Fitch,59,140
sch_2147ce58286e9363,Warrensville Hts.,59,87
sch_37a7a66df1c6da41,Wadsworth,58,237
sch_f8402c5410dd8169,Princeton,58,149
sch_dc30c104855c9b92,Dublin Jerome,58,99
sch_81d0f092a06980a4,Walsh Jesuit,57,197
sch_a8ae3495ec3653d0,Piqua,57,190
sch_e600a3fc9e27167f,St Joseph Academy,57,179
sch_e81ab10d9bee7444,Lorain,57,144
sch_0199e7d216d98d16,Steubenville,57,130
sch_5046a92477a7cdc1,Valley Forge,57,129
sch_13122d200f67a7c2,Eastwood,56,252
sch_eb559696c2baa58e,Moeller,56,207
sch_8acb35ed7d309817,Col. DeSales,56,181
sch_6889862607a7fa52,Lima Shawnee,56,175
sch_f50bbf9ab1377ae8,Newark,56,142
sch_7b9404cfef4712d7,Medina,55,210
sch_a6289de92001e85b,Padua Franciscan,55,157
sch_59e1454825f0c00f,Cin. CHCA,55,149
sch_7c67a41fa160e78a,John Marshall,55,113
sch_ccceebb698e08b1e,Hamilton Township,54,234
sch_d4d471705130886d,Little Miami,54,203
sch_fc9c325c9f3168a3,Oak Hills,54,203
sch_026721d8a5f34c16,Defiance,54,176
sch_794597a1fd2003b8,Mass. Perry,54,170
sch_8b5a37ba42548fd8,Monroe,54,154
sch_f9d92d76d338ee89,Euclid,54,130
sch_e6ca4242193c156b,Wor. Christian,54,117
sch_189fb97c0e7f2568,Tippecanoe,53,219
sch_460a9b07f156174e,Oakwood,53,175
sch_ab3e2443b9867cf5,Gilmour Academy,53,158
sch_8700bf23563da1b5,Findlay,53,153
sch_385659c5ee35be3d,Mad. Comprehensive,53,139
sch_7c2ef0450bf8fa5d,Salem,53,117
sch_3e6a59c60d639797,Indian Hill,52,153
sch_23011d8d29c22c3f,Genoa,52,143
sch_ecfec711c6d13cb9,Westerville Central,52,89
sch_455c5403f1923c2f,Canfield,51,364
