school_id,name,co2027,athletes_all
sch_069ce0d87c2248bd,Edmond Memorial High School,82,268
sch_e2a8f8c0211f71bb,Edmond Santa Fe High School,82,221
sch_94c2187c9af8ea8b,Jenks High School,78,217
sch_0afa8d684c789dcc,Choctaw High School,77,298
sch_22b5fbf859c9aba9,Deer Creek High School,74,244
sch_dce3428ecee8690c,Coweta High School,73,287
sch_315637beeb5d70ce,Putnam City West High School,71,165
sch_e414b4401a8a6c07,Owasso,69,314
sch_bd8e7b57c03e375d,Mustang High School,67,228
sch_37c107b0f4345a37,Edmond North High School,67,218
sch_43ecff3a377efd34,Moore High School,66,370
sch_7afb3e900969d650,Bishop Kelley High School,66,232
sch_0dab3e73a66da524,Bixby High School,65,192
sch_54f1c3e8ddcf137d,Piedmont High School,64,236
sch_0c36a78f8086addb,Yukon High School,61,206
sch_5a9c64a6c70f2061,Broken Arrow High School,55,220
sch_512e527a528f616a,Sapulpa High School,53,213
sch_de6020425c3399ca,Claremore High School,53,170
sch_30c2300c0f50572d,Carl Albert High School,52,176
sch_e9d4852d15da89a6,Bishop McGuinness High School,52,173
sch_320d5a5fa6494a2c,Tahlequah High School,51,388
sch_49a1f2c26b361475,Blanchard High School,50,204
sch_30a988e3c9e72155,Tulsa Union High School,50,187
sch_af984524b9b78168,Norman High School,49,225
sch_f9f77b0fd2ac7c14,Ponca City High School,49,211
sch_f8cdedfa267aeb01,Durant High School,48,283
sch_7d9f49f7b95ae28d,Ada High School,48,218
sch_5b996d82bb4952ca,Lincoln Christian School,47,277
sch_8483fccb751b13c5,Will Rogers High School,47,184
sch_3412667ef3ad0ae9,El Reno High School,47,88
sch_22d6559649860e77,Plainview High School,46,381
sch_c59709e350d981cd,Eisenhower High School,46,154
sch_afd9d960d54303e8,Glenpool High School,44,277
sch_6800265f0b40c6fd,Booker T. Washington High School,42,134
sch_3be39564f71c2d17,Idabel High School,41,154
sch_9c72de8a8943d532,Norman North High School,41,140
sch_2b579ae59472312f,Woodward High School,41,104
sch_84ef9972694caabb,Dickson High School,40,231
sch_63dc459de0226902,Bridge Creek High School,40,171
sch_d096e1d33c911028,Nathan Hale High School,40,123
sch_ce9dd343464194a3,Del City High School,40,109
sch_76804dfbc88ff37e,Bristow High School,40,108
sch_465ba9b5e0575d22,Lawton High School,39,142
sch_4365555ba05ddfdf,Heritage Hall School,39,100
sch_1c045f59da82a90a,Ardmore High School,38,245
sch_7261fce9a6406cde,Southeast High School,38,142
sch_3e0f6991d6c8ff50,Shawnee High School,38,123
sch_fae302b91ce1d4b2,Noble High School,38,120
sch_ae53b53913526730,Putnam City North High School,38,107
sch_57a8e867c69df78c,Weatherford High School,37,256
sch_cb55264a7f97a6d2,Kingston High School,37,237
sch_961b3af4620d103a,Westmoore High School,37,235
sch_99c285d2a4011181,Southmoore High School,36,128
sch_a6db7ac87a961cfd,Guthrie High School,36,87
sch_90c0116e0d705f1e,Collinsville High School,35,108
sch_537a76da021db4cf,Classen High School Of Advanced Studies,35,107
sch_c48a489dfb7899eb,East Central High School,35,81
sch_7004ce40b78bfc52,Northwest Classen High School,35,77
sch_a0e04dcbc80b0ac4,Jones High School,34,175
sch_3e8ec4e0e3d62b53,Jay High School,34,173
sch_6393384c8f2128d1,Macarthur High School,34,123
sch_9e33cd1a26a35a84,Stillwater High School,34,115
sch_d4410751aca02b25,Poteau High School,34,103
sch_a76f7dee8fa52364,Holland Hall High School,33,194
sch_066e8f340576d8b7,Mcalester High School,33,182
sch_261adc25094e28d8,Wagoner High School,33,147
sch_92ec2b2b0847d8e9,Berryhill High School,33,134
sch_eedd6ce502974c67,Enid High School,33,126
sch_f76bf53c9d84fbc4,Cleveland High School,32,136
sch_370fffb27707d286,Putnam City High School,32,121
sch_df24fb12c5491df6,Newcastle High School,32,104
sch_46f4b1d01a5557d8,Madill High School,31,276
sch_69d7d8592ea74d8d,Altus High School,31,178
sch_e827bf4b586de978,Mannford High School,31,166
sch_37a058fef3fc8d78,Pryor High School,31,153
sch_e209c54610fa6886,Verdigris Hs,31,150
sch_9e2410da8b1cf7bb,Guymon High School,31,147
sch_7a0b0c80ad2cdb6c,Oklahoma Christian School,31,128
sch_ccc0ce86340ab29c,Chisholm High School,31,105
sch_917660a81e9c77a8,Marlow High School,30,216
sch_41328665ee36b48b,Cache High School,30,209
sch_6ea131e0d695035c,Purcell High School,30,66
sch_0675c8b0782875c2,Lone Grove High School,29,258
sch_d3ecf9145d77db51,Marietta High School,29,212
sch_973209f5fc73ed45,Sulphur High School,29,178
sch_74a1c6c6a371c559,Skiatook High School,29,161
sch_1cbf4ba0cdf68e6d,Lindsay High School,29,146
sch_f28abe1dc051c676,Elk City High School,29,144
sch_847a00acb12506f5,Washington High School,29,107
sch_c908e14dea6032a5,Cascia Hall Preparatory School,29,104
sch_ef5a69221fd2fa84,Chickasha High School,29,99
sch_bbb737fefc4470bc,Bethany High School,29,95
sch_d4cc3eeb7759b3fb,Bartlesville High School,28,190
sch_103e36a09639b1e8,Duncan High School,28,124
sch_b826d130f48a4782,Charles Page High School,28,109
sch_565770b7a827a9f9,Sallisaw High School,27,185
sch_85b982cf416b540b,Warner High School,27,156
sch_defb6cbb1036c528,Miami High School,27,150
sch_1538ab5fe615ab7e,Grove High School,27,128
sch_fd8698eed6948737,Sequoyah High School (Tahlequah),27,88
sch_287dd911c155f7b9,McLain High School,27,52
sch_7d96109d97ca99f2,Elgin High School,26,206
sch_79808ffc521aadde,Harrah High School,26,152
sch_cbfc4f6970f1c9f0,Metro Christian Academy,26,152
sch_a2c2dc53be89984b,Clinton High School,26,148
sch_d44e85ce4dc81a55,Douglass High School,26,70
sch_83cdb9a45290175b,Harding Charter Prep High School,26,64
sch_b44324d90140b54a,The Cross Christian Academy,26,45
sch_b5a6faaabc042f50,Prague High School,25,183
sch_bb341cedf07854ec,Cushing High School,25,168
sch_cb2720e72313ee49,Santa Fe South High School,25,138
sch_b457dc635e1909f1,Casady High School,25,124
sch_8ba349597a6a6a36,Preston High School,25,99
sch_f48686b52de0b661,Muskogee High School,25,82
sch_6acf87f36bc30b54,Community Christian School,25,78
