school_id,name,co2027,athletes_all
sch_bb66fa771eb92fc9,Westview High School,136,411
sch_90f8b6243731739a,Sunset,111,361
sch_6c9b2087d4130456,Jesuit,101,393
sch_635309f2e3a07d36,Mountainside,98,311
sch_45e5ef79eb9041ac,Grant,95,348
sch_3a730206c99d841c,Aloha High School,93,216
sch_6ffeb4b108780758,Summit,82,237
sch_36a20d4051c935c0,Lincoln HS,77,471
sch_4aedf819c84c7c4f,Silverton High School,76,380
sch_76857c6e1c84936e,Ida B. Wells-Barnett High School,75,324
sch_3f4421311c49ade2,Roosevelt,67,426
sch_44c42e6fbc44f2c6,McMinnville HS,67,238
sch_34af704e40315ee5,Grants Pass,67,220
sch_5f57e56db85fd7b6,Beaverton,65,171
sch_c1583166bfcb7f21,Sherwood,64,377
sch_e4b6a4d68cf77abb,Forest Grove,64,320
sch_3fbd1dacd31bcbfe,Century,62,170
sch_daf95d1afb05819e,West Linn,58,239
sch_858d1c3b48bd54cc,Franklin,56,375
sch_744f51f6f927a950,Glencoe,56,194
sch_b4e36b37e4fd4fcf,Clackamas,55,171
sch_4efaf725b04dea21,Southridge,54,180
sch_af54ca81d2be5831,Liberty (OR),54,126
sch_e28d3099ca06372b,Newberg,53,214
sch_aacc040eba3b4f25,Scappoose,52,379
sch_4e01105b953844f2,Tualatin,52,184
sch_fb0664882adec411,Mountain View,52,152
sch_3fde671ab8b6d191,Hermiston,51,185
sch_7980376e6ec2a6b3,Lakeridge,50,243
sch_627205187ecf4fa0,South Salem,50,163
sch_0a340e5e8506e7dc,Cleveland,49,240
sch_0fe2b50469123066,Roseburg,48,169
sch_d75cd5f8d544eb24,Corvallis,48,155
sch_dfae106d188dc31a,South Medford,47,197
sch_004a8406b00e8e8b,West Salem,47,174
sch_c4cf679f6c2d14b7,Sprague High School,47,166
sch_68c3a556d8d6dbbf,West Albany,47,134
sch_b02aece623f017e3,Oregon City High School,46,144
sch_7b0e66041a93e8c2,Gresham,46,98
sch_ef5f26b956343673,Caldera,45,185
sch_a837ce9b67ac5548,Tigard High School,45,163
sch_d224c2d5792fb665,South Eugene,45,138
sch_93fe4b6bd0496a81,Crook County High School,45,132
sch_24614666aeefb9cc,Hillsboro,45,131
sch_af3a707fc9a1201d,Barlow,44,116
sch_b28dace44d409359,Sandy,43,165
sch_b452afe8e518a9e8,McKay,43,142
sch_cb41e9c264edcae1,North Medford High School,42,135
sch_9b991e2b683ca636,Woodburn High School,42,125
sch_ea6fa8eb176e38c8,Klamath Union,42,124
sch_47fa95c61996affd,McDaniel HS,41,151
sch_518cd601e265a520,Crescent Valley,41,129
sch_2d786be8ee219742,Tillamook,40,197
sch_0520c47aab3a3c84,Sheldon,40,171
sch_64662f10a9220695,Canby,40,169
sch_af846131c701b7f9,Wilsonville High School,40,145
sch_7e0abe5a5ce733da,Cascade,39,260
sch_673f191bbc3a30f1,Hood River Valley,39,228
sch_b9405a14a3de395e,Henley High School,39,211
sch_1190b25463939f9a,David Douglas,39,128
sch_00c964c2358cdc82,Churchill,39,116
sch_a554441a4a672d44,Milwaukie,39,102
sch_f94e2c62a4216767,Springfield,39,93
sch_063e3f107a4798f9,Lebanon,38,266
sch_b244ee4fbf901d13,Newport High School,38,205
sch_28dffe7261f315d5,Crater,38,133
sch_7f7f31c88406f45f,Pendleton,38,105
sch_10a8fe1624c156f2,Centennial,37,440
sch_f1f0e18e867738f6,Central,37,228
sch_50fc7947450d2a27,Stayton,37,213
sch_0461caaab1ff25ed,Eugene (Marist High School),37,113
sch_fa1b942ae749ca29,Estacada,37,111
sch_9b032cefd88ffa57,Lake Oswego,36,148
sch_9f4a842b95c3531a,North Salem High School,36,148
sch_c0cdf36153915b0a,Willamette High School,36,147
sch_9d41e73e7238b6b3,Phoenix,36,114
sch_9a41703b4635e598,Ashland (OR),36,92
sch_cefcd1c97d9b7aea,St. Helens,35,212
sch_ce916a560746a5d5,Reynolds,35,155
sch_f1be147c8377213d,Redmond,34,398
sch_ae94f42e4fc9c10e,Bend,34,245
sch_0b02d2ad4cc59386,Sweet Home High School,34,222
sch_01cf84c3e3185a45,Riverside,34,147
sch_93dee23722a14d7a,Astoria,32,299
sch_7fb6574dd055c5d5,The Dalles,32,195
sch_1c8b5361034760b4,Dallas,32,115
sch_8369995db029ab13,Baker,32,102
sch_1e5be0f24cbcc0f9,Eagle Point,31,204
sch_b6c4a3ff6c98c94d,Blanchet Catholic,31,164
sch_47e1dfb27df36a3c,McLoughlin,31,84
sch_fb34fc904416cca6,Adrienne C. Nelson High School,30,160
sch_584baa571fcd6150,McNary,30,153
sch_7979c17519aff5d8,Oregon Episcopal,30,147
sch_9cc51fb0e96f24e7,La Salle Catholic College Prep,30,109
sch_a245e676a6c6e68a,North Eugene,30,104
sch_f4afe21d4dc9bc85,Molalla,30,80
sch_6d8f1cd536572877,La Grande,29,275
sch_a859f17c14fb6378,Horizon Christian School,29,119
sch_1a690c9d3611c73f,Madras,29,83
sch_4df3660cc5e90f05,Valley Catholic,28,220
sch_023727648e3ea5bc,Creswell,28,128
sch_15ff242c862c25c1,South Albany,28,100
sch_ca95eb66a75add76,Nyssa,27,207
sch_8e2fd732addb9f02,Banks,27,159
sch_87724cc2ad683759,Jefferson (OR),27,115
sch_4060fb33b7e6db7f,Taft,27,113
sch_824afa2f98933c7b,Ridgeview,27,92
sch_f2f761d788e2ceef,Westside Christian,27,83
sch_e689391e18d1ed1c,Elmira,27,82
sch_a12fbb06e7d531dc,South Umpqua,27,47
sch_cc4d1d0ca7de0a51,Pleasant Hill (OR),26,162
sch_498b592daf94bcd6,St. Mary's Academy,26,149
sch_555be8952535ae1f,Vale High School,26,125
sch_573a3d86ee09aa3e,Mazama,26,100
sch_b928e9a356137ea6,Gladstone,26,53
sch_d7257d3a676a6c04,Parkrose,25,207
sch_9f9af5bf14fcc24a,Marshfield High School,25,187
sch_e21eaaa4feef84ca,Gervais,25,139
sch_0a9a8fec2a8ecea4,Thurston High School,25,103
sch_17ccebc5789b582f,Camas Valley,25,79
sch_891efcf23bd8e5e4,Willamina High School,24,80
sch_dcc6d0c539198b48,Central Catholic,23,161
sch_3c11f356bb028f59,Seaside,23,131
sch_3b14b9fd86ebe04a,Glide,23,120
sch_61428f1046245683,Ontario,23,115
sch_11d87383c7f3b3c9,Regis,23,63
sch_b5591ffa3b0b3bc3,Umatilla,23,62
sch_1162c70c9c2094bf,North Valley,23,61
sch_c21e2c388906b5d5,La Pine,23,50
sch_f0e20874f344e2da,Neah-Kah-Nie High School,22,118
sch_8d49f2c5e4621ef6,Illinois Valley,22,53
sch_cccfe0d106f3c727,Benson,21,137
sch_ee70600af9478540,Philomath,20,178
sch_362e4cd018478e2c,Southwest Christian,20,117
sch_a0e879dac9447b9b,Vernonia,20,97
sch_a1aff57c500645c8,Putnam,20,95
sch_beef8dfe4d1df969,Columbia Christian,20,79
sch_01fa5efd74aa5e16,Delphian,19,123
sch_ce46fba9a4d7e44a,Harrisburg,19,115
sch_81b752fe323f257c,Imbler,19,87
sch_95fedc19bfe8f458,Sisters,18,192
sch_4383ef74cb9b7a68,St. Mary's,18,120
sch_2d8b6cc50c34a2c2,Corbett,18,117
sch_c428358af59fb9c0,Weston - Mc Ewen,18,39
sch_17e567ddbd038267,Sutherlin,17,128
sch_30840087920861b6,Siuslaw,16,179
sch_7688c8a41b1f3057,Warrenton,16,139
sch_1eace4f66b9c90c9,Union,16,100
sch_e33eb7024e24b74e,Junction City,16,81
sch_eb53bfbe589018ea,Clatskanie,16,72
sch_5bd18b1671d14caf,Lakeview,16,40
sch_07f6da174bd34e10,Enterprise,15,130
sch_21507df9d805fc95,Oakland,15,100
sch_802a7cd80611a192,Central Linn,15,67
sch_6908e90f6c82bbde,Hidden Valley High School,15,60
sch_6920ab3e607d4021,North Bend High School,14,217
