school_id,name,co2027,athletes_all
sch_a865dd0cf4f99fe2,North Allegheny 07,137,384
sch_b18d69364143dd87,Lower Merion 01,132,297
sch_5215a074dda5356f,Strath Haven 01,129,367
sch_d3afb8ee15de254b,Upper Darby 01,128,299
sch_9b2ed9f0881396f1,West Chester Henderson 01,120,299
sch_3d6e9ae5abe99197,North Penn 01,119,369
sch_d3b844a6fd111528,Seneca Valley 07,119,294
sch_e071a0c710481081,Spring Ford 01,116,335
sch_9e6b5120ff929dfb,Parkland 11,115,506
sch_d379c706364006ff,Pine-Richland 07,114,346
sch_5d21a90ac1cdfd8c,Owen J. Roberts 01,106,274
sch_02dfd1439c5e8de1,Downingtown West 01,104,271
sch_45ea5c4542873b1c,State College 06,102,280
sch_75318a22839d2e35,Downingtown East,100,330
sch_eca1551771824659,Perkiomen Valley 01,98,295
sch_6e3c99bfdbd732f4,Pennsbury 01,97,268
sch_f47fbfd6b73637fd,Stroudsburg 11,96,266
sch_2d75f96f46ff3fdc,Reading 03,96,191
sch_d3d2dfc1ae66a853,Conestoga 01,95,286
sch_09acdf43692dc342,Great Valley 01,91,231
sch_bb167e723850f7aa,Haverford Township 01,90,301
sch_ee14bd09ef2a4a19,McDowell 10,90,260
sch_ec43af2376d877eb,Upper Merion 01,89,216
sch_51accc12398f9bbf,Hempfield Area 07,88,321
sch_75dcf126be217372,Liberty 11,88,272
sch_a0290bd82a79dece,Methacton 01,88,258
sch_87620d72287694e5,Milton Hershey 03,88,237
sch_31b26f75684015b1,Mount Lebanon 07,87,236
sch_fe7e32897114fb83,Carlisle 03,85,213
sch_59087e58ac9b793e,Altoona Area 06,84,279
sch_300c75ee775c07ee,Wissahickon 01,83,196
sch_34ca72ee8bc2e2e5,Nazareth Area 11,82,209
sch_a12a6f1d17beee52,West Chester Rustin 01,81,186
sch_24787eaf93af854e,Marple Newtown,78,223
sch_c1ec4ad5c857a7ca,Phoenixville Area 01,78,204
sch_ab319aa300008faa,Easton Area 11,76,167
sch_9522f26632efd64d,Neshaminy 01,75,210
sch_69a24f6698bc6e09,Penncrest 01,75,203
sch_3702c6ce957f187b,Upper Dublin 01,75,190
sch_0aa6fa8ddea0f35e,Ridley 01,75,178
sch_cab44af6b8e61d27,Shikellamy 04,74,202
sch_afa5935af113d708,Wilkes-Barre Area 02,74,153
sch_f2cc07d3d4aa8cdb,Norwin 07,73,502
sch_1038cdbd5a89ae8e,Garnet Valley 01,73,333
sch_ee3494de059d8f5e,Souderton Area 01,73,248
sch_53ce059a6d98932e,Taylor Allderdice 08,73,209
sch_099c084eb898b3f8,Hatboro Horsham 01,73,175
sch_80b8033ea861c49e,Germantown Academy,71,271
sch_949f3764cc0eee53,Radnor 01,70,196
sch_486bef19e613d631,Council Rock North 01,70,193
sch_dd96cdc271ab9d9c,Palmyra 03,70,187
sch_088e8374c574880a,West Chester East 01,70,179
sch_868a7b42f5fdce58,East Stroudsburg South 11,70,172
sch_41a5fcd5e097ccd9,Williamsport Area 04,68,244
sch_c2d386bd4674984e,Butler 07,68,206
sch_2ae920dff3324373,Central Bucks South 01,68,169
sch_fdc02a7bdc0b66f6,Moon Area 07,67,198
sch_1b24214608523302,Coatesville 01,67,173
sch_8f32ad7c9c7ffe32,Pennridge 01,66,196
sch_713fcc8626789944,Unionville 01,65,197
sch_b0f38e5ae1ee2f53,William Allen,65,188
sch_c21feb257d5dfa7a,Manheim Township 03,65,162
sch_2ab0e2d2d916fd11,Avon Grove 01,64,207
sch_18dcbbbdf972d7dc,Cardinal O'Hara 12,64,160
sch_f8cce08c527f7ef1,Hempfield 03,64,158
sch_9eacd8d1830ee146,Fox Chapel Area 07,62,394
sch_de18dca10b0ef61c,Springfield (Delco) 01,62,223
sch_525db6ff89fb16b7,Governor Mifflin 03,62,168
sch_d932fff317596a9c,Red Land,62,154
sch_40fc4bc3f22fa68e,Episcopal Academy,61,279
sch_a314d790e9e6a3a9,Plymouth Whitemarsh 01,61,230
sch_49ae25cb743e33e5,Emmaus 11,61,214
sch_be1114b3344306a2,Council Rock South 01,61,171
sch_4cbdb0d17157a1e8,Upper Moreland 01,61,142
sch_074146a7bb05595b,Franklin Regional 07,60,237
sch_152a5ac2d121fce2,Canon-McMillan 07,60,205
sch_8058e18b2d85fdae,La Salle College 12,60,197
sch_7db085612d755933,Penn Manor 03,60,167
sch_085413f0da7286d2,Whitehall 11,60,151
sch_5c2c7bc56bd1ba07,Saint Joseph's Prep 12,59,223
sch_b2de1d01eee08af6,Shady Side Academy 07,59,177
sch_ce377c50d8750950,Central Columbia 04,59,164
sch_1dc4366c889c857e,North Hills,59,153
sch_6d1ed58db7759fa4,Louis E. Dieruff 11,59,121
sch_c6e96a762a7d0562,Hershey 03,58,188
sch_e71ad51c4faead08,Upper Perkiomen,58,175
sch_87ff9ba3481fc21c,The Hill School,58,144
sch_0e0d6b3414bafe48,Lower Dauphin 03,57,153
sch_9bccf8262a2a8ba2,MsgrBonner & AbpPrendergast 12,57,151
sch_a17bb65db0ce05b9,Cumberland Valley 03,57,147
sch_59c4ceeebc5911e5,Mars Area 07,56,474
sch_ef51673c9084b5bf,Northeast,56,173
sch_f6b6a5190e993f7f,Chambersburg 03,56,154
sch_aa38e56f4d0ebbeb,West Perry 03,56,133
sch_81dd07ce918f9d02,Exeter Township 03,55,301
sch_5b5134341f872695,Shamokin Area 04,55,211
sch_131e7725952e6197,Harriton 01,55,183
sch_daf4d5d123c05369,North East 10,54,259
sch_0fcb8ae2b987550d,Cedar Crest 03,54,171
sch_a0d08907df564558,Harry S Truman,54,152
sch_ab9ee68623118c22,George School,54,134
sch_ecd199c836a36cc1,South Western 03,54,129
sch_4305cbb729aa97b0,Hazleton Area 02,53,349
sch_aec9e710367722c2,Central Bucks East 01,53,187
sch_09cd096a52ce25d8,Montour 07,53,187
sch_7cce61ecdc939092,Northampton Area 11,53,182
sch_405ac77d28786f2c,Mount Saint Joseph Academy 01,53,139
sch_e41c826480b94811,Chichester,53,128
sch_19a65e51b6d28a23,Norristown 01,53,116
sch_b801dfe6d4eccdf6,Freedom 11,52,197
sch_06f56ecf7b3d11d2,Cathedral Prep 10,52,117
sch_d14b26905f692448,Erie 10,51,138
sch_5bfc839bab724a3b,Warwick 03,51,135
sch_acfb303afd94ad5f,General McLane 10,51,127
sch_ac44a8e0ef9bf012,Conwell-Egan 12,51,117
sch_de4688effc2a131e,Wyomissing Area 03,50,250
sch_ac65522c04c551f5,Abington,50,176
sch_3fb44d2c0fc1f162,Bensalem 01,50,171
sch_584de8b08d69c5e6,Lebanon,50,160
sch_efca5bf6585c75b3,Bishop McDevitt 03,50,139
sch_791dfcf5366be663,Pottsgrove 01,50,139
sch_7b63f89e904578a9,Bishop Shanahan 01,50,131
sch_1d56e5f8a16c2ebf,Avonworth/Northgate 07,50,128
sch_17aa775c096bf429,Dallastown 03,49,195
sch_9279320a35a3b46e,Muhlenberg 03,49,154
sch_d334f3d8b9b9e1f8,McKeesport Area 07,49,138
sch_160b0061fc66f49a,Central Dauphin 03,49,136
sch_92ed7c1e5cab7f6e,Uniontown Area,49,116
sch_ab3f6f649b5d6f2f,JP McCaskey 03,49,102
sch_e57065be211b27a8,Danville Area 04,48,285
sch_7817106f3dc50252,Wilson 03,48,166
sch_60cbfbfb01632038,Middletown Area,48,144
sch_37a22b5974812b7d,Engineering & Science 12,48,128
sch_7f598c22077a7722,Bedford 05,48,123
sch_e9d5c594722243ba,John Bartram 12,48,99
sch_4af8633b9be24c4b,Hickory 10,47,292
sch_d3bf8c936cc2e6ec,Penn Charter,47,207
sch_43f0fd357af6bf68,Bellwood Antis 06,47,166
sch_1832c15b22eb014a,Harbor Creek 10,47,156
sch_018878b6900d77b4,East Stroudsburg North,47,134
sch_e162894eb255bb32,Mercersburg Academy,47,121
sch_4232f76dba849f4c,Notre Dame Green Pond 11,47,109
sch_2f50ed81d2e83425,Wilson Area 11,46,226
sch_0099c82ae861d04a,Lewisburg Area 04,46,216
sch_097d8974833d1b15,Plum 07,46,175
sch_754f20bfdfe3ae4c,Boyertown,46,145
sch_b8f66516f6cc089d,Malvern Prep,46,138
sch_5ab072460903346e,Quaker Valley 07,46,131
sch_5ccfdc09d9fb967e,East Pennsboro Area 03,46,119
sch_a6843cd9c41fe067,Quakertown 01,46,115
sch_f42eaa21f6a1137e,Archbishop Carroll 12,46,110
sch_c012c796fc95526a,Milton Area 04,45,164
sch_f084f6844602b571,West Allegheny 07,45,158
sch_df9da49a1e1b20c8,Warren Area 10,45,149
sch_98ac02df62b956b6,DuBois Area 09,45,128
