school_id,name,co2027,athletes_all
sch_20a16ff8ca3a7ebd,La Salle Academy,117,336
sch_42054c8f02a984e7,Barrington High School,100,311
sch_63a95e125165f553,East Providence High School,83,199
sch_9b5a2f652d2bf11e,North Kingstown High School,80,292
sch_a2e21da62a20d205,East Greenwich High School,70,158
sch_5d83b9075b36f422,Johnston High School,64,98
sch_0274e420e937e128,Bishop Hendricken High School,62,204
sch_1642a4b1dfd55ce7,Cranston East High School,62,155
sch_9ddeeea837fba1ee,St. Raphael Academy,60,153
sch_6d51d52a6bf8f787,Classical High School,59,199
sch_3742d9ffe3f57b4b,Cranston West HS,58,157
sch_3d475ef18d871db5,Cumberland,54,203
sch_3718d90f76ffb2c6,Lincoln School,54,166
sch_1119b9eed9d81d1a,Pilgrim High School,52,115
sch_9af80b62ee98232b,Woonsocket High School,51,108
sch_fdfdff13ebd8e7af,Coventry High School,50,149
sch_da020e6e7f53a408,West Warwick High School,50,132
sch_963a342df173c1c5,North Smithfield High School,48,116
sch_706bfb016fee78dd,North Providence High School,45,94
sch_161680bc1bd0d1a1,Chariho Regional High School,44,120
sch_95d3f0d4de094226,Rogers,43,108
sch_7f9f3e0ac3fd460e,Portsmouth High School,42,164
sch_ae59d376bec8e863,Central High School,37,112
sch_fd380e02dbb9d5fb,Moses Brown School,36,92
sch_646e4f4f9789902d,Ponaganset High School,35,111
sch_adce695884f18b9d,Achievement First,35,74
sch_c441c2685636d432,Shea Senior High School,35,65
sch_ecd17b877930f774,Providence Country Day,33,102
sch_ec2db9123877cdfe,The Wheeler School,32,112
sch_a13ed35fb63cffa7,Smithfield High School,31,100
sch_7d7089aad0acea6b,Scituate High School,29,60
sch_888f2eb4cbc16e84,Mount Pleasant High School,28,77
sch_2b06b1410148be8e,South Kingstown High School,28,75
sch_1c6b0bdd1c08649d,Westerly High School,28,66
sch_c1968ee2fb5d895b,Mount Hope High School,26,75
sch_50b1001b8ca505e1,Tolman High School,25,71
sch_e3e9c35e99b7ea37,Excel Academy Charter,25,69
sch_77cfe7a670fa6461,Burrillville High School,24,77
sch_bd7e760f0b037030,The Prout School,22,91
sch_cc71f34dd20b9993,Narragansett High School,22,55
sch_de3e815856f17486,Portsmouth Abbey,21,71
sch_6d825db88cb2771f,Toll Gate High School,20,59
sch_ec2865035a632afe,Mount Saint Charles Academy,19,56
sch_f3a8204ee7af5633,Juanita Sanchez High School,18,51
sch_89ef308e3a38d7ae,Saint Andrew's School,18,45
sch_d19bdd181f356593,Hope High School,18,42
sch_70ec2b9d21b9c441,St. George's,17,46
sch_843d081a835fb3b5,Middletown High School,17,41
sch_35c45ef5425d6956,Central Falls Senior High School,17,38
sch_90632ff566dd6d67,Exeter-West Greenwich Regional High School,14,78
sch_cafb84bae18301ba,Tiverton,12,88
sch_4b5ac92c0c641531,Davies High School,10,52
sch_bd137ae47f98f260,Paul Cuffee,10,18
sch_b571c6a252e3ef55,Saint Patrick's,8,28
sch_f55ade0d62bf1ad3,St Mary Academy-Bay View High School,6,29
sch_6c41089c0cddd018,Pawtucket Co-op,5,14
sch_572e1455de130661,Blackstone Valley Prep-Cumb,4,13
sch_f486eae9ba5cb868,Rhode Island School for the Deaf,2,4
sch_129499d36d0f852e,Rocky Hill Country Day,1,13
sch_e79c43bcc4f53053,Barrington Christian Academy,1,5
sch_36b506dd3d9c3f41,Chesterton Academy of Our Lady of Hope,1,3
sch_e3d9c2ff47f7de99,Our Lady of Fatima,0,6
sch_383aa3100d89c8c3,Block Island High School,0,3
sch_4607fd82f2636b43,RIIL,0,1
sch_f81b95769771c419,Middlebridge,0,0
sch_5364129f23650cd1,Naval Academy Prep School,0,0
sch_102aae47943a991a,Our Lady of Providence Seminary,0,0
sch_de61369c648d0221,Pawtucket,0,0
sch_c920f1552d53a1ac,Times 2 Academy,0,0
sch_e818969c693b30da,Warwick,0,0
sch_2e7a86879d81e7f2,Warwick Veterans Memorial High School,0,0
