school_id,name,co2027,athletes_all
sch_735febe737e1d2ac,Byrnes,109,348
sch_42ca9d25adbe182e,Mauldin,97,289
sch_d405b81fe2554c1c,Clover,97,272
sch_fe00f521eb1b75f3,Northwestern,91,295
sch_41ab606c1e826b55,Dorman,88,392
sch_935c5d889d40a092,Ashley Ridge,87,234
sch_7780e430d14625f0,Ridge View,85,287
sch_994b292d68138cd4,Rock Hill,81,187
sch_aae0919967a68db6,Spring Valley,80,248
sch_4a5511e5dfa35d82,Blythewood,79,275
sch_1fb480a6387b7592,Westwood,79,193
sch_1f0a3252b8c85bf7,Spartanburg,76,353
sch_8bce25ddda0a21c0,Cane Bay,76,256
sch_30985dd8b5e0ea41,Wando,75,302
sch_f5912d9ba55ffa5c,Summerville,74,223
sch_261280c3d74b288b,Daniel,73,259
sch_6e7665d486812380,Eastside,73,242
sch_0459c99f6862fd6d,Greenville,71,217
sch_bdf9e9d0081f77b4,Travelers Rest,71,209
sch_4bd92e0ecf617a37,T.L. Hanna,70,338
sch_46f62c665e44f996,J.L. Mann,70,251
sch_810d1ffd2d910306,Fountain Inn High School,70,217
sch_5c4f1c41c9cad73d,Riverside,69,259
sch_271c4121e73216eb,Stratford,69,215
sch_ae934c92d0a3496a,River Bluff,68,213
sch_192c5d9bd69b1928,Sumter,67,169
sch_5fc70605a543c248,Fort Mill,66,294
sch_a42cb93b5028b6fe,Fort Dorchester,64,215
sch_0a3a1a59b14518a1,Lugoff Elgin,63,248
sch_389184e9225fbca9,Lexington HS,63,226
sch_ab371b85988e9c4c,Irmo,61,233
sch_c4db0b89b8207bdd,Emerald,60,233
sch_4eb18abddccea637,Indian Land,60,186
sch_ae258fdd13303b0e,Hillcrest,59,219
sch_97c3bf841064a509,West Ashley,59,168
sch_8e28392c5a09d54f,Marlboro County High School,58,159
sch_cdef2ad6357957f2,Chapman,57,352
sch_2bd93c2e8151a8c2,Chapin,56,285
sch_7a128a6f8132c7ba,Catawba Ridge HS,56,186
sch_8f8234b62e0c8dd7,Woodruff,55,234
sch_e316a4ae9c9dba49,Hanahan,55,175
sch_1e0e71930827075d,Camden,54,171
sch_d3a2d6ca4fb7f104,Richland Northeast,54,164
sch_41dacdd58286c2b1,Dreher,54,159
sch_0cb4f5c69d96dc7b,North Augusta,54,158
sch_8cc41aaba58e884d,Carolina Forest,53,214
sch_a4f4032e878831ce,Gray Collegiate,53,198
sch_9f7322cd3e68f67c,South Pointe,53,177
sch_691a141454c96ca3,Nation Ford,53,144
sch_64caebd4c079af4f,Lower Richland,53,107
sch_6f92e284fedc6527,Wren,52,273
sch_4a578ec86c1f486e,North Myrtle Beach,52,168
sch_cc0b9a0a29626874,James Island,52,160
sch_153bb48b472dac8f,Orangeburg-Wilkinson,52,129
sch_3cf91ed87d16e1b1,Woodland,51,150
sch_f477ad90644ec26c,Academic Magnet High School,50,185
sch_0976804a33ed99d4,Woodmont,50,182
sch_81f67b0df05cecf5,May River,50,144
sch_81851efef95482f2,York,50,119
sch_b0a7d92525b9f15f,Blue Ridge,49,193
sch_a53d5ee0c9c81292,White Knoll,48,227
sch_3448c8ee150e7e7e,Strom Thurmond,48,175
sch_9ddbf0183148baaa,AC Flora,48,170
sch_8c73f53fbf38ac04,Philip Simmons,47,237
sch_d420a98a6272ba17,Seneca,47,200
sch_a006ee03c1bf21af,Palmetto,47,157
sch_02f10e3a95cbdf5a,Lucy Beckham,47,153
sch_cd0ba9f91ede6bd2,Waccamaw,47,127
sch_4e1f2ed271f52b68,Westside,46,243
sch_80a84cb7dd3f9d1e,Socastee,46,200
sch_ab1d8e0ded71496f,Boiling Springs,45,185
sch_7986080f2ac00b27,Midland Valley,45,140
sch_332d8b2e16aa9f6f,Broome,45,139
sch_14ae9dffcbed5770,South Florence,45,111
sch_cb082cba300456ca,Porter Gaud,44,253
sch_e20ec4d0c4e2ca21,South Aiken,44,184
sch_8323d3a9b17d5207,Beaufort High School,44,123
sch_4fe36e513cdc5a47,Myrtle Beach,42,201
sch_ddc9424e2f8a1aaa,Conway,42,188
sch_0f4dca03e736af56,Mid-Carolina,42,158
sch_b28944d122b1e83c,Berkeley,42,136
sch_637dd685f2713b9e,Bishop England,42,105
sch_7ffef48bb60484d8,Battery Creek,42,76
sch_b83bd07f1196149f,Keenan,42,73
sch_bbff877f49830d7e,Hampton County High School,41,142
sch_23bfaf37593b8279,Johnsonville,41,134
sch_349e73724ee74dc1,Powdersville,40,244
sch_4783a90963d549e4,Greenwood,40,205
sch_806f90ebeffcc0fb,Stall,40,77
sch_5127d7798e743d86,Airport,38,248
sch_a68a82f40553059b,St. James,38,184
sch_f1fb4e42fdae0c9e,Crestwood,38,143
sch_2afee8df361b25c6,Lakewood,38,87
sch_7d700e209c6deeba,Greenville Hurricanes,37,175
sch_d6eabfe190403818,Wade Hampton,37,149
sch_fb13ba2ed004a290,Columbia,37,114
sch_92063c611239028b,Darlington,37,86
sch_3237207c7fff9c39,Aiken,36,145
sch_0b744f57d5ee704e,Manning,36,141
sch_def3c3814f35d647,Brookland Cayce,36,129
sch_bcc134ed15502ff6,Fairfield Central,36,109
