school_id,name,co2027,athletes_all
sch_3bd93cb63a2b0b91,Sioux Falls Lincoln High School,91,351
sch_35b2028794ac1b54,rapidcitystevens,79,297
sch_1b75dc65e8155179,Harrisburg High School,70,421
sch_9de01c78a687eb4d,Rapid City Central High School,67,281
sch_6f44108db7f78dac,Pierre T.F. Riggs,67,265
sch_0a2e8f359b89463c,aberdeencentral,66,437
sch_f3145a357a3b2b14,Unattached,66,173
sch_603e7e6dacd0bab8,brandonvalley,64,561
sch_738116020cc4d8ac,Sioux Falls Washington High School,62,250
sch_ff9462f565d91fec,SF Lincoln,60,96
sch_4a599a1dc07c08bd,Sioux Falls Jefferson High School,54,214
sch_c313aab782a283ee,Sioux Falls Roosevelt High School,53,193
sch_b693c92a2478f6d0,Yankton High School,52,369
sch_b095d17f9df96bac,Douglas High School,47,262
sch_f06e8e68bab17150,Tea Area High School,45,330
sch_9853b66af9e508ab,watertown,44,337
sch_a7e86226036798f1,SF Washington,43,64
sch_2aa593f2b62c8c9e,Norfolk,42,74
sch_a938fffe6abf7287,Iowa City City High,42,65
sch_4ce8e54f31e70c58,Omaha Duchesne Academy,41,68
sch_eb68c8d8d3b60617,Sioux Falls O'Gorman High School,38,368
sch_b70dcd86e91e081e,Huron High School,38,275
sch_36a194ab00a8c04c,Custer High School,37,136
sch_13cfad0879f81281,Mitchell High School,36,243
sch_54424f4e9f843ea0,Brookings High School,35,238
sch_6e873ecabfdeac8e,Madison High School,31,211
sch_24c43774ac7d2051,Spearfish High School,30,275
sch_6bb29e8dec9fe647,ogorman,30,58
sch_7a2149a78bcc6408,SF Jefferson,30,47
sch_8e339a78c75fd0ee,Sioux Falls Christian,29,314
sch_e7d3dba28fa6ef1a,LeMars,28,47
sch_55d5cd7f791845bc,Lennox High School,27,198
sch_d9fd73206363ff13,Ethan/Parkston,27,160
sch_c75d0ff9010b0335,Beresford High School,27,134
sch_5590f2af8209154d,Belle Fourche High School,26,188
sch_fd89a964fa88fb71,Milbank High School,26,179
sch_d580bab77991f3fd,Sturgis Brown High School,26,170
sch_0176bb127e2d52ad,Canton High School,26,162
sch_20475d6bd6c2b8ff,Wagner High School,25,138
sch_1205a12da073bfb4,Hopkins,25,48
sch_fba243f8157a829d,West Central High School,24,227
sch_771f21aed5dee32a,Dell Rapids High School,24,168
sch_22f7f91437386915,Grand Island,24,55
sch_f63944baf5007239,Eureka High School,23,90
sch_5b08bc0c06d3d58c,Unity Christian Orange City,23,64
sch_09fb032fc5fd7ce4,Flandreau Indian,23,54
sch_44457fab05f89357,RC Stevens,23,43
sch_31297ea3871d9117,Waukee Northwest,23,38
sch_36560342edf49d2d,Elk Point-Jefferson High School,22,126
sch_e3bb2f19a49956fc,Great Plains Lutheran High School,22,86
sch_1c306d94ba64ccef,Rock Bridge,22,51
sch_ee1969ff14a865a7,Sioux City North,22,43
sch_8f6016411f8d4269,Bennington,22,30
sch_cff56eb98afce1c4,Todd County High School,21,118
sch_7a424b20d6169861,Rapid City Christian,21,115
sch_0eb52193f99d103e,Deuel High School,21,102
sch_6694e48f34b00d31,Monona Grove,21,49
sch_4363dfa8cac6a038,Dakota Valley High School,20,265
sch_ecdcd67a46e7eca6,Flandreau High School,20,121
sch_6305275a29bf68ae,St. Mary's,20,89
sch_4fea365b8a6b1768,Century,20,49
sch_efd0367ced325c43,Woodbury,20,44
sch_b6a713c359489f8f,South Sioux City,20,41
sch_3dc18395e23f9487,SF Roosevelt,20,36
sch_62d0d0337b0bce86,Sioux Valley High School,19,164
sch_a9c124695f9ae7f3,Lead-Deadwood,19,127
sch_be9432205b7c2f07,De Smet,19,125
sch_82f4eed40fd10d94,Moc-Floyd Valley,19,48
sch_3721a21e2327bed6,Bondurant-Farrar,19,26
sch_e3ced689635bd253,Vermillion High School,18,187
sch_53c76999c8bb40af,Freeman Academy,18,114
sch_4e08cc115479a72d,Centerville High School,18,105
sch_a4fa1f90cd84c302,Wolsey-Wessington,18,93
sch_892c4b993c5f6a28,Lyman High School,18,90
sch_f39df595d24cbc40,Creighton Preparatory School,18,53
sch_29a17f7858e82a42,North Platte,18,46
sch_8536d9eee462e78a,Pella,18,39
sch_f292a3040aeea11a,Spirit Lake,18,35
sch_ca3e5c4d4b378bf5,Lawton-Bronson,18,34
sch_dc69ba323faa692e,Mount Michael Benedictine,18,30
sch_f64209e42eb634cb,Tri-Valley High School,17,150
sch_f29f811a68a32d67,Deubrook Area High School,17,84
sch_58e8d65fd20f5473,White River High School,17,75
sch_6db7b759979fe082,Little Wound School,17,56
sch_15d2b2b969569969,Sheyenne,17,33
sch_09187ad80db7304f,Sioux Center,17,24
sch_19e3f17babce23e6,Hill City High School,16,111
sch_4e75b621c12678d9,Cheyenne-Eagle Butte,16,101
sch_51b46afec08fd7b4,Hitchcock-Tulare High School,16,99
sch_3c7c69866732c1d9,Hot Springs High School,16,96
sch_8d792dd06af7b8e4,North Central High School,16,64
sch_85ca63640170b0bf,Freeman High School,16,61
sch_32f0460a4041ed4b,Luverne,16,37
sch_b7a1f7295dd208ef,Prior Lake,16,33
sch_9a74efc1a89e1ed7,Ballard,16,18
sch_43d5d6e150a2a3a2,Chamberlain High School,15,133
sch_9bb48a774873dcae,Timber Lake High School,15,104
sch_093edb82f43f761c,Garretson High School,15,77
sch_ad909f1f0efc72d2,Castlewood,15,69
sch_b1948b30e207ab84,St. Mary Catholic School,15,33
sch_fe1e0ccf0780dbc8,Grand Forks Central,15,31
sch_7636caad9717db4e,Council Bluffs Abraham Lincoln,15,25
sch_4020a8299668039b,Central Lyon,15,22
sch_033b6f6ab604ca7f,Platte-Geddes High School,14,123
sch_a3f93279b4a446f3,Bon Homme High School,14,103
sch_cd1782618e111ff8,Scotland High School,14,99
sch_915bd4e2f74cf045,Hanson High School,14,84
sch_9e06bc4189d039f6,Lemmon High School,14,78
sch_80c9bb71f5ae5836,Viborg High School,14,72
sch_3b0d0722feebb613,Rosholt,14,67
sch_7a80e69b5b11372a,SF Christian,14,48
sch_805e6bc7ccbef8bb,Bismarck,14,41
sch_0eea42b91096c394,Elkhorn South,14,35
sch_ee4f841b5afb458c,Sioux City West,14,32
sch_39181be7022bb587,Minot,14,19
sch_2d8b54f56804ef59,Ponca,14,16
sch_66d0923715bbce7e,Parker High School,13,102
sch_0c2b200db860b076,Herreid/Selby Area,13,76
sch_21f55725a307f85e,Gayville-Volin High School,13,54
sch_9a05fcd52af88524,Sioux City East,13,37
sch_f8d64045989a1254,Redwood Valley,13,29
sch_85e060baab3771bd,Legacy,13,26
sch_4ee5898db5dbdc28,Lincoln North Star,13,26
sch_c65f19233bbe2f09,Marshall,13,24
sch_5c3d973c28e48874,Clear Lake,13,23
sch_c4b07181974751c5,Westview,13,19
sch_d7bf0259f68fb64f,Lincoln Standing Bear,13,16
sch_009eae2fa088316f,Clark/Willow Lake High School,12,106
sch_b23c2b34f04e4db7,Webster Area,12,106
sch_9a50ddd109f08077,Sioux Falls Lutheran,12,92
sch_208a124e34141006,Kimball/White Lake,12,90
sch_3000cd782e4dee57,Mt. Vernon/Plankinton High School,12,77
