school_id,name,co2027,athletes_all
sch_d8517616d255ecae,Houston High School,80,199
sch_d1078bc5ea9dc83f,Blackman High School,73,201
sch_f36255701e041e2c,Kirkwood High School,73,187
sch_8caa61d93b8aa317,Morristown-West High School,71,176
sch_aedbae86fb06c881,Bartlett High School,70,188
sch_8ad39672f0eb8c1d,Cookeville High School,64,201
sch_3c56a856b21deb3b,Brentwood Academy,64,181
sch_5dfc484014c677d0,Beech Senior High School,63,143
sch_236656b970126678,Science Hill High School,62,181
sch_aab397a67b9adacf,Nolensville High School,62,172
sch_d91ce656153a4d02,Dobyns Bennett High School,62,159
sch_e87965f559974bf1,Station Camp High School,61,154
sch_0519e37e713c5373,Franklin High School,59,174
sch_a6a5cce1d546c0f6,Siegel High School,59,145
sch_154a8cb23cc051e0,Ravenwood High School,58,177
sch_fc7b67a2f711119d,Maryville High School,58,156
sch_4e2b36bcaf8ca206,Fred J. Page High School,57,126
sch_ea2bdaa9d48b7571,Rossview High School,56,151
sch_212ae32a274e9f89,Lebanon High School,56,138
sch_b03dae44286e5fa6,Riverdale High School,55,195
sch_4d772ad4f0b82d7f,Baylor School,55,156
sch_4d24cb5424bfbaa5,Munford High School,54,154
sch_ea85677d887a29d0,Wilson Central High School,53,142
sch_9e67d372adb78fa0,Gallatin High School,53,129
sch_7eeef23cc293f346,Tennessee High School,52,150
sch_845ee937e3606457,John Overton High School,52,95
sch_d278ecc5e3667cdd,Brentwood High School,50,187
sch_e112f0be9254e2e6,David Crockett High School,50,135
sch_0c5b4fbc2b4aeb50,Independence High School,49,150
sch_20e41e09709100c3,White Station High School,49,143
sch_2ff8f7c829ae35bc,Brighton High School,49,120
sch_d05b0f5581ab98b1,Jefferson County High School,48,153
sch_20ec819953682597,Dickson Co. High School,48,129
sch_540bfc62265474c0,Hardin Valley Academy,48,127
sch_8e50c5d75dccbae8,Craigmont High School,48,105
sch_5d63ea6bb2c14d4f,Cordova High School,48,83
sch_dbed1809241a3e4f,Green Hill High School,47,171
sch_fb9df974b5a80227,Montgomery Bell Academy,47,118
sch_578ad1a2f14aba9d,William Blount High School,47,114
sch_2d9282aa61c62ecc,Germantown High School,47,98
sch_5645c899c35e1af5,James Lawson High School,47,86
sch_9b1a6bb57ac66df8,Mt. Juliet High School,46,153
sch_10dd202b8a17298a,Northwest High School,46,129
sch_4e57fa395835ee8c,Morristown-East High School,46,111
sch_8e44e190ce2d2c1e,Hendersonville High School,46,86
sch_c7d26a28b30109ce,LaVergne High School,46,85
sch_0f6b5c372d02aad9,West High School,44,129
sch_d3b63a5cfddf093f,Central Magnet High School,44,111
sch_d1bf1f8abdcbb6e0,Franklin Co. High School,44,105
sch_9e628ac79ead9e7b,Red Bank High School,44,104
sch_8aa94f8f45534625,Farragut High School,43,191
sch_722cd82f6bcb41f6,Liberty Creek High School,43,169
sch_5296cc3ad9b1a37b,Stewarts Creek High School,43,129
sch_0d1f258dd394af90,West Ridge High School,43,113
sch_43c154af954c436f,Warren Co. High School,42,103
sch_d6212c90b66a2514,Lipscomb Academy,41,158
sch_23db91a11c89c50c,Oakland High School,41,156
sch_d59d00291e166228,Martin Luther King High School,41,128
sch_588076d3702a306e,University School of Nashville,40,113
sch_e34655edc61104fa,Rockvale High School,40,108
sch_5dd203b180c63a10,Trezevant High School,40,108
sch_fe4c9ef42e236323,Memphis Central High School,40,78
sch_b600198b37b9f184,Brainerd High School,40,54
sch_5c6b06e0b055bdb4,Clarksville High School,39,136
sch_e9eb3622057b1788,Ooltewah High School,39,100
sch_9ca798301bbb8162,Hillsboro High School,39,99
sch_21ee17a0ea403ace,KIPP Antioch Global High School,39,90
sch_b3e739d2360c845e,Raleigh Egypt High School,38,128
sch_ff95d043ca615f91,Boyd Buchanan High School,38,79
sch_aa8d43d0c0b73362,Collierville High School,37,176
sch_1b566458f47ec108,Arlington High School,37,128
sch_1b46eccc1d87b480,Father Ryan High School,37,124
sch_8e805877afb95886,Christian Brothers High School,37,119
sch_06829d61f0d56949,Chattanooga Christian School,37,117
sch_f63ea66b2283d215,Gatlinburg-Pittman High School,37,93
sch_41444ee7a949a12e,Jackson Central-Merry High School,37,85
sch_a87f834c63159bea,Lakeway Christian Academy,36,150
sch_14018678e8977de1,Oak Ridge High School,36,135
