school_id,name,co2027,athletes_all
sch_3fd58f3a395376a7,Houston Cyp. Ridge,143,250
sch_f802d5bd30d9ce27,San Antonio Reagan,136,445
sch_dc7ef7cd1a3b1956,Houston Cyp. Falls,135,381
sch_f58e3668bbec4d58,San Antonio Johnson,130,304
sch_1eb2d6d1eb0d46e8,Liberty Hill High School,130,299
sch_dc9c62ab6330fc9c,Bridgeland,129,358
sch_3438347f7318ec86,Houston Cyp. Ranch,127,350
sch_6150ae661cd0c0db,Coppell,124,400
sch_fe277cc93625968d,Lake Belton,120,356
sch_fa37332e08227349,Arlington Lamar,120,280
sch_eb426ca3ddec76d8,Belton,118,329
sch_c25d4156db71c965,Buda Johnson,117,247
sch_61166bb2d7e9db8d,Hutto High School,114,404
sch_a7d64422476ed57b,Dallas Highland Park,114,334
sch_c57987358025e60b,Sheldon King,112,329
sch_ebddaa85bc6ab36c,Hendrickson,111,278
sch_8ded261c696460cf,Cedar Park Vista Ridge,111,264
sch_9046c426f12207d0,Carroll High School,109,284
sch_24f6eb82db339c6e,Euless Trinity,109,265
sch_c3c3fa6376e0d702,Cy-Fair,108,341
sch_30a01ec61e290aa0,Georgetown East View,108,317
sch_c386f29f71979fe2,North Crowley,108,262
sch_e7baa7ae93a9dcb3,Frisco Wakeland,107,275
sch_3dd33d9d9689f0ea,Austin Bowie,106,372
sch_db5a12616ab9c966,Cibolo Steele,105,330
sch_6356f0c0c7d3d9b9,Lewisville Hebron,105,260
sch_d4d52b8bd46d40c2,Houston Jersey Village,105,241
sch_d456dc0d4b37225d,Argyle,104,351
sch_b02229231bb74aa9,Round Rock,104,349
sch_12e9d1ce32c8b3ad,Humble Kingwood,104,343
sch_d0d75f9fd7aa9dda,Northside Sotomayor,104,220
sch_72dcf744ea5ee36f,Georgetown High,103,306
sch_7c5b1e85b6fa0ac1,The Colony,102,238
sch_7856660291465158,Prosper,102,229
sch_41e0629b811ab0af,Killeen Shoemaker,101,245
sch_40569572431a66eb,Hurst Bell,100,308
sch_7b3de66c6b47fb7d,North Forney,100,220
sch_b08ce6716e30af89,Leander Glenn,99,250
sch_9d5caa2d76d7ea36,McKinney North,97,292
sch_ba8f67d88d43bb2f,Conroe Caney Creek,97,263
sch_505db2d1921e312b,Alamo Heights,97,255
sch_303dac72dd7b97c4,Houston Cyp. Creek,96,463
sch_8064bc3fbf66baf8,Wolfforth Frenship,96,351
sch_b2e4098de65d7701,Humble Kingwood Park,96,348
sch_e962bdc09e0079fb,Cypress Woods High School,96,311
sch_82c025ba62ae6feb,Austin Westlake,96,283
sch_23f104db9a1d22fb,Cypress Park,96,240
sch_a13182350eadf5b4,Northwest Nelson,95,322
sch_037548da1f3da6e4,Flower Mound,95,298
sch_3912697bcda96cfe,Pearland Dawson,95,279
sch_11c7e199d30d37b5,Killeen High School,95,201
sch_2e2be1b3fa673a1a,Irving,94,641
sch_5e38345df1dbe789,Austin Lake Travis,94,304
sch_19d173d89d377693,College Station,94,270
sch_c03cd531f44fd644,Leander Rouse,94,231
sch_500e48d59a1f0c9a,Irving MacArthur,94,230
sch_280486cd883a7ab6,Carrollton Smith,94,224
sch_48896952b672b8ee,Dickinson,94,210
sch_0ea58ad612600bd4,New Caney,94,201
sch_4bb3d4211ca21435,Katy Seven Lakes,93,316
sch_e13a690bd881df47,Wylie High School,93,286
sch_095afffd4413e665,Tomball,92,317
sch_70b658295d9dcc70,Austin Vandegrift,92,302
sch_c4195860ee344b17,Killeen Harker Heights,92,266
sch_ab4a0fabfbe3f207,Klein Collins,92,259
sch_24cd2c9e0e4fb7a6,Killeen Ellison,92,238
sch_be5d25cf4582f724,The Woodlands,91,328
sch_43a5be6f9f315d59,College Station A&M Cons,91,304
sch_fdbbd7d9b2697116,Cedar Park,91,247
sch_ef929c38bedbac47,Midlothian,91,239
sch_128b3096a09c4a62,Mansfield Lake Ridge,91,223
sch_2006aa645e51f87f,San Antonio Southwest,90,226
sch_42ffeb8f9a15d23f,Waller,90,189
sch_2e0c807428b744df,Katy,89,323
sch_78f06d4529544841,Alief Elsik,89,241
sch_d4dc78f3047aafaf,Houston Cyp. Lakes,89,241
sch_dfc1e7c9800d0ad2,Langham Creek High School,89,240
sch_245fc91565dd092e,Conroe Oak Ridge,89,229
sch_a855fcdfdcfbf0d4,Aledo,89,226
sch_af8d15bd90cab942,Mansfield,88,205
sch_ea9e31bafeb0a8d2,Whitehouse,87,333
sch_e4152afb711a5988,CC Flour Bluff,87,318
sch_1c0655a381937ccf,Westwood,87,304
sch_b6374d3a78d2895e,El Paso Bel Air,87,193
sch_6fce007a97b9d07e,Lubbock-Cooper Liberty High School,87,178
sch_4367e9eb1359fe49,Tyler Legacy,86,279
sch_6c12b9577fb16485,Conroe Woodlands College Park,86,276
sch_eb5ddc7a3ce49c28,Killeen Chaparral,86,256
sch_f8b3f416e8ef790b,Comal Canyon,86,240
sch_67fc0272b531e8ec,Frisco Lebanon Trail,86,182
sch_e38d7d0bb94d2a6e,Buda Hays,85,252
sch_35a859ae6313c3fa,Lake Worth,84,261
sch_b3eda016452cfb67,Boerne,84,226
sch_ce952647e7433524,Waxahachie,84,220
sch_e8c895c87f14ab95,Conroe Grand Oaks,83,270
sch_35afee282913e50e,Schertz Clemens,83,255
sch_b5e0d337c657291d,Round Rock Cedar Ridge,83,223
sch_0cc8027d3c79ed39,Denton Braswell,83,217
sch_641dce4a4e3af220,Northwest Eaton,83,187
sch_61517daddcba32a7,Frisco Lone Star,83,183
sch_24e20c5c5ffc26e7,Keller,82,456
sch_63dd3005c86ad8ab,Houston Cyp. Springs,82,247
sch_d11539a544cb55f6,Leander,82,208
sch_9c86c7c578a9b1e3,White Settlement Brewer,82,204
sch_0f1dd4ab3634344b,Arlington Houston,82,166
sch_1e0880c0c1e79d6a,El Paso Eastwood,81,250
sch_df7d94398775d597,Northwest,81,245
sch_7d74279d213dd15d,Rock Hill,81,244
sch_64ce6a2d6815d823,Pearland High School,81,213
sch_184cdac3a13f8182,Frisco,81,206
sch_babe9bb18a611f8e,Wylie East,80,274
sch_18316bc22197d907,Dripping Springs High School,80,264
sch_45cff53ee0dedc10,Boerne Champion,80,254
sch_d00b5740d7117b3d,San Antonio Churchill,80,254
sch_491e3344f6c84423,Waco Midway,80,254
sch_cf45a162e47c91a9,Tomball Memorial,80,234
sch_321f0877e76463e7,Forney,79,283
sch_da9c1bb7c773420c,Mission Sharyland,79,224
sch_cb80f61dbd52ae06,Ft Worth South Hills,79,186
sch_b04ac63b9926e8f3,Sunnyvale,78,300
sch_cf03ddf1b69be68a,Katy Cinco Ranch,78,256
sch_6d345954d5d0cce4,Lucas Lovejoy,78,223
sch_784fd3fb2a5b69ee,San Antonio Warren,78,197
sch_565d9ee801d60309,Saginaw,78,165
sch_c005e10740cc3524,Mont Belvieu Barbers Hill,77,304
sch_c9cca20182190c0c,Katy Jordan,77,267
sch_d96d09905048d91d,Del Rio,77,261
sch_c83610dc5299ba6c,Houston Nimitz,77,217
sch_4ad158929e8a66d4,Keller Central,77,204
sch_a4014a0c2b19963e,West Columbia,77,188
sch_0a85a7361037b269,Cornerstone Christian Schools,76,355
sch_84e84c71b71e112a,Colleyville Heritage,76,273
sch_fedc3a28fc6b4ded,Medina Valley,76,268
sch_7f926a273b0b32c3,N Richland Hills Richland,76,258
sch_746fe53af16f1b17,Harlingen South,76,229
sch_e8282f5e6c25ae4a,Houston Benjamin Davis,76,222
sch_d938d330337cb358,Dallas Wilson,76,206
sch_30070b3e72ac7243,El Paso Eastlake,76,202
sch_7d8169d8bded934f,Amarillo Tascosa,76,195
sch_9b66a950d2b9aff0,Little Elm,76,195
sch_ce5de608fa6572c5,Royse City,75,272
sch_2413fba458adc92e,Ferris,75,256
sch_cd7e035a57ae377e,Donna,75,220
sch_667625638b737ecf,Allen,75,217
sch_dc11074b8b4778cf,Haltom City Haltom,75,217
sch_8f27adce3b0f9448,LC Clear Creek,75,210
sch_444323830cfb1b48,Round Rock Stony Point,75,198
sch_db01507dc3a09f0a,Northside Brennan,75,196
sch_81d7f109e283d696,West Fork,75,196
sch_fc50712ca09e2e49,Abilene Cooper,75,167
sch_274d893fb749c6ca,Montgomery,74,204
sch_d999d674a07c042b,Huntsville,74,197
sch_f4f3a79e340a6d45,New Braunfels High School,74,193
sch_73e8745ad6de927c,Waco University,74,187
sch_a6051a0010fcf646,San Antonio Marshall,74,165
sch_1a774b68ceb80dae,Channelview,74,159
sch_299ccb8773399720,Corpus Christi Carroll,73,514
sch_9a5f9fa8f61f49ea,Katy Tompkins,73,239
