school_id,name,co2027,athletes_all
sch_ae09187f8355dcea,Ridgeline,149,427
sch_8da37e7cec21e7a1,Box Elder,105,291
sch_f81eace99369d237,Bingham,102,254
sch_8695832e41053283,Crimson Cliffs,92,262
sch_8d9d4244ce65f3d6,Davis,91,475
sch_3fe742066de0dd0e,Lone Peak,87,233
sch_60030e7e0a67317f,Cedar Valley,86,207
sch_c20c3c2db9339bc4,Riverton,84,270
sch_8d1edab437403d9b,Corner Canyon,77,192
sch_1b3d3c6ef81cec0c,Sky View,74,198
sch_459bd44b3e50fd43,Springville,72,238
sch_8ce346a4ce00708e,Herriman,70,215
sch_2970c6d8e6222fd1,Mountain Ridge,70,189
sch_40d3cc1c4f434862,Green Canyon,68,217
sch_1c6e1d4a2cbe8c87,Layton,67,215
sch_0ecfb752ac3f4eed,Taylorsville,66,176
sch_567473e5dce4e5ec,Salem Hills,66,165
sch_2091d7ccb17dca53,Skyridge,65,188
sch_8137fe87105d5ed4,Mountain Crest,65,144
sch_bcae413ca42e22ea,Brighton,64,168
sch_5a49d819e257431d,Stansbury,64,155
sch_fbcc7a6c9240855b,Farmington,64,128
sch_280afbf192d475b4,Syracuse,62,238
sch_592904ffee0463fa,Copper Hills,62,189
sch_46f8c93ae2c3c4b4,Wasatch,61,176
sch_13f09e03b10990a3,American Fork,60,142
sch_79dc5a472f5bcb3f,Desert Hills,58,197
sch_4c9b27450b4b75c9,Westlake,58,154
sch_162c42a9cc531b45,Richfield,57,297
sch_aa055fc5e1940b49,Snow Canyon,57,154
sch_52408bcfd4901e65,Tooele,57,141
sch_63578aa8ca5c984f,Hunter,57,109
sch_40d17b08714d2d3d,Morgan,55,249
sch_5687e8b38d1d78bc,Orem,55,143
sch_eeb9ef4d253c5b2b,Mountain View,54,211
sch_787933a9bc435c37,West Jordan,54,133
sch_b3d4dfd00a508914,Clearfield,54,111
sch_dfbf01f0f324760a,Cedar,53,269
sch_cf0b5fc66b0d2ad6,Maple Mountain,53,145
sch_b5c00bbbea024f69,Uintah,52,173
sch_982ac9ec16e2b2f2,Viewmont,52,128
sch_bc08fed33afd3163,Payson,50,166
sch_4a015680de005e48,Ogden,50,121
sch_01bf1f4fea774503,Park City,48,158
sch_3294e36a25f59040,Weber,48,99
sch_977931e67793a648,Lehi,47,130
sch_9820516f50745184,San Juan,47,109
