school_id,name,co2027,athletes_all
sch_75c7ce0ecd0a7c8d,Westfield,165,424
sch_9a8a8f21a54ad36f,Yorktown,161,604
sch_1d54b50532e90075,Lake Braddock,147,439
sch_29609091a0094849,George C. Marshall,139,306
sch_c746e10361389fae,Washington-Liberty High School,134,465
sch_a7887310c2a9c540,West Springfield,132,304
sch_93d7047ee73324e4,Oakton,131,373
sch_1ffb705c9c296cdb,Alexandria City High School,130,431
sch_7e4b5268cbf38dd5,Bishop O'Connell,123,354
sch_515a041c375ab06d,James W. Robinson,119,339
sch_d081baa5242e2ed7,Centreville,119,283
sch_40ffb296b86dbbe0,Stone Bridge,104,369
sch_4d88b2691f5c37c3,Colgan High School,103,260
sch_8425710724a3fb49,Landstown High School,103,230
sch_9a31fd31a8ef407d,Albemarle,101,246
sch_b7ba8fcf4ad3f7f4,Glen Allen High School,101,200
sch_8b75619d8b5ac421,C.G. Woodson,100,259
sch_73bfabd9626bea76,Chantilly,98,238
sch_ba35ec6c97589b11,Atlee,97,309
sch_3c7fad17baf2c98a,St. Paul VI Catholic High School,96,269
sch_49cefbf822625ccd,Hayfield Secondary School,95,343
sch_111cdb0af57f414b,New Kent,94,349
sch_fc9a4519bb807024,Blacksburg High School,94,290
sch_4bcda9ac31a4df21,Patriot High School,94,248
sch_a9a40dd319f5c7b7,Jamestown,91,300
sch_aa419bd22c584767,Dominion,90,239
sch_1a47523af1b21e2c,Freedom (South Riding),86,262
sch_f063b5f4e69d9fa3,West Potomac,86,248
sch_cf78bf2ffca229c6,North Stafford,86,193
sch_6af42536f5bba9b3,Langley,85,288
sch_401bbcb15c3572a0,Mount Vernon,85,242
sch_e0e66c321615c20d,Deep Run,84,247
sch_9c74af4bc4fbcfa5,James Madison,83,278
sch_536689f0860c7264,Kellam,83,234
sch_c1d43b0cca7e2e7b,Lightridge High School,81,268
sch_d1c09b8ecbb15821,Douglas Freeman,81,209
sch_6c50b0a1a6bf5584,Bishop Ireton,80,206
sch_4c31c2269f3b7b45,Tabb,79,241
sch_5ef57204cd0cfb0e,J.R. Tucker High School,79,212
sch_d0db34060dd9b5dc,Annandale,78,257
sch_6cbd04f634429daa,Woodgrove,77,237
sch_dffc721033284e51,Gainesville High School,77,202
sch_28ed921cd8d1c437,Western Albemarle,76,264
sch_251672226f4daae7,South Lakes,75,192
sch_34fd075588cb1d54,James River (Midlothian),75,175
sch_32a6de9adc5146c5,Osbourn Park,74,189
sch_64f58c4b802a2b22,Hickory High School,74,187
sch_ed209c3744a752f8,Gar-Field,74,186
sch_47e94dcfd0300a63,Fauquier,73,222
sch_8526af84c1b9c5d5,Cosby,73,174
sch_7dfecabb31275ffa,Herndon,72,230
sch_b81b8df1ffdc0680,Falls Church,72,225
sch_44683ac380fc5c9a,McLean,71,231
sch_97fa46977dc3fa78,Gloucester High School,71,213
sch_73ae6847cd62ce9d,Hanover,71,205
sch_d022681b62aedb9d,Justice,71,184
sch_0b9d5d3dedf15393,Potomac Falls,71,184
sch_d435fa945ab17fe3,Bassett,70,166
sch_8a56c390a50ebaa4,Varina,69,173
sch_fd33251ae9a4a38e,South County High School,68,255
sch_bc5abf707d6c9082,Cave Spring High School,68,247
sch_b8a3ac281777538f,Midlothian High School,68,179
sch_abe5d3146759ee2c,Salem (Virginia Beach),68,168
sch_541fd840a8d1613a,Independence High School,67,224
sch_c60db0fe8f724cdc,Colonial Forge,67,212
sch_8ede8d176850268d,Thomas Edison,66,197
sch_91bb543b1ad54120,Franklin County,66,177
sch_b4d5a1b1bb168023,Ocean Lakes,66,171
sch_865b8e0a0777766b,Sherando,66,166
sch_8b28558d6de8ac23,Loudoun Valley,65,169
sch_c6ea280b0d07c870,Fairfax,64,201
sch_6481418a93fd7b0c,E.C. Glass,64,164
sch_ac9002c79d30f3dc,Bruton,64,161
sch_0e72a87dbbd02878,Loudoun County,64,150
sch_baa072e8a723d3c7,Jefferson Forest,63,218
sch_857f4cee2f9811f3,Wakefield High School,63,199
sch_87c3d049b21494f6,Western Branch High School,63,172
sch_83db20286ae0e41f,Tallwood,63,170
sch_ebc611cc19c32e39,Forest Park,63,169
sch_d5da8943cdc15a5d,Patrick Henry (Roanoke),62,166
sch_c7c1f5600f6c1345,Charlottesville,61,201
sch_ae0e984969cae56d,Brooke Point,61,156
sch_85de65fcfff1a900,Churchland,60,160
sch_bdb66f44e0b4ccb4,Nansemond River,60,152
sch_0df2edc9d0f072e1,Norview,60,119
sch_96b8ee0a21bd9f22,John R. Lewis High School,60,115
sch_9df3ae9c524a5645,Collegiate,59,272
sch_be8583fea26aeb9f,Potomac Senior High School,59,159
sch_5b7867fe657cd59f,Brookville High School,59,158
sch_9271b484c6ca1989,Stafford High School,59,134
sch_cdf1152dde36ea19,Mechanicsville High School,59,119
sch_3f77a07ad39792aa,Monacan High School,58,179
sch_4a51803c9cc1ec23,Bayside High School,58,127
sch_e784af5987bf6e8f,Louisa County High School,57,227
sch_eecbf9bc819cf90a,William Byrd High School,57,220
sch_8f03085e4bcd0987,Rustburg High School,57,161
sch_72395fe403614313,Hermitage,57,139
sch_e087994141461dd3,Lake Taylor,57,123
sch_0e562b0b689d358b,Mountain View,56,220
sch_45e476ed7b68a946,Kempsville High School,56,191
sch_4e9d27e284f1dcd1,Eastern View High School,56,156
sch_d140b1a4038da5f1,Manchester High School,56,135
sch_2daad600558b850a,Magna Vista,56,113
sch_bd8b8ce04649221f,Norfolk Academy,55,242
sch_ed4f3dd1c9f55775,Liberty Christian Academy,55,222
sch_c34063fccc5c0288,Osbourn,55,140
sch_a2f48bc20ce49279,Thomas Jefferson S&T,54,190
sch_30ff8c0cd78eea3f,Maury High School,54,163
sch_39477dbcb14c9373,Maggie Walker,53,178
sch_471573d61f889ec0,Northside High School,53,114
sch_d6ef7dbcc054fa08,Grafton High School,52,224
sch_40bf06a9eae37247,Kettle Run,52,198
sch_4bee4c7bd889b73c,Bethel,52,154
sch_dd4c048b5501e9db,Thomas Dale,52,140
sch_eab24b9488c5f2cf,Woodbridge,52,138
sch_f97f902993856fa3,John Champe High School,52,136
sch_ce217b372d7e8359,Warwick,52,130
sch_0a128da40330d32c,Meridian,51,195
sch_4029d2d1c5cad4aa,First Colonial,51,167
sch_d7551e861e297374,Pulaski County,51,164
sch_b8d11b2926550d18,Cox,51,152
sch_f35b984cdbe5f4ba,Warhill,50,168
sch_b670578a65a3cfc1,Heritage (Lynchburg),50,119
sch_6665b764e7bead5a,John Handley,49,158
sch_113b6739f9de66ed,Stuarts Draft,49,112
sch_28e38dccb5b151e1,Hidden Valley High School,48,179
sch_670d9b8818153cda,Riverbend High School,48,161
sch_bf0d422836c8a5eb,Granby,48,157
sch_4c48c77f0627d7a3,Culpeper County,48,126
sch_ceb4347b79f67bb3,George Washington (Danville),48,119
sch_ec1332c994d8b168,William Fleming,48,109
sch_95854cc42e743a6a,Brentsville District,47,163
sch_e9cb60f379f4e107,Heritage (Leesburg),47,155
sch_ccc3e870d7693efc,Monticello,47,153
sch_b9ea4587aedabdf7,Broad Run HS,47,147
sch_754a8335ff6d189d,Manor,47,134
sch_0c9439a84abe09a8,King George,47,103
sch_9c4f5746209e7cb1,Clarke County,47,96
sch_78a36ac69d430bb4,Riverside High School,46,137
sch_b5b623c00d3c1e19,Kings Fork,46,132
sch_8e85c35043a26e58,Patrick Henry (Ashland),46,120
sch_dec36555cec69d8b,Smithfield,45,303
sch_727d74ba7b253502,York,45,132
sch_ff7c2cbdfda4224a,Saint John Paul the Great Catholic High School,45,115
sch_9e164fe6ddcd0240,Lafayette,44,152
sch_242bf5ccc5851305,Episcopal,44,112
sch_cacc19bc262757bc,Catholic High School,43,141
sch_99999ab7e15b244b,Clover Hill,43,137
sch_c5e8bf70567ff7d9,Park View (Sterling),43,108
sch_4c30e919d6e85e10,Indian River High School,43,89
sch_ffe9eb1a9a31850a,Brunswick High,43,82
sch_79d777d018ec5599,Green Run,42,114
sch_739451be30b00ddc,L.C. Bird,41,183
sch_7fd6e13dc2392bcd,Rock Ridge High School,41,154
sch_d8ba1db8aa5a632d,Battlefield,41,152
sch_c2e57e98b401c656,Buckingham County,41,136
sch_0d4f6fdfaadb0025,Harrisonburg,41,134
sch_1c6a924e0140e78e,Orange County,41,106
sch_5b4be5f89ceb9635,Phoebus,41,103
sch_21509c51191bd04f,The Potomac School,40,216
sch_323b7e28a5ff61c3,Prince George High School,40,150
sch_459f6ae7efc5f8e4,Salem (Roanoke),40,116
sch_7a94ad27c5336da6,C.D. Hylton,40,97
sch_746bbcdc03390885,Nelson County,40,93
sch_218de0826ba48b52,Arcadia,40,89
sch_ae18cf3e70d09f19,Staunton High School,40,86
sch_87685c38b1d56914,Blue Ridge School,40,78
sch_296b6324c3316041,Mecklenburg County High School,39,112
sch_16fe5019d33d8125,Highland Springs,39,108
sch_93e8964598323895,James Monroe,39,107
sch_a86c85a10eeae2da,Trinity Episcopal School,39,101
sch_f07aa905ca0ef866,Southern Gap High School,38,262
sch_73a437dd506b19cd,St. Stephen's and St. Agnes School,38,182
sch_774081d60e4b3985,Fluvanna County,38,163
sch_943271227d2ad5da,Briar Woods,38,149
sch_e62f673d9c520835,Amherst County,38,143
sch_4edd34887b80ac5b,Matoaca High School,38,143
sch_7a10c1adac9e0975,Tuscarora High School (VA),38,135
sch_f029ef39d46ec581,Grassfield,38,122
sch_4b48bef6052a74f9,Princess Anne High School,38,121
sch_d3d9d345138384c4,Lord Botetourt,38,95
sch_a2b91458a5bf0ff9,Abingdon High School,37,254
sch_dbbb5c7f45932ba7,Union High School,37,208
sch_f99bbc39c2780e42,Wise Central High School,37,165
sch_a8792d556cd0fd03,Southampton,37,147
sch_5b60fb9132e22072,James Wood High School,37,140
sch_59db56bdc99f8f00,St. Christopher's,37,116
sch_a762c7d4484de802,Liberty (Bealeton) High School,37,109
sch_166a361501963325,Manassas Park,37,106
sch_8bd02688c77b6243,I.C. Norcom,37,81
sch_c94a915da415b2c2,Saint Catherine's,36,137
sch_0d26de11807b36ed,Woodberry Forest,36,129
sch_a41101c7897d3a49,Mills Godwin,36,120
sch_a81cedfcee4415a9,Oscar Smith High School,36,101
sch_846aefc204f3cf6c,Unity Reed,36,90
sch_6c08541a3383f16f,Freedom (Woodbridge),36,66
sch_db77e4266f06ce2d,Alleghany,35,132
sch_74232be237ffa603,Caroline High School,35,116
