school_id,name,co2027,athletes_all
sch_e21b602bfc58e066,St. Johnsbury Academy,47,146
sch_11c4ebfce2023e3f,Essex High School,45,239
sch_e8e5c4bd8ed74d66,Burr and Burton Academy,42,117
sch_e71f3af1de968655,Mt. Mansfield High School,39,108
sch_606cb4cbaeafc00e,Bellows Free Academy-St Albans,37,221
sch_2591b924aa345e79,Champlain Valley Union High School,35,152
sch_e27cf28f575f2acd,Colchester High School,30,176
sch_396164672e1ccfc1,Mount Anthony Union High School,30,120
sch_58e3c45155d3b6ec,Thetford Academy,28,111
sch_b12e92a615cfeedc,North Country Union,25,158
sch_91da2b70206f1c37,Burlington High School,23,93
sch_b519a4d981f89ba9,U-32 High School (Uhsd #32),22,105
sch_cc7fedac23ac5cfc,Rutland High School,22,89
sch_d879061f19d0fc47,South Burlington,20,112
sch_f003cee3d9c6cf6d,Lyndon Institute,20,48
sch_570a42d724db4eb2,Fair Haven High School,19,75
sch_746e1fe41748fda7,Rice Memorial High School,18,55
sch_693080bec21aa695,Brattleboro Union High School,17,115
sch_32acce10db7ef2bf,Paine mountain,16,38
sch_e4a63ae76604fd6a,Montpelier High School,15,205
sch_272c96ce1a7be67a,Woodstock Union High School,15,71
sch_a9421bd7f6b68eff,Arlington Memorial,15,51
sch_f63ac9271c717b7d,Springfield High School,15,49
sch_9fe322c5770cdca3,Harwood Union High school,14,129
sch_e7613ee676ad107a,Bellows Free Academy-Fairfax,14,88
sch_fcb30c9db2ed0ae9,Mount Abraham Union High School,14,75
sch_b204d109ec994710,Middlebury Union High School,13,137
sch_62e208bb44ba4f38,Richford Junior/Senior High School,13,69
sch_8702e3499849d453,Oxbow High School,12,39
sch_3fbf90123c620c28,Stowe Middle/High School,11,88
sch_031bfe532193039c,Milton Senior High School,11,86
sch_12e707ad689ef107,Hartford High School,11,81
sch_fe015a971df5d3b6,Peoples Academy,11,70
sch_7b1e9f8a40df56d8,Spaulding High School,11,38
sch_326b53eced57e8c0,Northfield High School,11,35
sch_b74ca5704301cb10,Missisquoi Valley Union High School,10,61
sch_7a033de576e606b1,Lake Region Uhsd #24,10,42
sch_f9c148e105cdf2c9,Randolph Union High School,10,37
sch_3ceba7bf8430189e,White River Valley HS,9,55
sch_661bee43ea745bdb,Windsor High School,8,49
sch_a8734ef9071820bc,Long Trail School,7,61
sch_96cc188a11a11033,Vergennes Union High School,7,59
sch_71b7771ee570ddbd,Lamoille High School,7,58
sch_8bed48aa541c4d10,Vermont Academy,7,20
sch_f68a0f6f12558daf,Bellows Falls High School,6,71
sch_eeb65a8687677265,Craftsbury Schools,6,56
sch_5f408c262b9041df,Sharon Academy,6,40
sch_4daa8f7e05f026f1,Winooski High School,5,78
sch_a99469b2707c7adb,Green Mountain Union High School,5,70
sch_d4f96e4eae78f478,Mill River Union High School,5,47
sch_ce368859a8e39e3d,Danville High School,4,59
sch_221cb947a0fa868d,Otter Valley Union High School,4,16
sch_a3dab4b257c881f1,Enosburg Falls High School,3,37
sch_1a6167e79582bdc8,Leland & Gray Union High School,3,21
sch_b196d86084832075,Websterville Baptist School,3,16
sch_896729cc83645607,Hazen Union High School,3,15
sch_c84bbdfd7a1e3345,Mount St. Joseph Academy,3,11
sch_057bdb3886687f67,St Michael VT,2,47
sch_9c2b57ad5f6d82c4,Twin Valley High School,2,22
sch_197e7f0dc02c73e3,Burke Mountain Academy,2,9
sch_9386489c65a6e4d2,Stratton Mountain School,2,8
sch_c9143d0ae035725f,Blue Mountain USD #21,2,5
sch_5f7ba390e1dd8213,North Branch School,1,36
sch_d106c6d89c39fc61,The Academy at Charlemont,1,16
sch_72db3d316be4a419,The Compass School,1,15
sch_67839dd78ff02b33,Twinfield Union High School,1,10
sch_20a1e90f592fc1cd,Green Mount Valley School,1,7
sch_bbd4e8bdaa01d08e,River Bend Career & Tech Ct,1,4
sch_ac6ddc08cad64589,The Putney School,1,2
sch_ec137630002280cc,Barre City,0,57
sch_b2828429817e8a85,Black River Union High School,0,53
sch_e7048367e60c94e2,Fairfield Center School,0,35
sch_a202a20d655b5074,Edmunds Central,0,24
sch_8ff1b42dc264ae09,Lake Champlain Waldorf,0,17
sch_afb0101451775d00,Newport High School,0,13
sch_2baf9b16f52ca0ef,Vermont Commons School,0,8
sch_87507e53b3c2d607,Cabot School,0,1
sch_b42257351a3b4d08,Hartsbrook,0,1
sch_6eba0487728a2347,Independent,0,1
sch_43b65bbc7ce5ebd8,Rivendell Academy,0,1
sch_109ebca83a4356e8,Bellcate School,0,0
sch_e1b4c1489542ad88,Bennington School Inc,0,0
sch_589ff5e4a57000bf,Brattleboro High School,0,0
sch_60f7db9426ca51ac,Burlington Technical Center,0,0
sch_3275144e9319b66a,Canaan Schools,0,0
sch_0eb2d8de254ccb13,Central Vermont Academy,0,0
