school_id,name,co2027,athletes_all
sch_2572a7fcbc5cf649,Issaquah High School,97,466
sch_197a96234c80b2c5,Camas High School,96,335
sch_11a92419b743b2d1,Richland High School,92,326
sch_7b906f766864b10d,Lincoln High School,91,296
sch_bdbf1dc02b3c724e,Newport (Bellevue),90,310
sch_91ca33f1b4bf844b,Curtis Senior High School,89,222
sch_f3641a326cd4691b,Eastlake,88,330
sch_c16b935650530440,Lake Stevens High School,86,649
sch_5cd57756bc120369,Mill Creek (Jackson High School),83,284
sch_4422b261b42080a3,East Valley High School,82,445
sch_8450a7a0c02115cd,Bishop Blanchet High School,81,268
sch_2fd72b2e22d3f2a1,Olympia High School,80,278
sch_4baffa2220b9d475,Cheney Senior High School,78,343
sch_1983d2b254ff7045,Kamiak High School,76,283
sch_8856b78a434cbff0,Tahoma Senior High School,76,260
sch_4a048b8196d53e35,South Kitsap High School,76,246
sch_8aa38c9b6ba5610b,Shorewood High School,76,209
sch_c6d5d9629002ed94,Cascade High School,75,187
sch_df95361195541de3,Seattle Preparatory School,74,245
sch_690936272cb355dc,Oak Harbor High School,74,193
sch_07b52342a8abbce7,Eastmont Senior High School,73,377
sch_ad8db0f8100c843f,Redmond Senior High School,73,289
sch_89785db786d0924a,Puyallup Senior High School,73,239
sch_77b091501b5bfb03,Shorecrest High School,72,230
sch_524e7ceec026ee03,Skyline High School,71,271
sch_4ab68d7437f6a562,Moses Lake Senior High School,71,227
sch_a662a9b3bb0753ef,Emerald Ridge High School,71,193
sch_fae4ceb49690cb1e,Chiawana,70,218
sch_b3396dd56b480e55,Ellensburg High School,70,189
sch_a5bf914f511c4592,Kamiakin High School,68,321
sch_6050c561e28acb4a,Arlington High School,68,204
sch_0201fc371bd0a696,Hazen High School,68,201
sch_95e9f22ba9f71e38,Lakeside High School,67,264
sch_68cb7fc119fd1d48,Hanford High School,66,206
sch_0a9551b055a938a2,Mercer Island High School,65,201
sch_ecda7271848984ed,Edmonds Woodway High School,65,188
sch_a9362da2f1aebb39,Graham-Kapowsin,64,185
sch_d03e282a6eef50a6,Mount Si High School,63,226
sch_57bf7f82da7f64e4,Southridge High School,63,178
sch_3545dc4d97bf0067,Mountlake Terrace High School,63,176
sch_ae3ee8bbf166822c,Stadium High School,63,169
sch_fb9329d2b2f95d31,John F Kennedy Memorial High School,62,164
sch_08c2d70c5b004fed,Shadle Park High School,61,135
sch_bb9230552b167320,Lewis And Clark High School,60,262
sch_f64ffca0786a80d3,Ferris High School,60,209
sch_cf193ab000c40eaf,Lakes High School,60,200
sch_da729621aaf70755,Sedro Woolley High School,59,187
sch_bb8510555a9b6ab6,Liberty-Issaquah,59,180
sch_59a7202322151610,North Kitsap High School,59,157
sch_5a8cf23db6ba0136,Kentridge,58,187
sch_70550acacc37f7ae,Selah High School,57,313
sch_327e9a7b051b5430,Seattle (Ballard High School),57,217
sch_66689d9b4ba07b02,Peninsula High School,57,172
sch_f21e1bc8022100ce,Sehome High School,57,158
sch_c5d91a661ffbe0f0,A.C. Davis High School,57,137
sch_1f0070e1ea1cd5be,Ingraham High School,57,124
sch_54179b1e9e42b0a0,Auburn High School,57,108
sch_387417bd3989eeb3,Ridgefield High School,56,198
sch_5c7bc988bdc26c5b,North Creek,56,180
