school_id,name,co2027,athletes_all
sch_8b6c95861cf6bca1,Stevens Point,170,797
sch_6e671a3dffec4315,Neenah,130,592
sch_e6b1d581cbdceda9,Madison Memorial,129,535
sch_b71d01270c77f3d9,Wisconsin Lutheran,127,608
sch_e95d70d4679faa1a,Oak Creek,126,497
sch_9cbf1a0d5ab73d99,Middleton,118,568
sch_3e61b67f72dbd0c5,West De Pere,115,561
sch_d153783a8e3b5958,Madison West,111,591
sch_8a6c45604899c01c,Holmen,108,462
sch_1dd4a9d2ff7e7afd,Indian Trail Academy,105,498
sch_f39fe9b35192301b,Verona Area,103,526
sch_4308ab8ac27aa21a,Waunakee,100,576
sch_3c5a7b4735eac6ba,D. C. Everest,100,520
sch_837d6bebd6d22a69,Wauwatosa East,100,475
sch_81230e6030374494,Bay Port,100,444
sch_4c34f41b58a0c5a8,Arrowhead,98,534
sch_7b0e14aaa6cd7be8,Notre Dame Academy,98,401
sch_c4b42655558bd5c4,Appleton North,96,290
sch_62c91bf5c2067e8c,Oshkosh West,95,396
sch_936bf5da10df2a15,Brookfield Central,95,252
sch_10028dbb92baf412,Mukwonago,94,511
sch_91781cd014ef659c,Green Bay Preble,94,441
sch_87c7f4b779a898fb,Sun Prairie East,94,403
sch_196b81a01d66c273,DeForest,93,477
sch_48510ec563ce642f,De Pere,92,561
sch_95c686b1a30871e4,Madison La Follette,92,359
sch_747e16e767d85e73,Kimberly,91,449
sch_1dd1143b82d697a2,Waukesha South,91,294
sch_b3567fd91a361e1d,Eau Claire Memorial,89,230
sch_cd6b1bb83db5ae9c,Kettle Moraine,87,436
sch_fdbdc60bb684fdbf,Hudson,86,575
sch_15c87efb457688c7,Ashwaubenon,86,277
sch_fa50ad975b6200b0,Oregon,85,475
sch_a98863ff2bce1c25,Westosha Central,84,319
sch_47467b5ddc3b9e44,Milwaukee King,84,293
sch_2cac7081ef88cfee,Nicolet,83,324
sch_af2ae2b1805bd831,Germantown,82,517
sch_40ca9dd51ac833cb,Chippewa Falls,82,428
sch_f04900ae871a0bec,Marshfield,81,432
sch_24a5afd596b8d637,Baraboo,81,393
sch_eb1501562715199c,Franklin,81,390
sch_5f1c24089fe17241,Onalaska,81,383
sch_643d5f8324925a55,Milwaukee Lutheran,81,259
sch_aa908c170ac0b0e6,Muskego,79,543
sch_c193556af997548e,Brookfield East,79,247
sch_da3f7e66c0a7f3c2,Oconomowoc,78,554
sch_1abad60fb5628d42,Madison East,78,363
sch_3c539f85431c6304,Sun Prairie West,78,301
sch_fc99e12f26b50c4b,West Allis Central,77,208
sch_8210b262b17b672e,Notre Dame,77,203
sch_80810fd1661962ab,Appleton East,77,155
sch_fd3998b33025c53b,New Richmond,76,477
sch_32ee33a188b20667,Sussex Hamilton,76,425
sch_33512c7379dbbad0,Wausau West,76,403
sch_9ada49126565136b,Menomonee Falls,76,355
sch_4bc3d371d2b690a0,Catholic Memorial,75,420
sch_2220c1b3c5dbaeac,Hortonville,75,394
sch_0297f4a2b64881f7,Badger,73,374
sch_398893584a02bcae,Reedsburg Area,73,314
sch_941e6fa02c956f4d,Edgewood,73,219
sch_6e56f34f46f69ee9,Homestead,72,413
sch_cf8a43380f4c1311,Kaukauna,71,356
sch_5f45ed4c4b01c9a2,Fond du Lac,71,339
sch_aede27490f9a3c34,Janesville Parker,71,278
sch_7b55e84dc75cfc07,Cudahy/St. Francis,71,151
sch_c565b27f6d62ab3d,Luxemburg-Casco,70,386
sch_d820f8ea39bf761d,Shoreland Lutheran,70,340
sch_a8a3e7be2350effc,Wauwatosa West,69,390
sch_ac3ef9449ed44cd0,Pius XI Catholic,68,258
sch_259fba4108f92cab,Port Washington,67,427
sch_0de73a2fb41e1bd5,Fox Valley Lutheran,67,378
sch_2d71ee26a1267c58,Pewaukee,67,319
sch_9e8378d4f51cbecd,Manitowoc Lutheran,67,312
sch_d0611d40d0b3ccfa,West Allis Hale,67,281
sch_1ac1667b1f57ea93,Appleton North,67,248
sch_189b80cf26191448,Superior,66,389
sch_b60811068c62e20d,Milton,66,361
sch_5d358d6f51f61994,Cumberland,66,315
sch_c75f6202559b48f0,Janesville Craig,66,289
sch_1d70b609c613b1a9,Kenosha Tremper,66,256
sch_6405935b98d044ed,Northwestern,65,383
sch_73327b3dfd7860d7,Kettle Moraine Lutheran,65,315
sch_f2dbe44abf680855,La Crosse Central,65,304
sch_8e865187e9f2a7e6,Unattached,65,141
sch_06efbb573b3195c0,Whitnall,64,325
sch_0abf1bcebfc26b0a,Sauk Prairie,63,410
sch_a79eafe8ad22ed79,West Bend West,63,304
sch_403eaa19e4b40773,Burlington,63,249
sch_8374cf6b6b310e44,Mount Horeb,62,543
