school_id,name,co2027,athletes_all
sch_5f00f57a4f1b2bdd,Huntington,60,187
sch_4d2a2bfa6be123ba,Spring Valley,56,88
sch_50f75e0b6494829c,Spring Mills,51,166
sch_cfae037ed0ea1ccc,Hurricane,50,206
sch_aad718ba01b5e2ee,Woodrow Wilson,46,131
sch_c38643ccfd3af10a,Morgantown,45,341
sch_dc54aee1c36dde26,Musselman,43,155
sch_341482f1daab97af,Wheeling Park,41,223
sch_59ee9a99abe6e14a,Frankfort,40,170
sch_4a9a44254a6df21e,Martinsburg,40,152
sch_f40f86251c408752,Parkersburg,38,128
sch_053a8f194c40a169,Winfield,37,142
sch_221f584b4ece72c7,Jefferson (WV),37,129
sch_6fd2529265927898,Cabell Midland,36,140
sch_677abaf79a0ff1a5,Buckhannon-Upshur,35,188
sch_11d7e022478d4d2d,East Fairmont,35,105
sch_3fde766e8fad5565,Hedgesville Senior,34,137
sch_01767ed272172d9b,Brooke,33,118
sch_f001d072559cda9e,Capital,33,86
sch_b2a6c9d0bcbc3ce0,Greenbrier East,33,67
sch_d0de1a9df4725bb2,Oak Hill,31,141
sch_d4c424c4b10d2f23,Linsly,31,92
sch_e9a35f7f0bd8b9d7,Shady Spring High School,30,228
sch_b7f8be994b5f5674,Ripley,30,89
sch_f923162246a3c05a,Washington (WV),30,87
sch_aab6c00acaaf5359,John Marshall,30,86
sch_bcf3c9ca7f78fc3a,Keyser,28,152
sch_6a44e263be18810b,Weir,28,62
sch_18527b7717079a3a,Lincoln,27,138
sch_a0519f99c8ee168b,Bridgeport Senior,27,124
sch_54c22aa607a76440,University High,27,116
sch_65cd22742ad5d6e3,Hampshire,27,71
sch_d3e348b3a23ee8cf,Parkersburg South,26,98
sch_93ac4968f81fea27,George Washington,24,173
sch_d985c3ab504cdf55,Tyler Consolidated,24,139
sch_ab613ab7fe3fa38a,Ritchie County,23,133
sch_2523758b1f6c1114,Grafton,23,59
sch_6998b1cd1f05e521,Faith Christian Academy,22,92
sch_0cc95951b2df0913,Lewis County,22,46
sch_c9de62a8e3ca5dba,Roane County,21,41
sch_9eab02382c9d3320,Buffalo,20,71
sch_eed9f71173b1f67e,Bluefield,20,58
sch_4791c2f7f184df7a,Oak Glen,20,51
sch_48ccae57c7b38dd0,Williamstown,19,151
sch_10ffb649bf4cabaf,Trinity Christian (WV),19,138
sch_d4634ae6960e2bc7,St. Albans,19,89
sch_d261d0393d2ba8c0,Liberty (Harrison),19,24
sch_27b1cf801d1eb207,Sissonville,18,130
sch_b4dbdb9baab5245b,Herbert Hoover,18,75
sch_5324a1c43d277788,Poca,18,61
sch_9d2295d1ff57246d,Riverside,18,43
sch_edf474382f4bd4ca,Doddridge County,17,137
sch_5bb91d23a4acaa23,South Harrison,17,108
sch_5a164a4d4ef57b43,Pikeview,17,94
sch_2823cfc778c394ee,Wheeling Central Catholic,17,88
sch_d92310fbe4dee08a,Elkins,17,86
sch_f41cf1d5d4faf115,Wahama,17,81
sch_087e63ef30f8554c,Princeton Senior,17,78
sch_38fa85bfc7494b35,Clay-Battelle,17,74
sch_d8cf1022aa9c1168,North Marion,17,53
sch_f8b5f431344a394c,Ignite Athletics,16,113
sch_cbcce3f66cd50587,Preston,16,73
sch_04d915fc255f4c52,Point Pleasant,16,64
sch_4f4c781ae6baaa03,Magnolia,16,54
sch_93452ac5bb7a2299,St. Marys,16,52
sch_54cdf94587c26c95,Berkeley Springs,16,41
sch_04b9fc8ebe86bce0,Fairmont Senior,15,72
sch_b30c8c73ff41624a,Wayne,15,53
sch_cc13945b3faa8f3d,South Charleston,14,109
sch_1c4f790461276359,Nitro,14,41
sch_64c02622b9b43b8c,Pocahontas County,14,37
sch_5bfc9bfea4ee589a,Moorefield,13,101
sch_369a482dfed56310,Westside,13,77
sch_0ad24e5920ad3e25,Logan,13,61
sch_060ea3d3c40a5eb2,Clay County,12,67
sch_feabc812b7bdcc24,Tucker County,12,58
sch_2b491b6d4e34dc03,Pendleton County,12,41
sch_38cc0286236bcb48,Nicholas County,12,39
sch_66af2ee7c8acf1d6,Scott,12,31
sch_c7395cff4e18d182,Braxton County,11,70
sch_ce3c74e99785b083,Ravenswood,11,53
sch_a7b62b0ccf90206d,James Monroe,11,41
sch_0f4ce7a3e79e0eff,Philip Barbour,11,31
sch_d032ab31619d7bdc,Tolsia,11,16
sch_122afbf04a9d6195,Madonna,11,15
sch_7892e5dad80a6a77,Independence Senior,10,85
sch_422f7edf86f4a035,Robert C. Byrd,10,66
sch_51393c4f7c41ef0e,Webster County,10,57
sch_0a6c86ff1ee80d04,Greenbrier West,10,53
sch_5f2e73b6af02117d,East Hardy,10,48
sch_49cba0c033210b8c,Lincoln County,10,44
sch_d14cf39ca7f5d39a,Wyoming East,10,27
sch_ccbaa9e5452ed27d,Richwood,9,77
sch_e57b91441479ad10,Covenant,9,71
sch_06f1013f92faa74f,Timber Ridge,9,16
sch_780becd2dcc3447c,Charleston Catholic,8,88
sch_f54bbda8b9378dde,Summit Christian Academy,8,56
sch_eaa3a37af94ee41f,Cameron,8,42
sch_90f0b4d6b73d9a5d,Chapmanville,8,31
sch_4e34527cdc611d38,Midland Trail,7,21
sch_903aa2b80ecb3307,Petersburg,6,68
sch_89938a6b5ff07d31,Tygarts Valley,6,49
sch_9ff3c27014858e5d,Gilmer County,6,45
sch_5d7cbb89f3f8d5a3,Calhoun County,6,42
sch_0d2344e8bd6701cf,Wood County Christian,6,36
sch_466b7c157e4a44ce,Notre Dame,6,35
sch_a39539ae84164286,Sherman,6,33
sch_a0294166d83120f2,Liberty (Raleigh),6,30
sch_592dfdba57b3b703,Paw Paw,6,28
sch_1c266fcb9a75ea4c,Tri-State Homeschool Athletics HS,5,64
sch_4b5ffc9c5cdf1fed,Heritage Christian School,5,51
sch_3d27f57209f40017,Wirt County,4,49
sch_78d51509d6d0dd1b,Teays Valley Christian,4,34
sch_f7b68aaf716786c4,Mount View,4,22
sch_40de3c5e62c69596,St. Joseph Central Catholic,4,19
sch_4704ac1e3a2e012d,Summers County,3,24
sch_0cb394e18455f15c,Hannan,3,19
sch_3af844be4789b668,River View,3,18
sch_bfd30bc27c8e5e4d,Valley (Wetzel),3,11
sch_be4cefb6bb45e5b1,Grace Christian School,2,24
sch_68178938857e9a01,Paden City,2,18
sch_af1096dfb1990307,Union (Grant),2,11
sch_5c64e20655f9b3da,Parkersburg  Christian,2,5
sch_a4ba006c4930e022,Patriot Racers,2,5
sch_0b981c742a500477,Guyan Valley,1,40
sch_103a5d8d651d6e31,Meadow Bridge,1,40
sch_252b2d3064ec6d3f,Pipestem Christian Academy,1,17
sch_6c901090a78f22c9,Victory Baptist Academy,1,14
sch_b3306be540f5c6a7,Cross Lanes Christian School,1,11
sch_24730fa4b2292389,Mercer Christian Academy,1,9
sch_20c6fb312b5180d0,Hundred,1,2
sch_451a0ac88ff2c2bb,Morgantown High,1,1
sch_2fefbc968aef5d3c,Yellowjacket Distance Program,1,1
sch_9f4bacfe4ce4848f,Oak Hill Middle School,0,64
sch_94ffc8f93d3ce869,Fayetteville,0,52
sch_034518ba0c950808,Chapmanville Middle School,0,38
sch_c3c906e6a450c620,Hamlin,0,17
sch_c65b5487a6a6d9c8,Calvary Baptist Academy,0,13
sch_9175fb9d92b0486d,Peterstown Elementary School,0,13
sch_29ca23f61a84e595,Parkersburg Catholic,0,12
sch_f021de20d3d04220,Mount Hope,0,11
sch_5c9bc7e04c604cf0,Harts,0,7
sch_499d616541c694c4,Maranatha Christian Academy,0,7
sch_58286112e7659ae2,Duval,0,5
sch_249fc76953d18550,Mountain View Christian,0,3
sch_8f17656184e3154b,Valley (Fayette),0,2
sch_d815dbbd21416215,Tug Valley,0,1
sch_5c7e344bcf974178,Athens,0,0
