school_id,name,co2027,athletes_all
sch_d4b3fc81e7f892cd,Natrona County High School,103,293
sch_8fb623705e4a17f0,Kelly Walsh High School,103,254
sch_38b2e940baa9374c,Laramie High School,86,242
sch_642799296ab4a05a,Thunder Basin High School,84,256
sch_f9e7d6aa5c888f87,Cheyenne East High School,83,233
sch_c76e0118bb416791,Evanston High School,83,189
sch_e7891b5d81dd87f5,Jackson Hole  High School,80,236
sch_e685ce318ea7565f,Star Valley High School,80,216
sch_c46e99f5b9f3990d,Sheridan High School,77,206
sch_4e87830905f003f7,Riverton High School,72,187
sch_cc93ba2a36f96a82,Campbell County High School,69,219
sch_1f40ade4a0c2f24a,Cody High School,68,150
sch_eaf60bcb6a5d8f46,Rock Springs High School,62,175
sch_0a4e21057e41728a,Cheyenne Central High School,57,177
sch_030bf63dafbbacb6,Buffalo High School,52,124
sch_8557c0e2a5aeaf7a,Douglas  High School,51,134
sch_2c7306c1e3b7ee66,Green River  High School,48,132
sch_a7a55e277fbb0a26,Rawlins High School,38,100
sch_ab09fe1643c2dd68,Lander Valley High School,37,145
sch_1bd8d4657eb95f44,Powell High School,37,127
sch_58b6ff6441465189,Glenrock  High School,37,107
sch_64b76fa45767c6b4,Worland High School,34,101
sch_235cf3700ea57772,Burlington High School,29,71
sch_258e5b901986ce1f,Torrington High School,27,106
sch_85f3112e39ab06f3,Cheyenne South High School,27,89
sch_fce27059a53d644c,Newcastle  High School,27,82
sch_3f88cf16bbfb13a8,Lovell High School,27,81
sch_f323809bbbca09e1,Wheatland High School,26,90
sch_6625ebf2d3653ad4,Wyoming Indian High School,26,70
sch_fd2072cfabd0ca53,Pine Bluffs  High School,25,114
sch_0127b8dc05e37e9c,Mountain View High School,25,82
sch_6e9942aec9b99d2e,Thermopolis High School,24,106
sch_8db1e5db90541437,Big Piney High School,24,50
sch_99172b7e0fd19650,Kemmerer  High School,23,57
sch_06e6c6b862961dda,Burns/Pine Bluffs,23,45
sch_70e935f494247285,Big Horn High School,22,72
sch_9b69e2d1ed3998d3,Lyman  High School,22,55
sch_a0b31b66f5986976,Pinedale  High School,21,62
sch_58f8ddb562b551f9,Wind River High School,19,78
sch_181737365edbe091,Greybull  High School,19,40
sch_39e1e415565c43cc,Burns High School,18,61
sch_e205c2e088f92f7f,Shoshoni High School,17,34
sch_1b8d6634a5830dee,Lingle Ft. Laramie  High School,16,45
sch_ff7ea4b8908007c7,Wright High School,15,59
sch_986966a00d22395a,Niobrara County,15,50
sch_ce55981764289720,Tongue River High School,14,73
sch_8d03ea9393c85869,Sundance High School,14,59
sch_85b1b1063328f69c,Saratoga High School,13,59
sch_cce5c5cdc7231a41,Dubois  High School,12,25
sch_53d795d4cbb93512,Moorcroft High School,11,62
sch_62c575ade06e68e2,Rocky Mountain High School,11,46
sch_9db2eb2cf9374961,Upton High School,11,26
sch_b7c03d3725a324ca,HEM High School,10,28
sch_f34ada039a7bdcbc,Southeast High School,9,32
sch_3576ea8e02055e5d,Riverside High School,9,26
sch_64cc829c6a51412b,Little Snake River  High School,9,25
sch_d9b75ea39275c570,Rock River High School,9,25
sch_b967690c00b76ee9,Midwest High School,9,20
sch_c8670504797b6115,Cokeville  High School,7,20
sch_396bd8390d7a1b44,Ten Sleep High School,7,19
sch_bdf2187bdf64943e,Meeteetse High School,7,17
sch_9719d1726ef9d21c,Kaycee  High School,6,11
sch_9338d2eaf851584e,Hulett  High School,5,46
sch_5f34983f54fd8a65,Arapaho Charter High School,5,38
sch_95dbbff7b4a64062,St. Stephens High School,5,35
sch_a4ae667b40bad5cb,Fort Washakie High School,5,29
sch_0dbc9afd360555f3,Guernsey-Sunrise  High School,5,17
sch_13ea0679e72f2c55,Farson-Eden  High School,4,20
sch_757a5a3e8c801812,Encampment  High School,4,11
sch_f388ebc90123caea,Natrona County High School Unified,3,3
sch_bb0159c08c06bfcf,Prairie View Community School,2,12
sch_9fce19a4262b6314,Western Heritage Luthern Academy,2,12
sch_6238243dfe67730c,Kelly Walsh High School Unified,1,6
sch_34e5700e49b0151b,Glendo  High School,1,2
sch_77acdb7f2f95b6ac,Arapaho,0,26
sch_0fdf36e3fb498032,Arvada-Clearmont High School,0,15
sch_cd02cb39c3e848e2,Casper Christian School,0,14
sch_f9ec777d77aa40c2,Albin High School (Closed),0,0
sch_a77156fee15f9b2a,Chugwater High School,0,0
sch_81728564cc7d6185,Elite Solutions Academy,0,0
sch_c71bc55b35c2f484,Normative Services High School,0,0
