SCHOOL	PHONE	EN	RG	CL	ADDRESS	CITY	ZIP	DISTRICT
Akiachak (Moses Peter)	907-825-3616	63	R1	1A	PO Box 51189	Akiachak	99551	Yupiit School
Akiak (Arlicag)	907-765-4600	43	R1	1A	PO Box 49	Akiak	99552	Yupiit
Akiuk Memorial	907-477-6829	34	R1	1A	101 Village Road	Kasigluk	99609	Lower Kuskokwim
Akula Elitnaurvik	907-477-6615	37	R1	1A	PO Box 79	Kasigluk	99609	Lower Kuskokwim
Akutan	907-698-2205	4	R1	1A	202 Volcano Dr.	Akutan	99553	Aleutians East
Alak	907-763-2541	39	R1	1A	PO Box 10	Wainwright	99782	North Slope
Alakanuk	907-238-3312	54	R1	1A	PO Box 9	Alakanuk	99554	Lower Yukon
Aleknagik	907-842-5681	6	R1	1A	PO Box 84	Aleknagik	99555	Southwest Region
Allakaket	907-968-2205	4	R2	1A	PO Box 69	Allakaket	99720	Yukon-Koyukuk
Ambler (Ikiaiaglig)	907-445-2154	10	R1	1A	PO Box 109	Ambler	99786	Northwest Arctic
Anchor Lutheran	907-522-3636	22	R2	1A	8100 Arctic Blvd.	Anchorage	99518	Private
Anderson	907-582-2700	5	R2	1A	PO Box 3120	Anderson	99744	Denali Borough
Andrew K. Demoski	907-898-2204	77	R2	1A	PO Box 65029	Nulato	99765	Yukon-Koyukuk
Angoon (Eli Katonook Memorial)	907-788-3302	21	R5	1A	PO Box 209	Angoon	99820	Chatham
Aniak	907-675-4330	29	R1	1A	PO Box 29	Aniak	99557	Kuspuk
Aniguiin	907-890-3021	39	R1	1A	PO Box 29	Elim	99739	Bering Strait
Anna Tobeluk Memorial	907-527-5701	54	R1	1A	PO Box 150	Nunapitchuk	99641	Lower Kuskokwim
Anthony A. Andrews (St. Michael)	907-923-3041	32	R1	1A	100 Baker Street	St. Michael	99659	Bering Strait
Aqqaluk (Noorvik)	907-636-2178	55	R1	1A	PO Box 165	Noorvik	99763	Northwest Arctic
Ayagina'ar Elitnaurvik	907-557-5126	47	R1	1A	PO Box 5109	Kongiganak	99545	Lower Kuskokwim
Ayaprun	907-237-2504	7	R1	1A	PO Box WWT	Newtok	99559	Lower Kuskokwim
Barrow	907-852-8950	227	R1	3A	PO Box 960	Barrow	99723	North Slope
Bartlett	907-742-1800	1339	R4	4A	1101 N. Muldoon Rd.	Anchorage	99506	Anchorage School
Bethel Regional	907-543-3957	282	R1	3A	PO Box 700	Bethel	99559	Lower Kuskokwim
Bettye Davis East	907-742-2100	1554	R4	4A	4025 E. Northern Lts. Blvd.	Anchorage	99508	Anchorage School
Birchwood Christian	907-688-2228	40	R2	1A	22208 N. Birchwood Loop Rd	Chugiak	99567	Private
Brevig Mission	907-642-4021	54	R1	1A	1 Sea Way	Brevig Mission	99785	Bering Strait
Bristol Bay	907-246-4265	27	R1	1A	PO Box 169	Naknek	99633	Bristol Bay
